Attaching 12 probes...
Tracing latency of network stack funtions. Hit Ctrl-C to end.

@q2[kworker/169:0]: count 1, average 8006, total 8006
@q2[openssl]: count 82, average 26387, total 2163774
@q2[ksoftirqd/169]: count 32, average 137452, total 4398482


@q4[openssl]: count 8332, average 973, total 8107560
@q4[ksoftirqd/169]: count 13079, average 1199, total 15687987
@q4[kworker/169:1]: count 25, average 1743, total 43590
@q4[kworker/169:0]: count 1, average 30708, total 30708

@q5[ksoftirqd/169]: count 103705, average 439, total 45573988
@q5[openssl]: count 65319, average 442, total 28923773
@q5[kworker/169:1]: count 194, average 497, total 96600
@q5[kworker/169:0]: count 7, average 14700, total 102904

@uc: count 4933, average 17356, total 85619779




@q4[ksoftirqd/169]: count 21512, average 1251, total 26919765

@q5[ksoftirqd/169]: count 171089, average 441, total 75475274

@uc: count 6953, average 6953, total 48344437




@q4[ksoftirqd/169]: count 20931, average 1255, total 26287126

@q5[ksoftirqd/169]: count 166534, average 440, total 73372442

@uc: count 8100, average 4044, total 32758925




@q4[ksoftirqd/169]: count 21521, average 1250, total 26905910

@q5[ksoftirqd/169]: count 171223, average 441, total 75539403

@uc: count 5080, average 3239, total 16457386




@q4[ksoftirqd/169]: count 20902, average 1271, total 26578190

@q5[ksoftirqd/169]: count 166246, average 443, total 73776118

@uc: count 6648, average 2881, total 19159123




@q4[ksoftirqd/169]: count 21098, average 1264, total 26674137

@q5[ksoftirqd/169]: count 167861, average 440, total 73859800

@uc: count 6188, average 4451, total 27544875




@q4[ksoftirqd/169]: count 42053, average 630, total 26499084

@q5[ksoftirqd/169]: count 166579, average 437, total 72904461

@uc: count 8092, average 2044, total 16547098




@q4[ksoftirqd/169]: count 21177, average 1261, total 26712468

@q5[ksoftirqd/169]: count 168497, average 433, total 73040878

@uc: count 5439, average 2839, total 15442616




@q4[ksoftirqd/169]: count 21466, average 1256, total 26977368

@q5[ksoftirqd/169]: count 170756, average 432, total 73851271

@uc: count 6005, average 2763, total 16595752




@q4[ksoftirqd/169]: count 21794, average 1248, total 27215742

@q5[ksoftirqd/169]: count 173357, average 432, total 75028468

@uc: count 5225, average 5381, total 28116732




@q4[ksoftirqd/169]: count 21817, average 1247, total 27219540

@q5[ksoftirqd/169]: count 173468, average 431, total 74875138

@uc: count 4698, average 6683, total 31399560




@q4[ksoftirqd/169]: count 21376, average 1262, total 26992394

@q5[ksoftirqd/169]: count 170079, average 434, total 73917893

@uc: count 5848, average 2612, total 15278887




@q4[ksoftirqd/169]: count 21391, average 1262, total 27006306

@q5[ksoftirqd/169]: count 170120, average 432, total 73630487

@uc: count 5715, average 3072, total 17561686




@q4[ksoftirqd/169]: count 21488, average 1260, total 27075240

@q5[ksoftirqd/169]: count 170898, average 433, total 74103770

