Attaching 12 probes...
Tracing latency of network stack funtions. Hit Ctrl-C to end.

@q2[ksoftirqd/169]: count 3, average 12998, total 38994
@q2[openssl]: count 16, average 47923, total 766778


@q4[openssl]: count 5758, average 968, total 5578048
@q4[ksoftirqd/169]: count 13988, average 1199, total 16781260
@q4[kworker/169:2]: count 2, average 11411, total 22823

@q5[ksoftirqd/169]: count 111060, average 446, total 49593358
@q5[openssl]: count 45179, average 448, total 20269345
@q5[kworker/169:2]: count 11, average 13901, total 152918

@uc: count 5629, average 15272, total 85971568




@q4[ksoftirqd/169]: count 22110, average 1213, total 26833968

@q5[ksoftirqd/169]: count 175884, average 441, total 77612954

@uc: count 6616, average 4011, total 26542036




@q4[ksoftirqd/169]: count 22430, average 1224, total 27461380

@q5[ksoftirqd/169]: count 178357, average 442, total 78865348

@uc: count 6436, average 4648, total 29918480




@q4[ksoftirqd/169]: count 21776, average 1221, total 26591608

@q5[ksoftirqd/169]: count 173189, average 441, total 76477923

@uc: count 5931, average 2363, total 14018917




@q4[ksoftirqd/169]: count 21776, average 1227, total 26734617

@q5[ksoftirqd/169]: count 173189, average 442, total 76643173

@uc: count 5815, average 2642, total 15364692




@q4[ksoftirqd/169]: count 21808, average 1222, total 26660250

@q5[ksoftirqd/169]: count 173444, average 443, total 76901524

@uc: count 7825, average 1909, total 14943529




@q4[ksoftirqd/169]: count 21800, average 1223, total 26674067

@q5[ksoftirqd/169]: count 173437, average 442, total 76801824

@uc: count 6594, average 2718, total 17927505




@q4[ksoftirqd/169]: count 21809, average 1236, total 26965632

@q5[ksoftirqd/169]: count 173438, average 442, total 76694831

@uc: count 6137, average 2384, total 14632643




@q4[ksoftirqd/169]: count 21887, average 1223, total 26787151

@q5[ksoftirqd/169]: count 174136, average 441, total 76898407

@uc: count 7125, average 1989, total 14174465




@q4[ksoftirqd/169]: count 22161, average 1227, total 27196723

@q5[ksoftirqd/169]: count 176243, average 441, total 77888287

@uc: count 5809, average 4502, total 26152998




@q4[ksoftirqd/169]: count 22032, average 1219, total 26870454

@q5[ksoftirqd/169]: count 175226, average 441, total 77365657

@uc: count 5910, average 2816, total 16646774




@q4[ksoftirqd/169]: count 22000, average 1222, total 26886803

@q5[ksoftirqd/169]: count 174970, average 441, total 77242173

@uc: count 5390, average 2535, total 13666795




@q4[ksoftirqd/169]: count 21617, average 1227, total 26525036

@q5[ksoftirqd/169]: count 171997, average 442, total 76114616

@uc: count 7302, average 2586, total 18884199




@q4[ksoftirqd/169]: count 22094, average 1230, total 27191612

@q5[ksoftirqd/169]: count 175671, average 441, total 77570379

@uc: count 11920, average 1718, total 20480815




@q4[ksoftirqd/169]: count 21858, average 1227, total 26834748

@q5[ksoftirqd/169]: count 173889, average 442, total 76891791

@uc: count 6368, average 2875, total 18313985




@q4[ksoftirqd/169]: count 22081, average 1215, total 26828928

@q5[ksoftirqd/169]: count 175700, average 440, total 77458776

@uc: count 6160, average 4445, total 27384364




@q4[ksoftirqd/169]: count 43813, average 604, total 26501623

@q5[ksoftirqd/169]: count 172815, average 442, total 76402743

@uc: count 8153, average 2025, total 16509851




@q4[ksoftirqd/169]: count 21738, average 1225, total 26632987

@q5[ksoftirqd/169]: count 172891, average 441, total 76353414

@uc: count 6661, average 3851, total 25654517




@q4[ksoftirqd/169]: count 22049, average 1225, total 27018667

@q5[ksoftirqd/169]: count 175380, average 440, total 77339751

@uc: count 6788, average 2982, total 20243571




@q4[ksoftirqd/169]: count 22245, average 1228, total 27322463

@q5[ksoftirqd/169]: count 176975, average 441, total 78181660

@uc: count 5137, average 3619, total 18591263




@q4[ksoftirqd/169]: count 21449, average 1220, total 26175038

@q5[ksoftirqd/169]: count 170656, average 441, total 75354489

@uc: count 5469, average 2714, total 14845965




@q4[ksoftirqd/169]: count 21685, average 1220, total 26472104

@q5[ksoftirqd/169]: count 172474, average 442, total 76324622

@uc: count 7330, average 3558, total 26084565




@q4[ksoftirqd/169]: count 21955, average 1221, total 26821947

@q5[ksoftirqd/169]: count 174673, average 440, total 77013336

@uc: count 6084, average 2813, total 17117634




@q4[ksoftirqd/169]: count 21878, average 1225, total 26821686

@q5[ksoftirqd/169]: count 173992, average 442, total 76911494

@uc: count 5735, average 2261, total 12970573




@q4[ksoftirqd/169]: count 22366, average 1215, total 27189726

@q5[ksoftirqd/169]: count 177957, average 440, total 78453727

@uc: count 5896, average 2948, total 17382451




@q4[ksoftirqd/169]: count 22037, average 1226, total 27023390

@q5[ksoftirqd/169]: count 175249, average 441, total 77437575

@uc: count 5225, average 2482, total 12972563




@q4[ksoftirqd/169]: count 21641, average 1230, total 26626532

@q5[ksoftirqd/169]: count 172187, average 442, total 76277202

@uc: count 7387, average 2576, total 19032659




@q4[ksoftirqd/169]: count 21958, average 1220, total 26810699

@q5[ksoftirqd/169]: count 174629, average 442, total 77245339

@uc: count 6603, average 2309, total 15249282




@q4[ksoftirqd/169]: count 21928, average 1221, total 26790648

