Attaching 12 probes...
Tracing latency of network stack funtions. Hit Ctrl-C to end.





@uc: count 507, average 101174, total 51295282

@q1[openssl]: count 1894, average 1554, total 2944071
@q1[ksoftirqd/169]: count 41, average 1962, total 80480
@q1[kworker/169:1]: count 4, average 3156, total 12625

@q2[openssl]: count 2384, average 568, total 1355858
@q2[ksoftirqd/169]: count 73, average 678, total 49522
@q2[kworker/169:1]: count 5, average 1577, total 7885


@q4[ksoftirqd/169]: count 456, average 1126, total 513610
@q4[openssl]: count 20207, average 1165, total 23550815
@q4[kworker/169:1]: count 7, average 2228, total 15601

@q5[openssl]: count 149055, average 428, total 63885991
@q5[ksoftirqd/169]: count 3345, average 429, total 1435463
@q5[kworker/169:1]: count 34, average 576, total 19597

@uc: count 1828, average 34646, total 63334154

@q1[openssl]: count 684, average 1755, total 1201061
@q1[ksoftirqd/169]: count 54, average 2110, total 113988

@q2[openssl]: count 1420, average 595, total 845902
@q2[ksoftirqd/169]: count 111, average 700, total 77766


@q4[ksoftirqd/169]: count 706, average 945, total 667226
@q4[openssl]: count 29993, average 952, total 28579629

@q5[openssl]: count 232755, average 429, total 99945650
@q5[ksoftirqd/169]: count 5214, average 431, total 2248843

@uc: count 2251, average 12452, total 28031030

@q1[openssl]: count 676, average 1763, total 1191855
@q1[ksoftirqd/169]: count 49, average 2210, total 108330
@q1[kworker/169:1]: count 1, average 17021, total 17021

@q2[openssl]: count 1383, average 599, total 828532
@q2[ksoftirqd/169]: count 105, average 691, total 72608
@q2[kworker/169:1]: count 2, average 6812, total 13625


@q4[ksoftirqd/169]: count 626, average 956, total 598943
@q4[openssl]: count 30052, average 956, total 28741834
@q4[kworker/169:1]: count 33, average 2061, total 68034

@q5[openssl]: count 233245, average 429, total 100228633
@q5[ksoftirqd/169]: count 4607, average 434, total 2000255
@q5[kworker/169:1]: count 258, average 537, total 138775

@uc: count 2671, average 8784, total 23464617

@q1[openssl]: count 664, average 1762, total 1170517
@q1[ksoftirqd/169]: count 54, average 1966, total 106208

@q2[openssl]: count 1364, average 605, total 825919
@q2[ksoftirqd/169]: count 112, average 692, total 77504


@q4[ksoftirqd/169]: count 773, average 949, total 733859
@q4[openssl]: count 29940, average 957, total 28656940

@q5[openssl]: count 232411, average 429, total 99888905
@q5[ksoftirqd/169]: count 5733, average 431, total 2471282

@uc: count 2040, average 6618, total 13502550

@q1[openssl]: count 669, average 1751, total 1171738
@q1[ksoftirqd/169]: count 56, average 2084, total 116725

@q2[openssl]: count 1381, average 603, total 834089
@q2[ksoftirqd/169]: count 107, average 654, total 69981


@q4[ksoftirqd/169]: count 689, average 945, total 651322
@q4[openssl]: count 30004, average 953, total 28595259

@q5[openssl]: count 232977, average 429, total 100015857
@q5[ksoftirqd/169]: count 5050, average 431, total 2179133

@uc: count 1831, average 5852, total 10716030

@q1[openssl]: count 675, average 1764, total 1191020
@q1[ksoftirqd/169]: count 54, average 1897, total 102470

@q2[openssl]: count 1386, average 605, total 838748
@q2[ksoftirqd/169]: count 117, average 694, total 81212


@q4[ksoftirqd/169]: count 777, average 942, total 731990
@q4[openssl]: count 29948, average 955, total 28618450

@q5[openssl]: count 232394, average 429, total 99830760
@q5[ksoftirqd/169]: count 5723, average 430, total 2465482

@uc: count 1882, average 6168, total 11609278

@q1[openssl]: count 666, average 1779, total 1185360
@q1[ksoftirqd/169]: count 45, average 1927, total 86750

@q2[openssl]: count 1361, average 605, total 824648
@q2[ksoftirqd/169]: count 105, average 659, total 69197


@q4[ksoftirqd/169]: count 640, average 950, total 608105
@q4[openssl]: count 30061, average 954, total 28702265

@q5[openssl]: count 233370, average 429, total 100220404
@q5[ksoftirqd/169]: count 4700, average 430, total 2023120

@uc: count 2067, average 6092, total 12592571

@q1[openssl]: count 658, average 1756, total 1155458
@q1[ksoftirqd/169]: count 57, average 2555, total 145666
