Attaching 12 probes...
Tracing latency of network stack funtions. Hit Ctrl-C to end.

@q2[openssl]: count 112, average 20338, total 2277873
@q2[ksoftirqd/169]: count 17, average 206078, total 3503333


@q4[openssl]: count 7723, average 979, total 7563930
@q4[ksoftirqd/169]: count 13649, average 1219, total 16644083
@q4[kworker/169:2]: count 1, average 20890, total 20890

@q5[ksoftirqd/169]: count 108293, average 434, total 47021356
@q5[openssl]: count 60642, average 436, total 26445395
@q5[kworker/169:2]: count 7, average 2302, total 16119

@uc: count 5095, average 25398, total 129406149




@q4[ksoftirqd/169]: count 21024, average 1275, total 26808630

@q5[ksoftirqd/169]: count 167208, average 434, total 72679044

@uc: count 5018, average 3027, total 15192416




@q4[ksoftirqd/169]: count 20744, average 1260, total 26149681

@q5[ksoftirqd/169]: count 164982, average 432, total 71402214

@uc: count 5727, average 4051, total 23204206




@q4[ksoftirqd/169]: count 21083, average 1256, total 26486970

@q5[ksoftirqd/169]: count 167749, average 434, total 72936801

@uc: count 8136, average 2294, total 18672102




@q4[ksoftirqd/169]: count 21086, average 1263, total 26647314

@q5[ksoftirqd/169]: count 167757, average 433, total 72707610

@uc: count 6315, average 2925, total 18476184




@q4[ksoftirqd/169]: count 42684, average 638, total 27259269

@q5[ksoftirqd/169]: count 171694, average 432, total 74247897

@uc: count 4680, average 6683, total 31277616




@q4[ksoftirqd/169]: count 21448, average 1267, total 27189885

@q5[ksoftirqd/169]: count 170581, average 433, total 73873912

@uc: count 5807, average 2465, total 14318964




@q4[ksoftirqd/169]: count 21208, average 1276, total 27079824

@q5[ksoftirqd/169]: count 168671, average 434, total 73266722

@uc: count 6444, average 2877, total 18542684




@q4[ksoftirqd/169]: count 21152, average 1266, total 26789588

@q5[ksoftirqd/169]: count 168227, average 432, total 72809363

@uc: count 5346, average 3282, total 17550049




@q4[ksoftirqd/169]: count 21291, average 1267, total 26979496

@q5[ksoftirqd/169]: count 169389, average 433, total 73398465

@uc: count 4971, average 4680, total 23265335




@q4[ksoftirqd/169]: count 21637, average 1260, total 27277408

@q5[ksoftirqd/169]: count 172075, average 433, total 74530497

@uc: count 5029, average 9850, total 49540004




@q4[ksoftirqd/169]: count 21047, average 1278, total 26903290

@q5[ksoftirqd/169]: count 167455, average 433, total 72657918

@uc: count 4795, average 3464, total 16613140




@q4[ksoftirqd/169]: count 21457, average 1275, total 27365280

@q5[ksoftirqd/169]: count 170638, average 433, total 74017902

@uc: count 6851, average 2752, total 18855715




@q4[ksoftirqd/169]: count 21267, average 1270, total 27026137

@q5[ksoftirqd/169]: count 169205, average 434, total 73466207

@uc: count 6496, average 2451, total 15922209




@q4[ksoftirqd/169]: count 21789, average 1268, total 27631260

@q5[ksoftirqd/169]: count 173282, average 432, total 74926430

@uc: count 6006, average 2395, total 14387786




@q4[ksoftirqd/169]: count 21489, average 1264, total 27170567

@q5[ksoftirqd/169]: count 170970, average 432, total 73983577

@uc: count 5284, average 4768, total 25194454




@q4[ksoftirqd/169]: count 21495, average 1261, total 27109305

@q5[ksoftirqd/169]: count 170946, average 432, total 73942233

@uc: count 4946, average 6294, total 31134683




@q4[ksoftirqd/169]: count 21156, average 1277, total 27034974

@q5[ksoftirqd/169]: count 168323, average 434, total 73132656

@uc: count 6099, average 2666, total 16265779




@q4[ksoftirqd/169]: count 21556, average 1268, total 27341472

@q5[ksoftirqd/169]: count 171519, average 433, total 74417985

@uc: count 4590, average 3107, total 14261878




@q4[ksoftirqd/169]: count 21647, average 1262, total 27330907

@q5[ksoftirqd/169]: count 172218, average 432, total 74519880

@uc: count 5394, average 2765, total 14918162




@q4[ksoftirqd/169]: count 21181, average 1267, total 26840755

@q5[ksoftirqd/169]: count 168396, average 433, total 73028842

@uc: count 8136, average 2224, total 18099826




@q4[ksoftirqd/169]: count 21988, average 1263, total 27774653

@q5[ksoftirqd/169]: count 174947, average 433, total 75776720

@uc: count 6156, average 7493, total 46127975




@q4[ksoftirqd/169]: count 21062, average 1262, total 26584377

@q5[ksoftirqd/169]: count 167566, average 432, total 72503589

@uc: count 4535, average 7665, total 34762638




