Attaching 12 probes...
Tracing latency of network stack funtions. Hit Ctrl-C to end.
@q1[openssl]: count 479, average 2599, total 1245212
@q1[ksoftirqd/169]: count 75, average 2658, total 199356
@q1[kworker/169:2]: count 1, average 10570, total 10570

@q2[openssl]: count 953, average 2314, total 2205915
@q2[ksoftirqd/169]: count 158, average 13875, total 2192313
@q2[kworker/169:2]: count 1, average 33233, total 33233


@q4[ksoftirqd/169]: count 3790, average 962, total 3646947
@q4[openssl]: count 27461, average 971, total 26666166
@q4[kworker/169:2]: count 4, average 5921, total 23684

@q5[openssl]: count 215095, average 437, total 94114146
@q5[ksoftirqd/169]: count 29442, average 441, total 13005097
@q5[kworker/169:2]: count 26, average 1296, total 33704

@uc: count 3660, average 20760, total 75983277

@q1[openssl]: count 854, average 2489, total 2126447
@q1[ksoftirqd/169]: count 151, average 2532, total 382426

@q2[openssl]: count 1526, average 646, total 986440
@q2[ksoftirqd/169]: count 262, average 666, total 174752
@q2[kworker/169:2]: count 1, average 35697, total 35697


@q4[ksoftirqd/169]: count 2791, average 956, total 2669470
@q4[openssl]: count 39322, average 961, total 37820642
@q4[kworker/169:2]: count 53, average 1643, total 87083

@q5[ksoftirqd/169]: count 21445, average 433, total 9303378
@q5[openssl]: count 308284, average 436, total 134515969
@q5[kworker/169:2]: count 421, average 505, total 213012

@uc: count 2624, average 5310, total 13934729

@q1[openssl]: count 832, average 2476, total 2060277
@q1[ksoftirqd/169]: count 154, average 2506, total 386021

@q2[openssl]: count 1524, average 646, total 984511
@q2[ksoftirqd/169]: count 283, average 661, total 187123


@q4[ksoftirqd/169]: count 3016, average 948, total 2861453
@q4[openssl]: count 39265, average 962, total 37776275

@q5[ksoftirqd/169]: count 23177, average 432, total 10031708
@q5[openssl]: count 307843, average 436, total 134392809

@uc: count 2343, average 6252, total 14648824

@q1[openssl]: count 864, average 2471, total 2135341
@q1[ksoftirqd/169]: count 159, average 2630, total 418319

@q2[openssl]: count 1549, average 653, total 1011697
@q2[ksoftirqd/169]: count 249, average 667, total 166137


@q4[ksoftirqd/169]: count 2555, average 954, total 2439069
@q4[openssl]: count 39664, average 965, total 38290388

@q5[ksoftirqd/169]: count 19587, average 433, total 8492562
@q5[openssl]: count 310932, average 437, total 135884817

@uc: count 2093, average 5928, total 12408408

@q1[openssl]: count 868, average 2462, total 2137427
@q1[ksoftirqd/169]: count 160, average 2735, total 437655
@q1[kworker/169:2]: count 1, average 17794, total 17794

@q2[openssl]: count 1538, average 647, total 995795
@q2[ksoftirqd/169]: count 253, average 693, total 175567
@q2[kworker/169:2]: count 1, average 35847, total 35847


@q4[openssl]: count 39495, average 960, total 37933773
@q4[ksoftirqd/169]: count 2743, average 965, total 2647221
