Attaching 12 probes...
Tracing latency of network stack funtions. Hit Ctrl-C to end.
@q1[ksoftirqd/169]: count 64, average 2672, total 171066
@q1[openssl]: count 690, average 2733, total 1885820
@q1[kworker/169:2]: count 7, average 3645, total 25519
@q1[kworker/169:0]: count 2, average 5655, total 11311
@q1[kworker/169:1]: count 2, average 6627, total 13255

@q2[ksoftirqd/169]: count 154, average 882, total 135871
@q2[kworker/169:2]: count 9, average 1125, total 10128
@q2[openssl]: count 1092, average 1469, total 1604491
@q2[kworker/169:1]: count 4, average 6610, total 26442
@q2[kworker/169:0]: count 2, average 14623, total 29246


@q4[ksoftirqd/169]: count 3539, average 950, total 3364885
@q4[openssl]: count 27851, average 956, total 26649210
@q4[kworker/169:2]: count 14, average 1356, total 18986
@q4[kworker/169:0]: count 16, average 2721, total 43541
@q4[kworker/169:1]: count 6, average 6412, total 38473

@q5[openssl]: count 217985, average 435, total 94942370
@q5[ksoftirqd/169]: count 27541, average 440, total 12124051
@q5[kworker/169:2]: count 90, average 481, total 43291
@q5[kworker/169:0]: count 124, average 658, total 81628
@q5[kworker/169:1]: count 40, average 1271, total 50865

@uc: count 4656, average 28825, total 134209386

@q1[openssl]: count 953, average 2429, total 2315235
@q1[ksoftirqd/169]: count 147, average 2590, total 380801

@q2[openssl]: count 1623, average 652, total 1059590
@q2[ksoftirqd/169]: count 216, average 668, total 144310


@q4[ksoftirqd/169]: count 2342, average 949, total 2222607
@q4[openssl]: count 40388, average 954, total 38564462

@q5[openssl]: count 316325, average 433, total 137105612
@q5[ksoftirqd/169]: count 17973, average 434, total 7801643

@uc: count 2614, average 6465, total 16900033

@q1[openssl]: count 856, average 2405, total 2058942
@q1[ksoftirqd/169]: count 111, average 2529, total 280811

@q2[openssl]: count 1586, average 647, total 1026500
@q2[ksoftirqd/169]: count 191, average 680, total 129882
@q2[kworker/169:2]: count 1, average 33584, total 33584


@q4[openssl]: count 39834, average 956, total 38091783
@q4[ksoftirqd/169]: count 2236, average 960, total 2148655
@q4[kworker/169:2]: count 49, average 1642, total 80483

@q5[ksoftirqd/169]: count 17229, average 433, total 7467271
@q5[openssl]: count 312252, average 433, total 135398945
@q5[kworker/169:2]: count 389, average 510, total 198574

@uc: count 2065, average 6071, total 12538201

@q1[openssl]: count 906, average 2400, total 2175033
@q1[ksoftirqd/169]: count 115, average 2634, total 302989

@q2[openssl]: count 1616, average 641, total 1037096
@q2[ksoftirqd/169]: count 186, average 700, total 130359


@q4[openssl]: count 40196, average 956, total 38466328
@q4[ksoftirqd/169]: count 2163, average 960, total 2078018

@q5[ksoftirqd/169]: count 16670, average 432, total 7216936
@q5[openssl]: count 314862, average 862, total 271581162

@uc: count 1963, average 6116, total 12006264

@q1[openssl]: count 887, average 2402, total 2130669
@q1[ksoftirqd/169]: count 123, average 2551, total 313889

@q2[openssl]: count 1621, average 643, total 1042874
@q2[ksoftirqd/169]: count 197, average 654, total 128878


@q4[openssl]: count 40109, average 956, total 38364605
@q4[ksoftirqd/169]: count 2094, average 964, total 2020259
@q4[kworker/169:2]: count 2, average 17052, total 34105

@q5[ksoftirqd/169]: count 16066, average 433, total 6966582
@q5[openssl]: count 314234, average 433, total 136195687
@q5[kworker/169:2]: count 16, average 2571, total 41146

@uc: count 2142, average 6003, total 12859136

@q1[openssl]: count 940, average 2486, total 2336914
@q1[ksoftirqd/169]: count 144, average 2682, total 386343

@q2[openssl]: count 1589, average 650, total 1033351
@q2[ksoftirqd/169]: count 210, average 683, total 143465
@q2[kworker/169:2]: count 1, average 7444, total 7444


@q4[ksoftirqd/169]: count 2395, average 949, total 2273173
@q4[openssl]: count 40647, average 956, total 38867199
@q4[kworker/169:2]: count 43, average 1216, total 52303

@q5[ksoftirqd/169]: count 18428, average 433, total 7992084
@q5[openssl]: count 318609, average 433, total 138094370
@q5[kworker/169:2]: count 340, average 471, total 160228

@uc: count 2443, average 5304, total 12959700

@q1[openssl]: count 888, average 2445, total 2171501
@q1[ksoftirqd/169]: count 133, average 2660, total 353861
@q1[kworker/169:2]: count 1, average 20418, total 20418

@q2[openssl]: count 1631, average 648, total 1058427
@q2[ksoftirqd/169]: count 214, average 658, total 141021
@q2[kworker/169:2]: count 1, average 37080, total 37080


@q4[openssl]: count 40273, average 957, total 38572890
@q4[ksoftirqd/169]: count 2588, average 960, total 2486046
@q4[kworker/169:2]: count 1, average 35907, total 35907

@q5[openssl]: count 315669, average 432, total 136592521
@q5[ksoftirqd/169]: count 19952, average 435, total 8694157
@q5[kworker/169:2]: count 7, average 4767, total 33373

@uc: count 1922, average 5793, total 11135953

@q1[openssl]: count 874, average 2474, total 2162761
@q1[ksoftirqd/169]: count 142, average 2750, total 390501
@q1[kworker/169:2]: count 1, average 9478, total 9478

@q2[openssl]: count 1600, average 647, total 1036249
@q2[ksoftirqd/169]: count 208, average 665, total 138361
@q2[kworker/169:2]: count 2, average 5916, total 11832


@q4[openssl]: count 40259, average 956, total 38504052
@q4[ksoftirqd/169]: count 2584, average 957, total 2473182
@q4[kworker/169:2]: count 44, average 1151, total 50662

@q5[ksoftirqd/169]: count 19950, average 433, total 8646656
@q5[openssl]: count 315639, average 433, total 136799286
@q5[kworker/169:2]: count 344, average 464, total 159945

@uc: count 1956, average 6370, total 12459856

@q1[openssl]: count 896, average 2510, total 2249233
@q1[ksoftirqd/169]: count 144, average 2675, total 385217

@q2[openssl]: count 1598, average 647, total 1035001
@q2[ksoftirqd/169]: count 211, average 695, total 146851


@q4[ksoftirqd/169]: count 2399, average 956, total 2295790
@q4[openssl]: count 40561, average 957, total 38832187

@q5[openssl]: count 318064, average 433, total 138029073
@q5[ksoftirqd/169]: count 18470, average 434, total 8021477

@uc: count 2301, average 6251, total 14384115

@q1[openssl]: count 896, average 2484, total 2225971
@q1[ksoftirqd/169]: count 132, average 2739, total 361582

@q2[openssl]: count 1604, average 658, total 1055864
@q2[ksoftirqd/169]: count 204, average 661, total 134912


@q4[ksoftirqd/169]: count 2484, average 951, total 2363228
@q4[openssl]: count 40588, average 957, total 38858872

