Attaching 12 probes...
Tracing latency of network stack funtions. Hit Ctrl-C to end.



@q4[ksoftirqd/169]: count 23912, average 969, total 23172910
@q4[openssl]: count 2516, average 976, total 2456972

@q5[ksoftirqd/169]: count 190202, average 432, total 82194162
@q5[openssl]: count 19825, average 436, total 8651405

@uc: count 3116, average 31983, total 99660368




@q4[ksoftirqd/169]: count 29003, average 1061, total 30776893

@q5[ksoftirqd/169]: count 230620, average 430, total 99208263

@uc: count 6215, average 3536, total 21978486




@q4[ksoftirqd/169]: count 21600, average 1251, total 27036872

@q5[ksoftirqd/169]: count 171853, average 432, total 74245815

@uc: count 4843, average 7452, total 36093343




@q4[ksoftirqd/169]: count 21833, average 1257, total 27455768

@q5[ksoftirqd/169]: count 173699, average 432, total 75067455

@uc: count 5639, average 3621, total 20419447




@q4[ksoftirqd/169]: count 21374, average 1253, total 26797770

@q5[ksoftirqd/169]: count 169981, average 431, total 73395570

@uc: count 4870, average 8497, total 41382918




@q4[ksoftirqd/169]: count 21424, average 1259, total 26984232

@q5[ksoftirqd/169]: count 170389, average 433, total 73812061

@uc: count 7337, average 4227, total 31020422




@q4[ksoftirqd/169]: count 21808, average 1254, total 27352155

@q5[ksoftirqd/169]: count 173444, average 432, total 74970563

@uc: count 7265, average 5161, total 37495467




@q4[ksoftirqd/169]: count 21251, average 1252, total 26614688

@q5[ksoftirqd/169]: count 169087, average 433, total 73238152

@uc: count 8350, average 2059, total 17198673




@q4[ksoftirqd/169]: count 21092, average 1260, total 26588079

@q5[ksoftirqd/169]: count 167728, average 434, total 72823586

@uc: count 10849, average 1944, total 21098964




@q4[ksoftirqd/169]: count 21468, average 1260, total 27066379

@q5[ksoftirqd/169]: count 170811, average 432, total 73939464

@uc: count 7703, average 2570, total 19803323




@q4[ksoftirqd/169]: count 20955, average 1255, total 26304157

@q5[ksoftirqd/169]: count 166644, average 433, total 72274298

@uc: count 9199, average 3170, total 29163663




@q4[ksoftirqd/169]: count 21224, average 1248, total 26502382

@q5[ksoftirqd/169]: count 168870, average 433, total 73141721

@uc: count 15527, average 1914, total 29730440




@q4[ksoftirqd/169]: count 21045, average 1259, total 26497904

@q5[ksoftirqd/169]: count 167434, average 433, total 72567813

@uc: count 8318, average 1923, total 16002192




@q4[ksoftirqd/169]: count 21185, average 1254, total 26570891

