Attaching 12 probes...
Tracing latency of network stack funtions. Hit Ctrl-C to end.



@q4[openssl]: count 1263, average 990, total 1250439
@q4[ksoftirqd/169]: count 15371, average 1309, total 20122589

@q5[ksoftirqd/169]: count 122246, average 435, total 53209563
@q5[openssl]: count 9947, average 440, total 4385994

@uc: count 3556, average 26357, total 93728282




@q4[ksoftirqd/169]: count 21466, average 1252, total 26886811

@q5[ksoftirqd/169]: count 170742, average 434, total 74186662

@uc: count 5751, average 3224, total 18545083




@q4[ksoftirqd/169]: count 21100, average 1256, total 26516818

@q5[ksoftirqd/169]: count 167826, average 877, total 147277295

@uc: count 6453, average 3078, total 19866466




@q4[ksoftirqd/169]: count 20972, average 1257, total 26368803

@q5[ksoftirqd/169]: count 166845, average 434, total 72493997

@uc: count 5976, average 2913, total 17411030




@q4[ksoftirqd/169]: count 21572, average 1251, total 27007882

@q5[ksoftirqd/169]: count 171553, average 433, total 74339321

@uc: count 5390, average 2855, total 15389788




@q4[ksoftirqd/169]: count 21672, average 1252, total 27146862

@q5[ksoftirqd/169]: count 172434, average 433, total 74795977

@uc: count 4818, average 2919, total 14065891




@q4[ksoftirqd/169]: count 21632, average 1254, total 27147503

@q5[ksoftirqd/169]: count 172026, average 433, total 74570146

@uc: count 3068, average 4187, total 12847351




@q4[ksoftirqd/169]: count 21509, average 1264, total 27197271

@q5[ksoftirqd/169]: count 171137, average 434, total 74394642

@uc: count 5120, average 4306, total 22051604




@q4[ksoftirqd/169]: count 21571, average 1249, total 26950701

@q5[ksoftirqd/169]: count 171542, average 433, total 74357512

@uc: count 3478, average 3694, total 12849597




@q4[ksoftirqd/169]: count 21473, average 1251, total 26880739

@q5[ksoftirqd/169]: count 170851, average 433, total 74100234

@uc: count 5481, average 3924, total 21509959




@q4[ksoftirqd/169]: count 21503, average 1255, total 27001057

@q5[ksoftirqd/169]: count 341861, average 216, total 74172787

@uc: count 5036, average 4295, total 21632038




@q4[ksoftirqd/169]: count 21576, average 1247, total 26909368

@q5[ksoftirqd/169]: count 171598, average 433, total 74343245

@uc: count 3664, average 11449, total 41952089




@q4[ksoftirqd/169]: count 21587, average 1249, total 26969341

@q5[ksoftirqd/169]: count 171703, average 433, total 74503905

@uc: count 3929, average 6429, total 25260197




@q4[ksoftirqd/169]: count 20940, average 1249, total 26154280

@q5[ksoftirqd/169]: count 166477, average 435, total 72423448

@uc: count 5030, average 3013, total 15156129




@q4[ksoftirqd/169]: count 21240, average 1240, total 26343521

@q5[ksoftirqd/169]: count 168926, average 434, total 73402853

@uc: count 6105, average 4643, total 28349967




@q4[ksoftirqd/169]: count 21441, average 1252, total 26844740

@q5[ksoftirqd/169]: count 170602, average 433, total 73961436

@uc: count 3960, average 3487, total 13810052




@q4[ksoftirqd/169]: count 21030, average 1250, total 26298310

@q5[ksoftirqd/169]: count 167244, average 434, total 72716163

@uc: count 6846, average 5478, total 37504095




@q4[ksoftirqd/169]: count 21595, average 1245, total 26903055

@q5[ksoftirqd/169]: count 171829, average 433, total 74501885

@uc: count 5050, average 2709, total 13680729




@q4[ksoftirqd/169]: count 21457, average 1233, total 26468667

@q5[ksoftirqd/169]: count 170708, average 433, total 73941605

@uc: count 4446, average 8647, total 38448330




@q4[ksoftirqd/169]: count 21291, average 1245, total 26524645

@q5[ksoftirqd/169]: count 169387, average 433, total 73396175

@uc: count 5788, average 3029, total 17536842




@q4[ksoftirqd/169]: count 21192, average 1255, total 26611650

