Attaching 12 probes...
Tracing latency of network stack funtions. Hit Ctrl-C to end.
@q1[iperf]: count 350, average 2347, total 821730
@q1[swapper/169]: count 235, average 2702, total 635110
@q1[ksoftirqd/169]: count 42, average 3582, total 150450

@q2[iperf]: count 353, average 664, total 234468
@q2[swapper/169]: count 416, average 665, total 276832
@q2[ksoftirqd/169]: count 92, average 1181, total 108683
@q2[kworker/169:2]: count 2, average 6231, total 12463


@q4[iperf]: count 368, average 806, total 296872
@q4[swapper/169]: count 14861, average 1038, total 15429720
@q4[kworker/169:2]: count 49, average 1056, total 51749
@q4[ksoftirqd/169]: count 17032, average 1338, total 22794042

@q5[iperf]: count 1692, average 443, total 750165
@q5[kworker/169:2]: count 388, average 444, total 172482
@q5[swapper/169]: count 116887, average 470, total 54977204
@q5[ksoftirqd/169]: count 135193, average 595, total 80463411

@uc: count 22343, average 4933, total 110236971

@q1[swapper/169]: count 441, average 2584, total 1139651
@q1[ksoftirqd/169]: count 127, average 2934, total 372733

@q2[swapper/169]: count 723, average 649, total 469802
@q2[ksoftirqd/169]: count 184, average 760, total 139865


@q4[swapper/169]: count 21846, average 1035, total 22616959
@q4[ksoftirqd/169]: count 21799, average 1451, total 31641004

@q5[swapper/169]: count 171767, average 467, total 80273772
@q5[ksoftirqd/169]: count 172815, average 648, total 112059577

@uc: count 31195, average 2005, total 62574476

@q1[swapper/169]: count 495, average 2662, total 1317980
@q1[ksoftirqd/169]: count 104, average 2785, total 289733

@q2[swapper/169]: count 777, average 683, total 531069
@q2[ksoftirqd/169]: count 152, average 730, total 111110
@q2[iperf]: count 1, average 8536, total 8536


@q4[swapper/169]: count 22177, average 1030, total 22845239
@q4[iperf]: count 16, average 1257, total 20120
@q4[ksoftirqd/169]: count 21205, average 1470, total 31186604

@q5[swapper/169]: count 174189, average 465, total 81064419
@q5[iperf]: count 125, average 472, total 59064
@q5[ksoftirqd/169]: count 168213, average 657, total 110640515

@uc: count 30564, average 2018, total 61703820

@q1[swapper/169]: count 426, average 2629, total 1120323
@q1[ksoftirqd/169]: count 113, average 2762, total 312209
@q1[kworker/169:2]: count 1, average 38102, total 38102

@q2[swapper/169]: count 692, average 683, total 473210
@q2[ksoftirqd/169]: count 172, average 705, total 121283
@q2[kworker/169:2]: count 1, average 12072, total 12072
@q2[iperf]: count 2, average 12473, total 24947


@q4[swapper/169]: count 21255, average 1047, total 22264473
@q4[kworker/169:2]: count 56, average 1086, total 60835
@q4[kworker/u512:2]: count 40, average 1203, total 48151
@q4[ksoftirqd/169]: count 21711, average 1482, total 32190597
@q4[iperf]: count 29, average 1493, total 43301

@q5[swapper/169]: count 341313, average 231, total 78985164
@q5[kworker/u512:2]: count 318, average 463, total 147542
@q5[kworker/169:2]: count 444, average 466, total 207157
@q5[iperf]: count 228, average 497, total 113471
@q5[ksoftirqd/169]: count 172271, average 660, total 113785866

@uc: count 33549, average 1745, total 58564480

@q1[swapper/169]: count 477, average 2690, total 1283214
@q1[ksoftirqd/169]: count 130, average 2960, total 384833
@q1[iperf]: count 1, average 41248, total 41248

@q2[swapper/169]: count 723, average 658, total 476133
@q2[ksoftirqd/169]: count 188, average 807, total 151783
@q2[iperf]: count 1, average 25147, total 25147


@q4[swapper/169]: count 22116, average 1026, total 22699985
@q4[ksoftirqd/169]: count 21820, average 1454, total 31730596
@q4[iperf]: count 1, average 21400, total 21400

@q5[swapper/169]: count 173965, average 462, total 80444646
@q5[ksoftirqd/169]: count 172979, average 645, total 111726607
@q5[iperf]: count 6, average 3793, total 22761

@uc: count 32403, average 1620, total 52501368

@q1[swapper/169]: count 531, average 2638, total 1401229
@q1[ksoftirqd/169]: count 130, average 2972, total 386431

@q2[swapper/169]: count 757, average 652, total 493679
@q2[ksoftirqd/169]: count 185, average 815, total 150807


@q4[swapper/169]: count 22466, average 1030, total 23159592
@q4[ksoftirqd/169]: count 21316, average 1449, total 30889550
@q4[iperf]: count 80, average 1729, total 138363

@q5[swapper/169]: count 176535, average 464, total 82031984
@q5[ksoftirqd/169]: count 168965, average 642, total 108600201
@q5[iperf]: count 637, average 739, total 471365

@uc: count 28167, average 1725, total 48607186

@q1[swapper/169]: count 472, average 2659, total 1255266
@q1[ksoftirqd/169]: count 120, average 3051, total 366129
@q1[iperf]: count 1, average 39434, total 39434

@q2[swapper/169]: count 698, average 656, total 458294
@q2[ksoftirqd/169]: count 178, average 807, total 143807
@q2[iperf]: count 2, average 13355, total 26710


@q4[swapper/169]: count 21506, average 1034, total 22251457
@q4[ksoftirqd/169]: count 22276, average 1458, total 32487529
@q4[iperf]: count 33, average 1516, total 50052

@q5[swapper/169]: count 169101, average 466, total 78891445
@q5[iperf]: count 256, average 508, total 130083
@q5[ksoftirqd/169]: count 176710, average 647, total 114472282

@uc: count 32289, average 1480, total 47804274

@q1[swapper/169]: count 512, average 2697, total 1381212
@q1[ksoftirqd/169]: count 113, average 2969, total 335512
@q1[iperf]: count 1, average 38462, total 38462

@q2[swapper/169]: count 752, average 657, total 494484
@q2[ksoftirqd/169]: count 177, average 797, total 141175
@q2[iperf]: count 3, average 7277, total 21831


