Attaching 12 probes...
Tracing latency of network stack funtions. Hit Ctrl-C to end.
@q1[swapper/169]: count 196, average 2625, total 514666
@q1[ksoftirqd/169]: count 64, average 3252, total 208128

@q2[swapper/169]: count 327, average 682, total 223036
@q2[ksoftirqd/169]: count 111, average 1020, total 113246
@q2[iperf]: count 1, average 5350, total 5350


@q4[swapper/169]: count 13038, average 1027, total 13394328
@q4[ksoftirqd/169]: count 18961, average 1323, total 25101054
@q4[iperf]: count 22, average 1506, total 33143

@q5[swapper/169]: count 102711, average 464, total 47680075
@q5[iperf]: count 171, average 500, total 85533
@q5[ksoftirqd/169]: count 150423, average 596, total 89709337

@uc: count 23779, average 3657, total 86969943

@q1[swapper/169]: count 337, average 2653, total 894210
@q1[ksoftirqd/169]: count 135, average 2774, total 374502

@q2[ksoftirqd/169]: count 203, average 686, total 139457
@q2[swapper/169]: count 575, average 718, total 412911
@q2[iperf]: count 1, average 29806, total 29806


@q4[swapper/169]: count 19023, average 1051, total 19997977
@q4[ksoftirqd/169]: count 23654, average 1483, total 35089013
@q4[iperf]: count 32, average 1520, total 48669

@q5[swapper/169]: count 149702, average 473, total 70880888
@q5[iperf]: count 252, average 515, total 129951
@q5[ksoftirqd/169]: count 187571, average 667, total 125120780

@uc: count 33812, average 1647, total 55697410

@q1[ksoftirqd/169]: count 120, average 2671, total 320567
@q1[swapper/169]: count 371, average 2685, total 996205

@q2[ksoftirqd/169]: count 184, average 699, total 128697
@q2[swapper/169]: count 603, average 706, total 426265


@q4[swapper/169]: count 19334, average 1044, total 20187875
@q4[ksoftirqd/169]: count 23489, average 1477, total 34702160

@q5[swapper/169]: count 152029, average 472, total 71819842
@q5[ksoftirqd/169]: count 186301, average 672, total 125258234

@uc: count 33631, average 2086, total 70167632

@q1[swapper/169]: count 420, average 2567, total 1078545
@q1[ksoftirqd/169]: count 116, average 2979, total 345584

@q2[swapper/169]: count 722, average 700, total 505785
@q2[ksoftirqd/169]: count 185, average 715, total 132402


@q4[swapper/169]: count 21680, average 1043, total 22633740
@q4[ksoftirqd/169]: count 21072, average 1472, total 31019395

@q5[swapper/169]: count 170385, average 471, total 80295821
@q5[ksoftirqd/169]: count 167133, average 669, total 111834451

@uc: count 31072, average 2189, total 68037830

@q1[swapper/169]: count 427, average 2605, total 1112341
@q1[ksoftirqd/169]: count 133, average 2937, total 390672
@q1[iperf]: count 3, average 14474, total 43422

@q2[swapper/169]: count 683, average 666, total 455549
@q2[ksoftirqd/169]: count 201, average 801, total 161104
@q2[iperf]: count 3, average 9541, total 28624


@q4[swapper/169]: count 20871, average 1036, total 21640034
@q4[iperf]: count 57, average 1293, total 73733
@q4[ksoftirqd/169]: count 22554, average 1447, total 32637434

@q5[swapper/169]: count 164096, average 467, total 76773219
@q5[iperf]: count 444, average 471, total 209265
@q5[ksoftirqd/169]: count 178825, average 654, total 117125657

@uc: count 31570, average 1922, total 60698450

@q1[swapper/169]: count 426, average 2632, total 1121297
@q1[ksoftirqd/169]: count 126, average 2781, total 350503
@q1[iperf]: count 1, average 39304, total 39304

@q2[swapper/169]: count 639, average 662, total 423404
@q2[ksoftirqd/169]: count 194, average 819, total 159045
@q2[iperf]: count 4, average 6880, total 27521


@q4[swapper/169]: count 20143, average 1039, total 20943473
@q4[ksoftirqd/169]: count 23293, average 1455, total 33900473
@q4[iperf]: count 96, average 1564, total 150173

@q5[swapper/169]: count 158359, average 469, total 74388056
@q5[ksoftirqd/169]: count 184702, average 656, total 121214239
@q5[iperf]: count 757, average 679, total 514663

@uc: count 33210, average 1749, total 58090142

@q1[swapper/169]: count 469, average 2602, total 1220569
@q1[ksoftirqd/169]: count 136, average 2981, total 405551

@q2[swapper/169]: count 701, average 696, total 488083
@q2[ksoftirqd/169]: count 202, average 715, total 144578


@q4[swapper/169]: count 21115, average 1033, total 21820190
@q4[ksoftirqd/169]: count 22347, average 1451, total 32443813
@q4[iperf]: count 104, average 1566, total 162952

@q5[swapper/169]: count 165962, average 466, total 77393722
@q5[ksoftirqd/169]: count 177177, average 654, total 115906451
@q5[iperf]: count 828, average 661, total 548023

@uc: count 30302, average 1656, total 50209350

@q1[swapper/169]: count 476, average 2710, total 1290064
@q1[ksoftirqd/169]: count 127, average 2885, total 366482
@q1[kworker/169:0]: count 1, average 39864, total 39864

@q2[ksoftirqd/169]: count 186, average 691, total 128647
@q2[swapper/169]: count 718, average 696, total 500290
@q2[kworker/169:0]: count 2, average 12297, total 24595


@q4[swapper/169]: count 21618, average 1026, total 22187903
@q4[kworker/169:0]: count 59, average 1281, total 75593
@q4[ksoftirqd/169]: count 22027, average 1439, total 31700244

@q5[swapper/169]: count 169896, average 463, total 78747548
@q5[kworker/169:0]: count 465, average 468, total 217924
@q5[ksoftirqd/169]: count 174689, average 649, total 113512292

@uc: count 30758, average 1739, total 53506036

@q1[swapper/169]: count 470, average 2685, total 1262389
@q1[ksoftirqd/169]: count 124, average 2719, total 337167

@q2[swapper/169]: count 728, average 662, total 482343
@q2[ksoftirqd/169]: count 185, average 831, total 153760


@q4[swapper/169]: count 21534, average 1018, total 21927017
@q4[ksoftirqd/169]: count 22200, average 1448, total 32160662
@q4[iperf]: count 80, average 1912, total 153028

@q5[swapper/169]: count 169241, average 459, total 77721259
@q5[ksoftirqd/169]: count 176066, average 654, total 115301242
@q5[iperf]: count 636, average 782, total 497727

@uc: count 29921, average 1701, total 50919972

@q1[swapper/169]: count 423, average 2610, total 1104405
@q1[ksoftirqd/169]: count 147, average 2772, total 407581

@q2[ksoftirqd/169]: count 216, average 690, total 149246
@q2[swapper/169]: count 643, average 742, total 477531
@q2[iperf]: count 2, average 15774, total 31549


@q4[swapper/169]: count 19947, average 1039, total 20730577
@q4[ksoftirqd/169]: count 23469, average 1440, total 33806121
@q4[iperf]: count 23, average 1822, total 41922

@q5[swapper/169]: count 156717, average 468, total 73413990
@q5[iperf]: count 179, average 551, total 98734
@q5[ksoftirqd/169]: count 186100, average 650, total 121005840

@uc: count 33809, average 1669, total 56449898

@q1[swapper/169]: count 476, average 2716, total 1292968
@q1[ksoftirqd/169]: count 128, average 2755, total 352685
@q1[iperf]: count 2, average 19532, total 39064

@q2[swapper/169]: count 731, average 668, total 488784
@q2[ksoftirqd/169]: count 193, average 810, total 156493
@q2[iperf]: count 2, average 10099, total 20198
@q2[kworker/169:0]: count 2, average 13785, total 27571


@q4[swapper/169]: count 22475, average 1028, total 23106277
@q4[kworker/169:0]: count 55, average 1289, total 70896
@q4[iperf]: count 42, average 1306, total 54875
@q4[ksoftirqd/169]: count 21724, average 1419, total 30830850

@q5[swapper/169]: count 176743, average 464, total 82025366
@q5[kworker/169:0]: count 434, average 475, total 206358
@q5[iperf]: count 326, average 479, total 156309
@q5[ksoftirqd/169]: count 172228, average 641, total 110496169

@uc: count 31710, average 2492, total 79029649

@q1[swapper/169]: count 480, average 2690, total 1291352
@q1[ksoftirqd/169]: count 128, average 2798, total 358247
@q1[iperf]: count 1, average 40296, total 40296

@q2[swapper/169]: count 713, average 687, total 490292
@q2[ksoftirqd/169]: count 184, average 692, total 127337
@q2[iperf]: count 4, average 7409, total 29636


@q4[swapper/169]: count 21847, average 1024, total 22393040
@q4[ksoftirqd/169]: count 21823, average 1442, total 31483265
@q4[iperf]: count 35, average 1448, total 50688

@q5[swapper/169]: count 171709, average 462, total 79493632
@q5[iperf]: count 273, average 497, total 135804
@q5[ksoftirqd/169]: count 173054, average 651, total 112762766

@uc: count 30894, average 1830, total 56540942

@q1[swapper/169]: count 441, average 2648, total 1168186
@q1[ksoftirqd/169]: count 125, average 2764, total 345505
@q1[iperf]: count 1, average 38503, total 38503

@q2[swapper/169]: count 681, average 702, total 478536
@q2[ksoftirqd/169]: count 187, average 713, total 133509
@q2[iperf]: count 2, average 14046, total 28093


@q4[swapper/169]: count 20600, average 1028, total 21179625
@q4[ksoftirqd/169]: count 23330, average 1439, total 33583626
@q4[iperf]: count 33, average 1586, total 52357

@q5[swapper/169]: count 161874, average 463, total 75013907
@q5[iperf]: count 255, average 515, total 131542
