Attaching 12 probes...
Tracing latency of network stack funtions. Hit Ctrl-C to end.
@q1[ksoftirqd/169]: count 64, average 2788, total 178465
@q1[swapper/169]: count 206, average 2828, total 582655

@q2[swapper/169]: count 356, average 658, total 234549
@q2[ksoftirqd/169]: count 116, average 978, total 113514
@q2[iperf]: count 1, average 37430, total 37430


@q4[swapper/169]: count 14306, average 1032, total 14772354
@q4[ksoftirqd/169]: count 17741, average 1330, total 23608547
@q4[iperf]: count 18, average 1575, total 28363

@q5[swapper/169]: count 112640, average 464, total 52291711
@q5[iperf]: count 142, average 494, total 70211
@q5[ksoftirqd/169]: count 140713, average 591, total 83289583

@uc: count 22044, average 4238, total 93439646

@q1[ksoftirqd/169]: count 116, average 2651, total 307570
@q1[swapper/169]: count 432, average 2694, total 1164187

@q2[swapper/169]: count 678, average 652, total 442213
@q2[ksoftirqd/169]: count 178, average 794, total 141382


@q4[swapper/169]: count 20906, average 1038, total 21708101
@q4[ksoftirqd/169]: count 22406, average 1469, total 32921873
@q4[iperf]: count 8, average 3231, total 25850

@q5[swapper/169]: count 164405, average 467, total 76798525
@q5[ksoftirqd/169]: count 177639, average 650, total 115568486
@q5[iperf]: count 64, average 718, total 45988

@uc: count 31967, average 1916, total 61273756

@q1[swapper/169]: count 508, average 2647, total 1345037
@q1[ksoftirqd/169]: count 119, average 2955, total 351669
@q1[iperf]: count 1, average 38382, total 38382

@q2[swapper/169]: count 769, average 677, total 521297
@q2[ksoftirqd/169]: count 182, average 706, total 128649
@q2[iperf]: count 4, average 6296, total 25187


@q4[swapper/169]: count 22790, average 1028, total 23431947
@q4[iperf]: count 34, average 1394, total 47401
@q4[ksoftirqd/169]: count 21047, average 1437, total 30264334

@q5[swapper/169]: count 179201, average 461, total 82776413
@q5[iperf]: count 265, average 475, total 126131
@q5[ksoftirqd/169]: count 166887, average 635, total 106081676

@uc: count 30767, average 1501, total 46202679

@q1[ksoftirqd/169]: count 130, average 2627, total 341554
@q1[swapper/169]: count 392, average 2677, total 1049517

@q2[ksoftirqd/169]: count 186, average 684, total 127367
@q2[swapper/169]: count 619, average 686, total 424969


@q4[swapper/169]: count 19519, average 1042, total 20346463
@q4[ksoftirqd/169]: count 23974, average 1463, total 35092455
@q4[iperf]: count 80, average 1821, total 145748

@q5[swapper/169]: count 153551, average 468, total 71926206
@q5[ksoftirqd/169]: count 190148, average 644, total 122497956
@q5[iperf]: count 636, average 743, total 472557

@uc: count 32965, average 1730, total 57033416

@q1[ksoftirqd/169]: count 119, average 2677, total 318633
@q1[swapper/169]: count 478, average 2713, total 1297184
@q1[iperf]: count 1, average 38692, total 38692

@q2[swapper/169]: count 728, average 677, total 493507
@q2[ksoftirqd/169]: count 187, average 705, total 131982
@q2[iperf]: count 1, average 27512, total 27512


@q4[swapper/169]: count 21756, average 1026, total 22334214
@q4[ksoftirqd/169]: count 22278, average 1443, total 32150121
@q4[iperf]: count 32, average 1570, total 50261

@q5[swapper/169]: count 170994, average 461, total 78985908
@q5[iperf]: count 252, average 510, total 128572
@q5[ksoftirqd/169]: count 176655, average 637, total 112635966

@uc: count 29455, average 1788, total 52683669

@q1[swapper/169]: count 474, average 2683, total 1271975
@q1[ksoftirqd/169]: count 119, average 2860, total 340372

@q2[swapper/169]: count 698, average 662, total 462125
@q2[ksoftirqd/169]: count 186, average 698, total 129890


@q4[swapper/169]: count 21636, average 1037, total 22446431
@q4[ksoftirqd/169]: count 22691, average 1405, total 31901601

@q5[swapper/169]: count 170063, average 468, total 79669339
@q5[ksoftirqd/169]: count 179990, average 628, total 113034458

@uc: count 29899, average 2221, total 66424407

@q1[swapper/169]: count 474, average 2675, total 1268382
@q1[ksoftirqd/169]: count 117, average 2978, total 348479
@q1[iperf]: count 1, average 34385, total 34385

@q2[swapper/169]: count 687, average 648, total 445331
@q2[ksoftirqd/169]: count 187, average 831, total 155467
@q2[iperf]: count 4, average 3990, total 15960
@q2[kworker/169:2]: count 1, average 29044, total 29044


@q4[swapper/169]: count 21674, average 1026, total 22240849
@q4[kworker/169:2]: count 57, average 1312, total 74798
@q4[iperf]: count 28, average 1324, total 37078
@q4[ksoftirqd/169]: count 22430, average 1441, total 32331267

@q5[swapper/169]: count 170466, average 462, total 78895644
@q5[kworker/169:2]: count 452, average 476, total 215533
@q5[iperf]: count 211, average 481, total 101509
@q5[ksoftirqd/169]: count 177875, average 637, total 113324166

@uc: count 31104, average 1743, total 54233145

@q1[swapper/169]: count 516, average 2725, total 1406299
@q1[ksoftirqd/169]: count 139, average 2923, total 406360
@q1[iperf]: count 1, average 39064, total 39064

@q2[swapper/169]: count 727, average 655, total 476361
@q2[ksoftirqd/169]: count 209, average 723, total 151128
@q2[iperf]: count 4, average 6735, total 26940


@q4[swapper/169]: count 22204, average 1029, total 22869341
@q4[iperf]: count 32, average 1421, total 45485
@q4[ksoftirqd/169]: count 21754, average 1436, total 31259006

@q5[swapper/169]: count 174633, average 464, total 81073931
@q5[iperf]: count 244, average 493, total 120499
@q5[ksoftirqd/169]: count 172473, average 635, total 109632427

@uc: count 32138, average 1566, total 50340037

@q1[ksoftirqd/169]: count 130, average 2728, total 354724
@q1[swapper/169]: count 476, average 2770, total 1318555
@q1[kworker/169:2]: count 1, average 39294, total 39294

@q2[swapper/169]: count 671, average 653, total 438759
@q2[ksoftirqd/169]: count 195, average 805, total 157125
@q2[iperf]: count 2, average 13395, total 26791
@q2[kworker/169:2]: count 1, average 25648, total 25648


@q4[swapper/169]: count 20939, average 1032, total 21627123
@q4[kworker/169:2]: count 48, average 1362, total 65390
@q4[iperf]: count 34, average 1406, total 47823
@q4[ksoftirqd/169]: count 23316, average 1435, total 33473451

@q5[swapper/169]: count 164721, average 463, total 76388439
@q5[kworker/169:2]: count 379, average 475, total 180084
@q5[iperf]: count 267, average 489, total 130580
@q5[ksoftirqd/169]: count 184883, average 634, total 117262456

@uc: count 29885, average 1658, total 49575744

@q1[swapper/169]: count 481, average 2709, total 1303064
@q1[ksoftirqd/169]: count 111, average 2869, total 318530

@q2[swapper/169]: count 702, average 647, total 454634
@q2[ksoftirqd/169]: count 180, average 738, total 132979


@q4[swapper/169]: count 21257, average 1024, total 21774895
