Attaching 12 probes...
Tracing latency of network stack funtions. Hit Ctrl-C to end.





@uc: count 590, average 65740, total 38786673






@uc: count 143, average 14867, total 2125996






@uc: count 214, average 11762, total 2517130






@uc: count 397, average 11945, total 4742336






@uc: count 277, average 10340, total 2864252






@uc: count 192, average 17882, total 3433504






@uc: count 164, average 35253, total 5781595






@uc: count 259, average 12673, total 3282369






@uc: count 324, average 13985, total 4531245






@uc: count 106, average 15309, total 1622800






@uc: count 88, average 15285, total 1345099






@uc: count 473, average 13155, total 6222317

@q1[swapper/169]: count 131, average 3668, total 480529
@q1[ksoftirqd/169]: count 20, average 5866, total 117338

@q2[swapper/169]: count 403, average 1108, total 446619
@q2[ksoftirqd/169]: count 46, average 2092, total 96249


@q4[swapper/169]: count 5139, average 1711, total 8794093
@q4[ksoftirqd/169]: count 306, average 1788, total 547344

@q5[swapper/169]: count 39712, average 745, total 29606417
@q5[ksoftirqd/169]: count 2307, average 776, total 1791424

@uc: count 6019, average 8471, total 50990430

@q1[swapper/169]: count 389, average 3262, total 1269192
@q1[ksoftirqd/169]: count 82, average 3599, total 295154
@q1[iperf]: count 2, average 11211, total 22422
@q1[kworker/169:2]: count 1, average 40325, total 40325

@q2[swapper/169]: count 1540, average 1044, total 1608293
@q2[ksoftirqd/169]: count 182, average 1175, total 213988
@q2[iperf]: count 2, average 5580, total 11161
@q2[kworker/169:2]: count 2, average 9693, total 19387


@q4[ksoftirqd/169]: count 1041, average 1625, total 1692508
@q4[swapper/169]: count 18819, average 1628, total 30643865
@q4[kworker/169:2]: count 20, average 2612, total 52257
@q4[iperf]: count 2, average 5881, total 11762

@q5[swapper/169]: count 145131, average 713, total 103606833
@q5[ksoftirqd/169]: count 7764, average 716, total 5563730
@q5[kworker/169:2]: count 152, average 828, total 125943
@q5[iperf]: count 7, average 2026, total 14187

@uc: count 25477, average 2584, total 65833288

@q1[swapper/169]: count 384, average 3252, total 1248775
@q1[ksoftirqd/169]: count 81, average 3456, total 279989
@q1[iperf]: count 2, average 11236, total 22472

@q2[swapper/169]: count 1536, average 1042, total 1601263
@q2[ksoftirqd/169]: count 192, average 1166, total 223983
@q2[iperf]: count 2, average 5946, total 11893


@q4[ksoftirqd/169]: count 1137, average 1599, total 1818623
@q4[swapper/169]: count 18754, average 1620, total 30399389
@q4[iperf]: count 2, average 5541, total 11082

@q5[swapper/169]: count 144534, average 713, total 103162040
@q5[ksoftirqd/169]: count 8489, average 717, total 6088043
@q5[iperf]: count 8, average 1830, total 14647

@uc: count 20227, average 2998, total 60652984

@q1[swapper/169]: count 393, average 3234, total 1271175
@q1[ksoftirqd/169]: count 64, average 3456, total 221225
@q1[iperf]: count 1, average 42610, total 42610

@q2[swapper/169]: count 1563, average 1029, total 1608794
@q2[ksoftirqd/169]: count 168, average 1215, total 204239
@q2[iperf]: count 1, average 24687, total 24687


@q4[swapper/169]: count 18940, average 1619, total 30675021
@q4[ksoftirqd/169]: count 968, average 1627, total 1575694
