Attaching 12 probes...
Tracing latency of network stack funtions. Hit Ctrl-C to end.



@q4[ksoftirqd/169]: count 17336, average 1805, total 31305065

@q5[ksoftirqd/169]: count 137912, average 436, total 60145209

@uc: count 159681, average 3773, total 602585004




@q4[ksoftirqd/169]: count 24872, average 1755, total 43654145

@q5[ksoftirqd/169]: count 197810, average 436, total 86310536

@uc: count 196934, average 2394, total 471515795




@q4[ksoftirqd/169]: count 24778, average 1758, total 43575042

@q5[ksoftirqd/169]: count 197057, average 437, total 86175882

@uc: count 196088, average 2351, total 461154633




@q4[ksoftirqd/169]: count 24587, average 1753, total 43106516

@q5[ksoftirqd/169]: count 195556, average 439, total 86002069

@uc: count 193866, average 2392, total 463914531




@q4[ksoftirqd/169]: count 24529, average 1758, total 43143773

@q5[ksoftirqd/169]: count 195110, average 441, total 86120898

@uc: count 192991, average 2357, total 454922063




@q4[ksoftirqd/169]: count 24836, average 1773, total 44041208

@q5[ksoftirqd/169]: count 392663, average 221, total 86938300

@uc: count 195057, average 2393, total 466818470




@q4[ksoftirqd/169]: count 24652, average 1756, total 43307558

@q5[ksoftirqd/169]: count 196086, average 440, total 86361342

@uc: count 193257, average 2416, total 466913805




@q4[ksoftirqd/169]: count 24698, average 1759, total 43446767

@q5[ksoftirqd/169]: count 196457, average 439, total 86427765

@uc: count 193830, average 2430, total 471008603




@q4[ksoftirqd/169]: count 24485, average 1765, total 43237260

@q5[ksoftirqd/169]: count 194765, average 441, total 85928933

@uc: count 191817, average 2413, total 462863477




@q4[ksoftirqd/169]: count 24597, average 1764, total 43413612

@q5[ksoftirqd/169]: count 195651, average 439, total 85914787

@uc: count 192895, average 2394, total 461941769




@q4[ksoftirqd/169]: count 24712, average 1756, total 43417073

@q5[ksoftirqd/169]: count 196568, average 439, total 86484178

@uc: count 193819, average 2423, total 469788848




@q4[ksoftirqd/169]: count 25020, average 1756, total 43938325

@q5[ksoftirqd/169]: count 198988, average 438, total 87352678

@uc: count 197188, average 2539, total 500780638




@q4[ksoftirqd/169]: count 24644, average 1761, total 43406832

@q5[ksoftirqd/169]: count 395019, average 217, total 86111072

@uc: count 193227, average 2404, total 464704794




@q4[ksoftirqd/169]: count 24574, average 1754, total 43103504

@q5[ksoftirqd/169]: count 195473, average 440, total 86152448

@uc: count 192688, average 2401, total 462761652




@q4[ksoftirqd/169]: count 24624, average 1757, total 43284851

@q5[ksoftirqd/169]: count 195866, average 441, total 86396486

@uc: count 192932, average 2393, total 461821172




@q4[ksoftirqd/169]: count 24723, average 1755, total 43389288

@q5[ksoftirqd/169]: count 196646, average 438, total 86321915

@uc: count 194333, average 2411, total 468691544




@q4[ksoftirqd/169]: count 24522, average 1763, total 43248025

@q5[ksoftirqd/169]: count 195047, average 439, total 85765919

@uc: count 192408, average 2372, total 456428632




@q4[ksoftirqd/169]: count 24584, average 1765, total 43405586

@q5[ksoftirqd/169]: count 195538, average 440, total 86179131

@uc: count 192891, average 2376, total 458312919




@q4[ksoftirqd/169]: count 24493, average 1757, total 43036604

