Attaching 12 probes...
Tracing latency of network stack funtions. Hit Ctrl-C to end.





@uc: count 513, average 41792, total 21439767






@uc: count 481, average 36604, total 17606743




@q4[ksoftirqd/169]: count 25166, average 1855, total 46689762
@q4[swapper/169]: count 8, average 9827, total 78617

@q5[ksoftirqd/169]: count 200179, average 440, total 88109563
@q5[swapper/169]: count 64, average 1599, total 102383

@uc: count 165399, average 2188, total 361953410




@q4[ksoftirqd/169]: count 25377, average 1844, total 46809522

@q5[ksoftirqd/169]: count 201844, average 431, total 87039282

@uc: count 202709, average 1745, total 353900321




@q4[ksoftirqd/169]: count 25059, average 1854, total 46472803

@q5[ksoftirqd/169]: count 199331, average 433, total 86336696

@uc: count 199990, average 1717, total 343392484




@q4[ksoftirqd/169]: count 24969, average 1812, total 45256418

@q5[ksoftirqd/169]: count 198604, average 434, total 86261724

@uc: count 199324, average 1712, total 341388892




@q4[ksoftirqd/169]: count 24972, average 1845, total 46084081

@q5[ksoftirqd/169]: count 198624, average 434, total 86311176

@uc: count 223023, average 1534, total 342303999




@q4[ksoftirqd/169]: count 24969, average 1843, total 46024198

@q5[ksoftirqd/169]: count 198616, average 433, total 86113249

@uc: count 199498, average 1705, total 340304382




@q4[ksoftirqd/169]: count 24908, average 1840, total 45855464

@q5[ksoftirqd/169]: count 198122, average 434, total 86081588

@uc: count 198822, average 1720, total 342087549




@q4[ksoftirqd/169]: count 24781, average 1845, total 45744511

@q5[ksoftirqd/169]: count 197110, average 436, total 86035985

@uc: count 197874, average 1730, total 342347465




@q4[ksoftirqd/169]: count 24665, average 1845, total 45521269

@q5[ksoftirqd/169]: count 196175, average 436, total 85600297

@uc: count 197129, average 1729, total 340858846




@q4[ksoftirqd/169]: count 24709, average 1848, total 45665348

@q5[ksoftirqd/169]: count 196533, average 434, total 85463436

@uc: count 197462, average 1727, total 341100881




@q4[ksoftirqd/169]: count 24709, average 1862, total 46016478

@q5[ksoftirqd/169]: count 196539, average 435, total 85684252

@uc: count 197218, average 1732, total 341613539




@q4[ksoftirqd/169]: count 24750, average 1862, total 46106946

@q5[ksoftirqd/169]: count 196863, average 434, total 85554948

@uc: count 197743, average 1788, total 353575326




@q4[ksoftirqd/169]: count 24857, average 1856, total 46155769

@q5[ksoftirqd/169]: count 197709, average 435, total 86107509

@uc: count 198986, average 1841, total 366346868




@q4[ksoftirqd/169]: count 24766, average 1858, total 46027303

@q5[ksoftirqd/169]: count 196985, average 436, total 85907376

@uc: count 197804, average 1730, total 342352797




@q4[ksoftirqd/169]: count 25853, average 1858, total 48044329

@q5[ksoftirqd/169]: count 205615, average 437, total 89873802

@uc: count 206049, average 2102, total 433248988




@q4[ksoftirqd/169]: count 26494, average 1848, total 48965629

@q5[ksoftirqd/169]: count 210736, average 437, total 92220927

@uc: count 211031, average 2457, total 518711468




@q4[ksoftirqd/169]: count 25530, average 1841, total 47004036

@q5[ksoftirqd/169]: count 203070, average 439, total 89198330

