Attaching 12 probes...
Tracing latency of network stack funtions. Hit Ctrl-C to end.





@uc: count 676, average 149003, total 100726624






@uc: count 201, average 7431, total 1493817






@uc: count 624, average 8518, total 5315617






@uc: count 401, average 8227, total 3299379






@uc: count 204, average 7911, total 1613844






@uc: count 276, average 8023, total 2214357






@uc: count 419, average 7992, total 3349064






@uc: count 335, average 8006, total 2682177






@uc: count 218, average 8311, total 1811806






@uc: count 268, average 9451, total 2532974






@uc: count 683, average 17744, total 12119637






@uc: count 693, average 22799, total 15799969






@uc: count 329, average 33720, total 11093892






@uc: count 218, average 8489, total 1850663






@uc: count 444, average 8344, total 3705121






@uc: count 399, average 8311, total 3316454






@uc: count 212, average 7576, total 1606122






@uc: count 199, average 7595, total 1511442






@uc: count 434, average 8060, total 3498096






@uc: count 323, average 7982, total 2578245






@uc: count 274, average 7245, total 1985277






@uc: count 206, average 8222, total 1693818






@uc: count 842, average 24034, total 20237090






@uc: count 622, average 18061, total 11234467






@uc: count 201, average 8537, total 1715977






@uc: count 194, average 7908, total 1534332






@uc: count 531, average 8560, total 4545644






@uc: count 339, average 8829, total 2993346






@uc: count 209, average 7971, total 1666111






@uc: count 464, average 13887, total 6443915






@uc: count 443, average 8920, total 3951647






@uc: count 422, average 7574, total 3196240






@uc: count 210, average 9443, total 1983225






@uc: count 254, average 10782, total 2738806






@uc: count 1048, average 25746, total 26982253






@uc: count 319, average 7907, total 2522501






@uc: count 282, average 8140, total 2295726






@uc: count 213, average 8041, total 1712919






@uc: count 436, average 8372, total 3650526






@uc: count 357, average 8954, total 3196809






@uc: count 207, average 7640, total 1581536






@uc: count 320, average 8320, total 2662499






@uc: count 474, average 8281, total 3925608






@uc: count 370, average 8839, total 3270455






@uc: count 400, average 12473, total 4989532






@uc: count 626, average 19566, total 12248808






@uc: count 542, average 8572, total 4646279






@uc: count 335, average 8241, total 2761014






@uc: count 219, average 9130, total 1999661






@uc: count 222, average 8410, total 1867030






@uc: count 427, average 8030, total 3428907






@uc: count 422, average 8049, total 3396977






@uc: count 223, average 10128, total 2258662






@uc: count 215, average 8135, total 1749129






@uc: count 438, average 8394, total 3676673






@uc: count 501, average 22798, total 11421914






@uc: count 287, average 9459, total 2714769






@uc: count 701, average 48999, total 34348523
