Attaching 12 probes...
Tracing latency of network stack funtions. Hit Ctrl-C to end.

@q2[ksoftirqd/169]: count 7, average 1262, total 8836
@q2[openssl]: count 33, average 86166, total 2843483


@q4[openssl]: count 6349, average 996, total 6325596
@q4[ksoftirqd/169]: count 12130, average 1258, total 15270983
@q4[kworker/169:1]: count 11, average 1294, total 14234

@q5[ksoftirqd/169]: count 96296, average 437, total 42136574
@q5[openssl]: count 49264, average 439, total 21657706
@q5[kworker/169:1]: count 61, average 509, total 31069

@uc: count 4211, average 20361, total 85742108




@q4[ksoftirqd/169]: count 22029, average 1247, total 27474405

@q5[ksoftirqd/169]: count 175241, average 437, total 76698460

@uc: count 5470, average 2381, total 13026441




@q4[ksoftirqd/169]: count 21459, average 1245, total 26735630

@q5[ksoftirqd/169]: count 170728, average 437, total 74752394

@uc: count 6792, average 2178, total 14798153




@q4[ksoftirqd/169]: count 21517, average 1246, total 26818551

@q5[ksoftirqd/169]: count 171184, average 437, total 74825223

@uc: count 4264, average 3383, total 14428728




@q4[ksoftirqd/169]: count 21402, average 1253, total 26829130

@q5[ksoftirqd/169]: count 170203, average 438, total 74616005

@uc: count 6239, average 2984, total 18620788




@q4[ksoftirqd/169]: count 21528, average 1250, total 26922200

@q5[ksoftirqd/169]: count 171217, average 438, total 75042862

@uc: count 6379, average 2181, total 13917798




@q4[ksoftirqd/169]: count 21584, average 1249, total 26968309

@q5[ksoftirqd/169]: count 171663, average 438, total 75189529

@uc: count 6911, average 2131, total 14729177




@q4[ksoftirqd/169]: count 21879, average 1242, total 27182956

@q5[ksoftirqd/169]: count 174072, average 437, total 76121013

@uc: count 5798, average 4676, total 27116474




@q4[ksoftirqd/169]: count 21730, average 1250, total 27181080

@q5[ksoftirqd/169]: count 172879, average 437, total 75607456

@uc: count 5959, average 2784, total 16590912




@q4[ksoftirqd/169]: count 21222, average 1256, total 26673333

@q5[ksoftirqd/169]: count 168769, average 437, total 73882071

@uc: count 5597, average 4735, total 26505069




@q4[ksoftirqd/169]: count 21616, average 1245, total 26917872

@q5[ksoftirqd/169]: count 171916, average 437, total 75133480

@uc: count 6122, average 8736, total 53487653




@q4[ksoftirqd/169]: count 21888, average 1242, total 27185227

@q5[ksoftirqd/169]: count 174080, average 437, total 76202625

@uc: count 7213, average 2299, total 16587002




@q4[ksoftirqd/169]: count 21340, average 1255, total 26785281

@q5[ksoftirqd/169]: count 169802, average 438, total 74526857

@uc: count 6014, average 5576, total 33535317




@q4[ksoftirqd/169]: count 21426, average 1253, total 26849161

@q5[ksoftirqd/169]: count 170397, average 437, total 74557175

@uc: count 4911, average 2751, total 13512473




