Attaching 12 probes...
Tracing latency of network stack funtions. Hit Ctrl-C to end.
@q1[openssl]: count 833, average 2511, total 2091855
@q1[ksoftirqd/169]: count 77, average 2667, total 205408
@q1[kworker/169:1]: count 2, average 8335, total 16671

@q2[openssl]: count 999, average 2627, total 2624992
@q2[ksoftirqd/169]: count 144, average 9760, total 1405567
@q2[kworker/169:1]: count 2, average 15439, total 30879


@q4[openssl]: count 25632, average 951, total 24393244
@q4[ksoftirqd/169]: count 1910, average 1024, total 1955885
@q4[kworker/169:1]: count 10, average 3304, total 33041

@q5[ksoftirqd/169]: count 14521, average 438, total 6365199
@q5[openssl]: count 199206, average 439, total 87585944
@q5[kworker/169:1]: count 76, average 737, total 56075

@uc: count 3151, average 29508, total 92979827

@q1[openssl]: count 1630, average 2556, total 4167708
@q1[ksoftirqd/169]: count 156, average 2702, total 421624

@q2[openssl]: count 1706, average 635, total 1084282
@q2[ksoftirqd/169]: count 204, average 670, total 136816


@q4[ksoftirqd/169]: count 2115, average 950, total 2009662
@q4[openssl]: count 35073, average 952, total 33421703

@q5[ksoftirqd/169]: count 16179, average 437, total 7072449
@q5[openssl]: count 272919, average 439, total 119958562

@uc: count 2170, average 5142, total 11158933

@q1[openssl]: count 1595, average 2543, total 4057082
@q1[ksoftirqd/169]: count 146, average 2598, total 379356
@q1[kworker/169:1]: count 1, average 36368, total 36368

@q2[openssl]: count 1695, average 640, total 1085141
@q2[ksoftirqd/169]: count 229, average 658, total 150895
@q2[kworker/169:1]: count 4, average 4030, total 16120


@q4[openssl]: count 34863, average 952, total 33212817
@q4[ksoftirqd/169]: count 2261, average 953, total 2155397
@q4[kworker/169:1]: count 73, average 1055, total 77057

@q5[openssl]: count 271317, average 438, total 119105851
@q5[ksoftirqd/169]: count 17214, average 439, total 7570649
@q5[kworker/169:1]: count 571, average 454, total 259692

@uc: count 2705, average 6446, total 17438454

@q1[openssl]: count 1619, average 2499, total 4046372
@q1[ksoftirqd/169]: count 154, average 2772, total 426946

@q2[openssl]: count 1711, average 645, total 1104094
@q2[ksoftirqd/169]: count 203, average 674, total 136892
@q2[kworker/169:1]: count 2, average 18535, total 37070


@q4[ksoftirqd/169]: count 2100, average 951, total 1998107
@q4[openssl]: count 35067, average 953, total 33437821
@q4[kworker/169:1]: count 40, average 1469, total 58773

@q5[ksoftirqd/169]: count 16040, average 437, total 7017492
@q5[openssl]: count 272757, average 438, total 119694930
@q5[kworker/169:1]: count 314, average 493, total 155081

@uc: count 2101, average 6333, total 13307473

@q1[openssl]: count 1609, average 2550, total 4103216
@q1[ksoftirqd/169]: count 169, average 2750, total 464833

@q2[openssl]: count 1685, average 643, total 1083498
@q2[ksoftirqd/169]: count 224, average 661, total 148168


@q4[openssl]: count 34721, average 950, total 33013752
@q4[ksoftirqd/169]: count 2460, average 953, total 2344542

@q5[openssl]: count 543020, average 218, total 118568412
@q5[ksoftirqd/169]: count 18823, average 437, total 8238748

@uc: count 2146, average 5513, total 11831901

@q1[openssl]: count 1607, average 2587, total 4158064
@q1[ksoftirqd/169]: count 138, average 2652, total 366046

@q2[openssl]: count 1690, average 641, total 1084586
@q2[ksoftirqd/169]: count 195, average 673, total 131271
@q2[kworker/169:1]: count 1, average 5861, total 5861


@q4[openssl]: count 34815, average 954, total 33227393
@q4[ksoftirqd/169]: count 2326, average 968, total 2252955
@q4[kworker/169:1]: count 34, average 1106, total 37622

@q5[ksoftirqd/169]: count 17884, average 437, total 7817616
@q5[openssl]: count 270956, average 438, total 118824654
@q5[kworker/169:1]: count 270, average 452, total 122290

@uc: count 2110, average 5430, total 11457533

@q1[ksoftirqd/169]: count 144, average 2507, total 361103
@q1[openssl]: count 1603, average 2580, total 4136222

@q2[openssl]: count 1674, average 643, total 1077157
@q2[ksoftirqd/169]: count 222, average 685, total 152129
@q2[kworker/169:1]: count 2, average 18685, total 37370


@q4[ksoftirqd/169]: count 2277, average 952, total 2168938
@q4[openssl]: count 34865, average 952, total 33201829
@q4[kworker/169:1]: count 40, average 1420, total 56834

@q5[ksoftirqd/169]: count 17344, average 438, total 7603009
@q5[openssl]: count 271508, average 438, total 119150878
@q5[kworker/169:1]: count 314, average 490, total 154048

@uc: count 2613, average 6533, total 17072937

@q1[openssl]: count 1582, average 2554, total 4041834
@q1[ksoftirqd/169]: count 163, average 2925, total 476797

@q2[openssl]: count 1665, average 645, total 1075136
@q2[ksoftirqd/169]: count 215, average 679, total 146114


@q4[openssl]: count 34949, average 953, total 33322667
@q4[ksoftirqd/169]: count 2208, average 956, total 2112411

@q5[ksoftirqd/169]: count 16868, average 437, total 7374952
@q5[openssl]: count 272185, average 438, total 119454574

@uc: count 2278, average 5707, total 13002776

@q1[ksoftirqd/169]: count 153, average 2523, total 386097
@q1[openssl]: count 1601, average 2572, total 4119025

@q2[openssl]: count 1701, average 642, total 1092045
@q2[ksoftirqd/169]: count 213, average 664, total 141559
@q2[kworker/169:1]: count 1, average 36438, total 36438


@q4[openssl]: count 34908, average 953, total 33291580
@q4[ksoftirqd/169]: count 2243, average 954, total 2141524
@q4[kworker/169:1]: count 37, average 1576, total 58348

@q5[ksoftirqd/169]: count 17106, average 438, total 7496139
@q5[openssl]: count 271721, average 438, total 119226686
@q5[kworker/169:1]: count 292, average 499, total 145778

@uc: count 2211, average 5576, total 12330037

@q1[ksoftirqd/169]: count 136, average 2412, total 328053
@q1[openssl]: count 1525, average 2632, total 4014719

@q2[openssl]: count 1634, average 637, total 1040951
@q2[ksoftirqd/169]: count 220, average 670, total 147594
@q2[kworker/169:1]: count 1, average 34685, total 34685


@q4[openssl]: count 34408, average 958, total 32989795
@q4[ksoftirqd/169]: count 2689, average 976, total 2625408
@q4[kworker/169:1]: count 39, average 1374, total 53613

@q5[ksoftirqd/169]: count 20625, average 440, total 9084472
@q5[openssl]: count 268116, average 440, total 118036908
@q5[kworker/169:1]: count 308, average 490, total 150942

@uc: count 2846, average 12021, total 34213383

@q1[ksoftirqd/169]: count 140, average 2357, total 330075
@q1[openssl]: count 1570, average 2609, total 4097281

@q2[openssl]: count 1665, average 647, total 1078085
