Attaching 12 probes...
Tracing latency of network stack funtions. Hit Ctrl-C to end.



@q4[openssl]: count 1282, average 996, total 1277413
@q4[ksoftirqd/169]: count 14606, average 1334, total 19497624

@q5[ksoftirqd/169]: count 116130, average 433, total 50343300
@q5[openssl]: count 10086, average 435, total 4395665

@uc: count 3419, average 24523, total 83846672




@q4[ksoftirqd/169]: count 20920, average 1269, total 26556901

@q5[ksoftirqd/169]: count 166381, average 430, total 71651916

@uc: count 5507, average 6475, total 35663189




@q4[ksoftirqd/169]: count 21167, average 1261, total 26697472

@q5[ksoftirqd/169]: count 168410, average 432, total 72763901

@uc: count 5529, average 2518, total 13924805




@q4[ksoftirqd/169]: count 20913, average 1258, total 26329334

@q5[ksoftirqd/169]: count 166313, average 430, total 71657842

@uc: count 5320, average 6223, total 33106768




@q4[ksoftirqd/169]: count 20954, average 1271, total 26645894

@q5[ksoftirqd/169]: count 166708, average 430, total 71759777

@uc: count 3390, average 3844, total 13032629




@q4[ksoftirqd/169]: count 20781, average 1251, total 26013583

@q5[ksoftirqd/169]: count 165284, average 431, total 71282781

@uc: count 9174, average 3186, total 29234234




@q4[ksoftirqd/169]: count 20911, average 1252, total 26189414

@q5[ksoftirqd/169]: count 166293, average 431, total 71748766

@uc: count 6811, average 2768, total 18855206




@q4[ksoftirqd/169]: count 21386, average 1258, total 26918024

@q5[ksoftirqd/169]: count 170146, average 431, total 73488071

@uc: count 9133, average 2216, total 20239777




@q4[ksoftirqd/169]: count 21171, average 1255, total 26576222

@q5[ksoftirqd/169]: count 168322, average 430, total 72466232

@uc: count 6554, average 2334, total 15300995




@q4[ksoftirqd/169]: count 21418, average 1254, total 26879014

@q5[ksoftirqd/169]: count 170406, average 429, total 73113711

@uc: count 2270, average 5029, total 11416777




@q4[ksoftirqd/169]: count 21062, average 1264, total 26632560

@q5[ksoftirqd/169]: count 167455, average 430, total 72070266

@uc: count 6725, average 6069, total 40815842




@q4[ksoftirqd/169]: count 21439, average 1262, total 27076846

@q5[ksoftirqd/169]: count 170573, average 429, total 73319569

@uc: count 4453, average 6618, total 29470631




@q4[ksoftirqd/169]: count 21582, average 1266, total 27342585

@q5[ksoftirqd/169]: count 171624, average 428, total 73527928

@uc: count 3665, average 6491, total 23792771




@q4[ksoftirqd/169]: count 20663, average 1275, total 26349251

@q5[ksoftirqd/169]: count 164313, average 430, total 70669826

@uc: count 3939, average 3770, total 14851472




@q4[ksoftirqd/169]: count 21013, average 1271, total 26723347

@q5[ksoftirqd/169]: count 167185, average 428, total 71702657

@uc: count 4606, average 3059, total 14094294




@q4[ksoftirqd/169]: count 20734, average 1271, total 26357079

@q5[ksoftirqd/169]: count 164918, average 430, total 70955905

@uc: count 5353, average 3490, total 18685711




@q4[ksoftirqd/169]: count 20573, average 1280, total 26343182

@q5[ksoftirqd/169]: count 163566, average 431, total 70567150

@uc: count 5904, average 2757, total 16281533




@q4[ksoftirqd/169]: count 20736, average 1279, total 26532664

@q5[ksoftirqd/169]: count 164981, average 430, total 70961655

@uc: count 6008, average 2487, total 14942743




@q4[ksoftirqd/169]: count 20648, average 1273, total 26298523

@q5[ksoftirqd/169]: count 164168, average 432, total 70982409

@uc: count 4337, average 3850, total 16697924




@q4[ksoftirqd/169]: count 20984, average 1266, total 26579706

@q5[ksoftirqd/169]: count 166890, average 429, total 71625376

@uc: count 4021, average 7375, total 29655943




@q4[ksoftirqd/169]: count 20622, average 1274, total 26285262

@q5[ksoftirqd/169]: count 164067, average 430, total 70614564

@uc: count 5829, average 2709, total 15795052




@q4[ksoftirqd/169]: count 21163, average 1266, total 26794704

@q5[ksoftirqd/169]: count 168266, average 429, total 72324264

@uc: count 4962, average 9607, total 47673269




@q4[ksoftirqd/169]: count 20581, average 1273, total 26209333

@q5[ksoftirqd/169]: count 163749, average 430, total 70573557

@uc: count 4860, average 2969, total 14432654




@q4[ksoftirqd/169]: count 21146, average 1268, total 26832219

@q5[ksoftirqd/169]: count 168195, average 429, total 72199060

@uc: count 4448, average 6808, total 30285572




@q4[ksoftirqd/169]: count 21100, average 1271, total 26831215

@q5[ksoftirqd/169]: count 167828, average 429, total 72113474

@uc: count 3582, average 7052, total 25263442




@q4[ksoftirqd/169]: count 21027, average 1269, total 26691388

@q5[ksoftirqd/169]: count 167180, average 429, total 71734233

@uc: count 3632, average 3635, total 13204193




@q4[ksoftirqd/169]: count 20919, average 1274, total 26669911

@q5[ksoftirqd/169]: count 166438, average 430, total 71643617

@uc: count 5626, average 2826, total 15901369




@q4[ksoftirqd/169]: count 21205, average 1267, total 26873044

@q5[ksoftirqd/169]: count 168652, average 428, total 72337108

@uc: count 3794, average 4499, total 17071677




@q4[ksoftirqd/169]: count 20556, average 1287, total 26465508

@q5[ksoftirqd/169]: count 163430, average 431, total 70502735

@uc: count 4485, average 3179, total 14261688




@q4[ksoftirqd/169]: count 20874, average 1276, total 26651790

@q5[ksoftirqd/169]: count 166079, average 429, total 71285773

@uc: count 4806, average 3130, total 15047416




@q4[ksoftirqd/169]: count 21006, average 1275, total 26794818

@q5[ksoftirqd/169]: count 333145, average 215, total 71664958

@uc: count 4205, average 3330, total 14005030




@q4[ksoftirqd/169]: count 20659, average 1273, total 26316652

@q5[ksoftirqd/169]: count 164385, average 430, total 70764710

@uc: count 6108, average 3807, total 23257210




@q4[ksoftirqd/169]: count 21240, average 1273, total 27051427

@q5[ksoftirqd/169]: count 168888, average 429, total 72517042

@uc: count 4051, average 6762, total 27394890




@q4[ksoftirqd/169]: count 21017, average 1271, total 26726084

@q5[ksoftirqd/169]: count 167137, average 429, total 71830224

@uc: count 4798, average 8701, total 41748668




@q4[ksoftirqd/169]: count 21524, average 1262, total 27167512

@q5[ksoftirqd/169]: count 171256, average 428, total 73410118

@uc: count 3781, average 8925, total 33747175




@q4[ksoftirqd/169]: count 20861, average 1271, total 26534380

@q5[ksoftirqd/169]: count 165920, average 429, total 71295322

@uc: count 5464, average 3435, total 18771479




@q4[ksoftirqd/169]: count 21230, average 1271, total 27002066

