Attaching 12 probes...
Tracing latency of network stack funtions. Hit Ctrl-C to end.



@q4[ksoftirqd/169]: count 11875, average 1346, total 15990764
@q4[openssl]: count 2682, average 1662, total 4459318
@q4[kworker/169:1]: count 25, average 1950, total 48753

@q5[ksoftirqd/169]: count 94328, average 438, total 41317859
@q5[openssl]: count 20620, average 440, total 9074193
@q5[kworker/169:1]: count 196, average 456, total 89445

@uc: count 4429, average 22174, total 98213033




@q4[ksoftirqd/169]: count 17320, average 1306, total 22631967

@q5[ksoftirqd/169]: count 137749, average 439, total 60583524

@uc: count 6331, average 6520, total 41281451




@q4[ksoftirqd/169]: count 17182, average 1298, total 22307620

@q5[ksoftirqd/169]: count 136710, average 442, total 60476301

@uc: count 6903, average 2792, total 19274902




@q4[ksoftirqd/169]: count 17283, average 1276, total 22063731

@q5[ksoftirqd/169]: count 137447, average 877, total 120662438

@uc: count 8637, average 2457, total 21223897




@q4[ksoftirqd/169]: count 17136, average 1294, total 22186069

@q5[ksoftirqd/169]: count 136286, average 439, total 59938280

@uc: count 8474, average 2618, total 22187715




@q4[ksoftirqd/169]: count 17353, average 1301, total 22590943

@q5[ksoftirqd/169]: count 138069, average 440, total 60762231

@uc: count 6968, average 3265, total 22752426




@q4[ksoftirqd/169]: count 17475, average 1293, total 22601883

@q5[ksoftirqd/169]: count 139029, average 440, total 61256583

@uc: count 7444, average 2801, total 20851079




@q4[ksoftirqd/169]: count 17335, average 1314, total 22785662

@q5[ksoftirqd/169]: count 137853, average 439, total 60588953

@uc: count 7973, average 2820, total 22485506




@q4[ksoftirqd/169]: count 17261, average 1281, total 22124687

@q5[ksoftirqd/169]: count 137340, average 437, total 60144501

@uc: count 6958, average 3110, total 21640259




@q4[ksoftirqd/169]: count 17226, average 1305, total 22488428

@q5[ksoftirqd/169]: count 137047, average 439, total 60299605

@uc: count 8199, average 2754, total 22580364




@q4[ksoftirqd/169]: count 17323, average 1282, total 22215735

@q5[ksoftirqd/169]: count 137765, average 441, total 60819889

@uc: count 7997, average 3810, total 30471379




@q4[ksoftirqd/169]: count 17392, average 1263, total 21977467

@q5[ksoftirqd/169]: count 138323, average 439, total 60741016

@uc: count 10136, average 3432, total 34793694




