Attaching 12 probes...
Tracing latency of network stack funtions. Hit Ctrl-C to end.
@q1[ksoftirqd/169]: count 67, average 2508, total 168057
@q1[openssl]: count 463, average 2547, total 1179445
@q1[kworker/169:1]: count 4, average 5239, total 20959

@q2[kworker/169:1]: count 5, average 2378, total 11893
@q2[openssl]: count 924, average 2778, total 2567383
@q2[ksoftirqd/169]: count 156, average 23695, total 3696463


@q4[ksoftirqd/169]: count 3615, average 963, total 3483448
@q4[openssl]: count 27498, average 975, total 26820357
@q4[kworker/169:1]: count 15, average 3319, total 49792

@q5[openssl]: count 215290, average 431, total 92852569
@q5[ksoftirqd/169]: count 28050, average 434, total 12188905
@q5[kworker/169:1]: count 109, average 731, total 79769

@uc: count 3824, average 17278, total 66074000

@q1[openssl]: count 878, average 2446, total 2147709
@q1[ksoftirqd/169]: count 152, average 2582, total 392594

@q2[openssl]: count 1536, average 643, total 989114
@q2[ksoftirqd/169]: count 258, average 690, total 178076


@q4[openssl]: count 39463, average 965, total 38093457
@q4[ksoftirqd/169]: count 2804, average 968, total 2715169

@q5[openssl]: count 309212, average 429, total 132835897
@q5[ksoftirqd/169]: count 21555, average 432, total 9330023

@uc: count 2094, average 5844, total 12238853

@q1[openssl]: count 824, average 2380, total 1961682
@q1[ksoftirqd/169]: count 155, average 2592, total 401871

@q2[openssl]: count 1507, average 642, total 968822
@q2[ksoftirqd/169]: count 268, average 717, total 192275


@q4[openssl]: count 38747, average 965, total 37400688
@q4[ksoftirqd/169]: count 3051, average 976, total 2980286

@q5[openssl]: count 303645, average 429, total 130395249
@q5[ksoftirqd/169]: count 23523, average 433, total 10206722

@uc: count 2430, average 6796, total 16515981

@q1[openssl]: count 876, average 2457, total 2152679
@q1[ksoftirqd/169]: count 155, average 2560, total 396841

@q2[openssl]: count 1551, average 643, total 997451
@q2[ksoftirqd/169]: count 250, average 697, total 174307


@q4[ksoftirqd/169]: count 2702, average 962, total 2599897
@q4[openssl]: count 39525, average 967, total 38245314

@q5[openssl]: count 309828, average 429, total 133027178
@q5[ksoftirqd/169]: count 20761, average 433, total 8994302

@uc: count 1991, average 6277, total 12499335

@q1[openssl]: count 846, average 2474, total 2093577
@q1[ksoftirqd/169]: count 152, average 2540, total 386170

@q2[openssl]: count 1516, average 637, total 965877
@q2[ksoftirqd/169]: count 261, average 710, total 185512


@q4[openssl]: count 39418, average 967, total 38132544
@q4[ksoftirqd/169]: count 2963, average 970, total 2874758

@q5[openssl]: count 309059, average 429, total 132762981
@q5[ksoftirqd/169]: count 22820, average 432, total 9870026

@uc: count 1989, average 6134, total 12202403

@q1[openssl]: count 859, average 2464, total 2116649
@q1[ksoftirqd/169]: count 160, average 2599, total 415933

@q2[openssl]: count 1563, average 644, total 1007570
@q2[ksoftirqd/169]: count 258, average 681, total 175871


@q4[ksoftirqd/169]: count 2861, average 962, total 2754989
@q4[openssl]: count 39704, average 966, total 38380311

@q5[openssl]: count 311237, average 429, total 133601137
@q5[ksoftirqd/169]: count 22003, average 433, total 9535603

@uc: count 1996, average 5352, total 10683024

@q1[openssl]: count 836, average 2493, total 2084635
@q1[ksoftirqd/169]: count 176, average 2590, total 455967

@q2[openssl]: count 1525, average 641, total 978053
@q2[ksoftirqd/169]: count 292, average 668, total 195209


@q4[ksoftirqd/169]: count 3254, average 963, total 3136040
@q4[openssl]: count 39393, average 966, total 38070266

@q5[openssl]: count 308929, average 429, total 132668921
@q5[ksoftirqd/169]: count 25036, average 433, total 10841809

