,count
0,
1,
2,
3,
4,
5,
6,
7,
8,
9,
10,
11,
12,
13,
14,
15,
16,
17,
18,
19,
20,
21,
22,
23,
24,
25,
26,
27,
28,
29,
30,
31,
32,
33,
34,
35,
36,
37,
38,
39,
40,
41,
42,
43,
44,
45,
46,
47,
48,
49,
50,
51,
52,
53,
54,
55,
56,
57,
58,
59,
60,
61,
62,
63,
64,
65,
66,
67,
68,
69,
70,
71,
72,
73,
74,
75,
76,
77,
78,
79,
80,5.0
81,11165.0
82,131.0
83,409.0
84,0.0
85,190.0
86,0.0
87,47.0
88,
89,-32.0
90,42.0
91,1954.0
92,1576.0
93,-349.0
94,0.0
95,-3.0
96,4.0
97,45.0
98,-716.0
99,5.0
100,-429.0
101,-786.0
102,
103,28.0
104,0.0
105,0.0
106,-16.0
107,0.0
108,4280.0
109,-2.0
110,29.0
111,-241.0
112,3947.0
113,66.0
114,-104.0
115,-15.0
116,-18.0
117,-14.0
118,9.0
119,-4.0
120,4.0
121,0.0
122,-4.0
123,7.0
124,274.0
125,240.0
126,-6.0
127,1.0
128,-4.0
129,834.0
130,-10.0
131,-40.0
132,-11.0
133,1207.0
134,-13.0
135,1458.0
136,-24.0
137,0.0
138,0.0
139,94.0
140,2818.0
141,-19.0
142,0.0
143,202.0
144,0.0
145,2.0
146,-62.0
147,880.0
148,106.0
149,-713.0
150,0.0
151,0.0
152,503.0
153,8.0
154,91.0
155,0.0
156,-9.0
157,3.0
158,233.0
159,1441.0
160,-13.0
161,445.0
162,-2.0
163,-197.0
164,264.0
165,61.0
166,-1.0
167,-3.0
168,
169,24.0
170,7205.0
171,78.0
172,804.0
173,4.0
174,0.0
175,
176,27.0
177,445.0
178,2192.0
179,-59.0
180,169.0
181,-4.0
182,-210.0
183,888.0
184,-40.0
185,437.0
186,0.0
187,0.0
188,6.0
189,-13.0
190,9.0
191,1383.0
192,2282.0
193,19.0
194,12.0
195,29.0
196,1.0
197,409.0
198,47.0
199,-193.0
200,0.0
201,0.0
202,-21.0
203,96.0
204,129.0
205,889.0
206,736.0
207,17.0
208,100.0
209,-12.0
210,0.0
211,0.0
212,0.0
213,0.0
214,-1.0
215,4.0
216,3140.0
217,0.0
218,630.0
219,0.0
220,23.0
221,0.0
222,2636.0
223,93.0
224,6011.0
225,16.0
226,-12.0
227,-6.0
228,5.0
229,0.0
230,0.0
231,
232,25.0
233,318.0
234,-6.0
235,2467.0
236,802.0
237,-6.0
238,3199.0
239,
240,0.0
241,2958.0
242,0.0
243,19.0
244,19.0
245,51.0
246,28.0
247,-8.0
248,0.0
249,-590.0
250,18.0
251,-17.0
252,9759.0
253,48851.0
254,-94.0
255,332.0
256,-40.0
257,0.0
258,6.0
259,0.0
260,137.0
261,2.0
262,107451.0
263,823.0
264,4.0
265,
266,33118.0
267,4327.0
268,-5.0
269,14636.0
