,comm,count,pid,time,time (ms),cn,ues,tool,syscall
0,amf,2443,18598,07:44:03,38.705375,free5gc,100,sysprocess_sched_yield,sched_yield
1,mongod,7343,13372,07:44:03,17.122063,free5gc,100,sysprocess_sched_yield,sched_yield
2,nrf,95,18587,07:44:03,8.285115,free5gc,100,sysprocess_sched_yield,sched_yield
3,udm,324,18639,07:44:03,8.048028,free5gc,100,sysprocess_sched_yield,sched_yield
4,udr,227,18620,07:44:03,6.450657,free5gc,100,sysprocess_sched_yield,sched_yield
5,ausf,181,18654,07:44:03,6.425749,free5gc,100,sysprocess_sched_yield,sched_yield
6,pcf,17,18629,07:44:03,0.291773,free5gc,100,sysprocess_sched_yield,sched_yield
7,smf,1,18610,07:44:03,0.005813,free5gc,100,sysprocess_sched_yield,sched_yield
8,amf,12588,18598,09:14:48,112.502265,free5gc,300,sysprocess_sched_yield,sched_yield
9,mongod,13919,13372,09:14:48,38.313482,free5gc,300,sysprocess_sched_yield,sched_yield
10,udr,681,18620,09:14:48,31.925957,free5gc,300,sysprocess_sched_yield,sched_yield
11,udm,1357,18639,09:14:48,30.344856,free5gc,300,sysprocess_sched_yield,sched_yield
12,nrf,563,18587,09:14:48,27.038181,free5gc,300,sysprocess_sched_yield,sched_yield
13,ausf,678,18654,09:14:48,14.491476,free5gc,300,sysprocess_sched_yield,sched_yield
14,pcf,55,18629,09:14:48,2.916693,free5gc,300,sysprocess_sched_yield,sched_yield
15,amf,5831,18598,08:25:33,53.274059,free5gc,200,sysprocess_sched_yield,sched_yield
16,nrf,584,18587,08:25:33,47.398229,free5gc,200,sysprocess_sched_yield,sched_yield
17,mongod,13642,13372,08:25:33,29.994079,free5gc,200,sysprocess_sched_yield,sched_yield
18,udm,1119,18639,08:25:33,22.32581,free5gc,200,sysprocess_sched_yield,sched_yield
19,udr,680,18620,08:25:33,21.422182,free5gc,200,sysprocess_sched_yield,sched_yield
20,ausf,636,18654,08:25:33,7.07941,free5gc,200,sysprocess_sched_yield,sched_yield
21,pcf,33,18629,08:25:33,0.333539,free5gc,200,sysprocess_sched_yield,sched_yield
22,amf,1999,18598,07:05:09,18.906885,free5gc,50,sysprocess_sched_yield,sched_yield
23,nrf,95,18587,07:05:09,8.935052,free5gc,50,sysprocess_sched_yield,sched_yield
24,mongod,2192,13372,07:05:09,8.357959,free5gc,50,sysprocess_sched_yield,sched_yield
25,udr,102,18620,07:05:09,6.964925,free5gc,50,sysprocess_sched_yield,sched_yield
26,udm,312,18639,07:05:09,6.86559,free5gc,50,sysprocess_sched_yield,sched_yield
27,ausf,103,18654,07:05:09,0.876497,free5gc,50,sysprocess_sched_yield,sched_yield
28,pcf,8,18629,07:05:09,0.082823,free5gc,50,sysprocess_sched_yield,sched_yield
29,amf,814,18598,22:05:54,3.765404,free5gc,5,sysprocess_sched_yield,sched_yield
30,mongod,157,13372,22:05:54,2.192636,free5gc,5,sysprocess_sched_yield,sched_yield
31,nrf,11,18587,22:05:54,0.56754,free5gc,5,sysprocess_sched_yield,sched_yield
32,udr,15,18620,22:05:54,0.062967,free5gc,5,sysprocess_sched_yield,sched_yield
33,udm,7,18639,22:05:54,0.024374,free5gc,5,sysprocess_sched_yield,sched_yield
34,ausf,2,18654,22:05:54,0.005013,free5gc,5,sysprocess_sched_yield,sched_yield
35,amf,1268,18598,23:04:01,6.66702,free5gc,10,sysprocess_sched_yield,sched_yield
36,mongod,272,13372,23:04:01,2.265512,free5gc,10,sysprocess_sched_yield,sched_yield
37,ausf,3,18654,23:04:01,2.081622,free5gc,10,sysprocess_sched_yield,sched_yield
38,udr,4,18620,23:04:01,0.070235,free5gc,10,sysprocess_sched_yield,sched_yield
39,nrf,9,18587,23:04:01,0.069062,free5gc,10,sysprocess_sched_yield,sched_yield
40,udm,11,18639,23:04:01,0.047712,free5gc,10,sysprocess_sched_yield,sched_yield
41,mongod,1802,13249,17:49:42,757.423428,open5gs,200,sysprocess_sched_yield,sched_yield
42,snapd,1166,692,17:49:42,6.615542,open5gs,200,sysprocess_sched_yield,sched_yield
43,snapd,480,85885,01:46:56,64.843507,oai,200,sysprocess_sched_yield,sched_yield
44,mysqld,2257,717,01:46:56,28.982232,oai,200,sysprocess_sched_yield,sched_yield
45,mongod,2702,13249,19:00:18,1011.3924,open5gs,300,sysprocess_sched_yield,sched_yield
46,snapd,490,692,19:00:18,0.82592,open5gs,300,sysprocess_sched_yield,sched_yield
47,snapd,639,692,15:05:18,15.825483,open5gs,50,sysprocess_sched_yield,sched_yield
48,mongod,2,13249,15:05:18,0.006571,open5gs,50,sysprocess_sched_yield,sched_yield
49,snapd,629,692,13:48:19,2.338446,open5gs,5,sysprocess_sched_yield,sched_yield
50,mongod,47,13249,13:48:19,1.194045,open5gs,5,sysprocess_sched_yield,sched_yield
51,mongod,42,13372,21:29:31,0.804383,free5gc,0,sysprocess_sched_yield,sched_yield
52,amf,41,18598,21:29:31,0.35687,free5gc,0,sysprocess_sched_yield,sched_yield
53,snapd,445,85885,00:12:59,16.322339,oai,100,sysprocess_sched_yield,sched_yield
54,snapd,52,85885,22:35:40,46.826417,oai,50,sysprocess_sched_yield,sched_yield
55,snapd,252,692,14:31:52,1.656898,open5gs,10,sysprocess_sched_yield,sched_yield
56,snapd,24,602,12:57:17,31.135986,oai,0,sysprocess_sched_yield,sched_yield
57,snapd,3,85885,03:17:44,0.031693,oai,300,sysprocess_sched_yield,sched_yield
58,snapd,24,602,16:51:53,0.196251,oai,10,sysprocess_sched_yield,sched_yield
59,snapd,12,692,16:05:00,0.025004,open5gs,100,sysprocess_sched_yield,sched_yield
60,snapd,34,692,13:04:39,1.391539,open5gs,0,sysprocess_sched_yield,sched_yield
61,snapd,1,602,15:13:17,0.037596,oai,5,sysprocess_sched_yield,sched_yield
