,comm,count,pid,time,time (ms),cn,ues,tool,syscall
0,amf,2443,18598,07:44:03,38.705375,free5gc,100,sysprocess_sched_yield,sched_yield
2,nrf,95,18587,07:44:03,8.285115,free5gc,100,sysprocess_sched_yield,sched_yield
3,udm,324,18639,07:44:03,8.048028,free5gc,100,sysprocess_sched_yield,sched_yield
4,udr,227,18620,07:44:03,6.450657,free5gc,100,sysprocess_sched_yield,sched_yield
5,ausf,181,18654,07:44:03,6.425749,free5gc,100,sysprocess_sched_yield,sched_yield
6,pcf,17,18629,07:44:03,0.291773,free5gc,100,sysprocess_sched_yield,sched_yield
7,smf,1,18610,07:44:03,0.005813,free5gc,100,sysprocess_sched_yield,sched_yield
8,amf,12588,18598,09:14:48,112.502265,free5gc,300,sysprocess_sched_yield,sched_yield
10,udr,681,18620,09:14:48,31.925957,free5gc,300,sysprocess_sched_yield,sched_yield
11,udm,1357,18639,09:14:48,30.344856,free5gc,300,sysprocess_sched_yield,sched_yield
12,nrf,563,18587,09:14:48,27.038181,free5gc,300,sysprocess_sched_yield,sched_yield
13,ausf,678,18654,09:14:48,14.491476,free5gc,300,sysprocess_sched_yield,sched_yield
14,pcf,55,18629,09:14:48,2.916693,free5gc,300,sysprocess_sched_yield,sched_yield
15,amf,5831,18598,08:25:33,53.274059,free5gc,200,sysprocess_sched_yield,sched_yield
16,nrf,584,18587,08:25:33,47.398229,free5gc,200,sysprocess_sched_yield,sched_yield
18,udm,1119,18639,08:25:33,22.32581,free5gc,200,sysprocess_sched_yield,sched_yield
19,udr,680,18620,08:25:33,21.422182,free5gc,200,sysprocess_sched_yield,sched_yield
20,ausf,636,18654,08:25:33,7.07941,free5gc,200,sysprocess_sched_yield,sched_yield
21,pcf,33,18629,08:25:33,0.333539,free5gc,200,sysprocess_sched_yield,sched_yield
22,amf,1999,18598,07:05:09,18.906885,free5gc,50,sysprocess_sched_yield,sched_yield
23,nrf,95,18587,07:05:09,8.935052,free5gc,50,sysprocess_sched_yield,sched_yield
25,udr,102,18620,07:05:09,6.964925,free5gc,50,sysprocess_sched_yield,sched_yield
26,udm,312,18639,07:05:09,6.86559,free5gc,50,sysprocess_sched_yield,sched_yield
27,ausf,103,18654,07:05:09,0.876497,free5gc,50,sysprocess_sched_yield,sched_yield
28,pcf,8,18629,07:05:09,0.082823,free5gc,50,sysprocess_sched_yield,sched_yield
29,amf,814,18598,22:05:54,3.765404,free5gc,5,sysprocess_sched_yield,sched_yield
31,nrf,11,18587,22:05:54,0.56754,free5gc,5,sysprocess_sched_yield,sched_yield
32,udr,15,18620,22:05:54,0.062967,free5gc,5,sysprocess_sched_yield,sched_yield
33,udm,7,18639,22:05:54,0.024374,free5gc,5,sysprocess_sched_yield,sched_yield
34,ausf,2,18654,22:05:54,0.005013,free5gc,5,sysprocess_sched_yield,sched_yield
35,amf,1268,18598,23:04:01,6.66702,free5gc,10,sysprocess_sched_yield,sched_yield
37,ausf,3,18654,23:04:01,2.081622,free5gc,10,sysprocess_sched_yield,sched_yield
38,udr,4,18620,23:04:01,0.070235,free5gc,10,sysprocess_sched_yield,sched_yield
39,nrf,9,18587,23:04:01,0.069062,free5gc,10,sysprocess_sched_yield,sched_yield
40,udm,11,18639,23:04:01,0.047712,free5gc,10,sysprocess_sched_yield,sched_yield
52,amf,41,18598,21:29:31,0.35687,free5gc,0,sysprocess_sched_yield,sched_yield
