,comm,count,pid,time,time (ms),cn,ues,tool,syscall
0,nrf,68481,142802,01:27:23,67747.181404,oai,200,sysprocess_read,read
1,ausf,68402,142811,01:27:23,67735.628585,oai,200,sysprocess_read,read
2,udm,68344,142814,01:27:23,67657.862758,oai,200,sysprocess_read,read
3,udr,68135,142825,01:27:23,67307.582613,oai,200,sysprocess_read,read
4,[unknown],1509,140612,01:27:23,1557.554793,oai,200,sysprocess_read,read
5,[unknown],1511,140611,01:27:23,1536.371563,oai,200,sysprocess_read,read
6,[unknown],1507,140630,01:27:23,1501.460193,oai,200,sysprocess_read,read
7,[unknown],1505,140608,01:27:23,1493.109916,oai,200,sysprocess_read,read
8,[unknown],784,142810,01:27:23,14.690649,oai,200,sysprocess_read,read
9,[unknown],783,142803,01:27:23,12.695035,oai,200,sysprocess_read,read
10,mysqld,13,717,01:27:23,4.561416,oai,200,sysprocess_read,read
11,[unknown],49,142653,01:27:23,3.419615,oai,200,sysprocess_read,read
12,python3,339,142797,01:27:23,2.868197,oai,200,sysprocess_read,read
13,systemd-journal,377,332,01:27:23,2.73256,oai,200,sysprocess_read,read
14,systemd,365,1,01:27:23,1.941691,oai,200,sysprocess_read,read
15,sshd,59,142719,01:27:23,1.323142,oai,200,sysprocess_read,read
16,[unknown],9,142655,01:27:23,1.016619,oai,200,sysprocess_read,read
17,irqbalance,28,593,01:27:23,0.90112,oai,200,sysprocess_read,read
18,[unknown],6,142783,01:27:23,0.434669,oai,200,sysprocess_read,read
19,smf,68,142824,01:27:23,0.339015,oai,200,sysprocess_read,read
20,accounts-daemon,135,583,01:27:23,0.322135,oai,200,sysprocess_read,read
21,sudo,127,142795,01:27:23,0.285502,oai,200,sysprocess_read,read
22,systemd-timesyn,56,85902,01:27:23,0.260686,oai,200,sysprocess_read,read
23,[unknown],47,142644,01:27:23,0.228213,oai,200,sysprocess_read,read
24,[unknown],35,142790,01:27:23,0.145647,oai,200,sysprocess_read,read
25,[unknown],21,142658,01:27:23,0.128318,oai,200,sysprocess_read,read
26,[unknown],31,142638,01:27:23,0.11156,oai,200,sysprocess_read,read
27,[unknown],33,142636,01:27:23,0.10965,oai,200,sysprocess_read,read
28,[unknown],31,142656,01:27:23,0.105381,oai,200,sysprocess_read,read
29,[unknown],31,142657,01:27:23,0.091676,oai,200,sysprocess_read,read
30,[unknown],25,142806,01:27:23,0.090662,oai,200,sysprocess_read,read
31,systemd-tty-ask,39,142801,01:27:23,0.089537,oai,200,sysprocess_read,read
32,sshd,16,142631,01:27:23,0.080608,oai,200,sysprocess_read,read
33,[unknown],19,142804,01:27:23,0.077011,oai,200,sysprocess_read,read
34,[unknown],21,142642,01:27:23,0.076444,oai,200,sysprocess_read,read
35,[unknown],27,142659,01:27:23,0.075172,oai,200,sysprocess_read,read
36,[unknown],21,142808,01:27:23,0.073039,oai,200,sysprocess_read,read
37,[unknown],25,142660,01:27:23,0.071854,oai,200,sysprocess_read,read
38,[unknown],19,142805,01:27:23,0.060382,oai,200,sysprocess_read,read
39,systemctl,16,142800,01:27:23,0.044194,oai,200,sysprocess_read,read
40,[unknown],15,142635,01:27:23,0.043935,oai,200,sysprocess_read,read
41,[unknown],15,142641,01:27:23,0.039726,oai,200,sysprocess_read,read
42,[unknown],9,142785,01:27:23,0.034839,oai,200,sysprocess_read,read
43,systemd-udevd,13,364,01:27:23,0.033092,oai,200,sysprocess_read,read
44,[unknown],12,142780,01:27:23,0.03257,oai,200,sysprocess_read,read
45,[unknown],7,142809,01:27:23,0.028918,oai,200,sysprocess_read,read
46,[unknown],9,142787,01:27:23,0.026734,oai,200,sysprocess_read,read
47,[unknown],9,142661,01:27:23,0.025885,oai,200,sysprocess_read,read
48,[unknown],7,142807,01:27:23,0.023408,oai,200,sysprocess_read,read
49,[unknown],8,142782,01:27:23,0.0212,oai,200,sysprocess_read,read
50,nrf,68379,188853,02:56:41,67655.057236,oai,300,sysprocess_read,read
51,udm,68296,188866,02:56:41,67616.834508,oai,300,sysprocess_read,read
52,ausf,68246,188864,02:56:41,67589.359729,oai,300,sysprocess_read,read
53,udr,68130,188879,02:56:41,67288.738118,oai,300,sysprocess_read,read
54,[unknown],1540,185894,02:56:41,1539.578737,oai,300,sysprocess_read,read
55,[unknown],1526,185880,02:56:41,1528.824234,oai,300,sysprocess_read,read
56,[unknown],1528,185881,02:56:41,1524.06354,oai,300,sysprocess_read,read
57,[unknown],1514,185877,02:56:41,1501.91133,oai,300,sysprocess_read,read
58,rsyslogd,1,599,02:56:41,23.732025,oai,300,sysprocess_read,read
59,python3,339,188848,02:56:41,2.879617,oai,300,sysprocess_read,read
60,[unknown],784,188856,02:56:41,2.678357,oai,300,sysprocess_read,read
61,[unknown],783,188863,02:56:41,2.63017,oai,300,sysprocess_read,read
62,systemd-journal,376,332,02:56:41,2.165315,oai,300,sysprocess_read,read
63,systemd,357,1,02:56:41,1.985658,oai,300,sysprocess_read,read
64,sshd,59,188770,02:56:41,1.376264,oai,300,sysprocess_read,read
65,mysqld,12,717,02:56:41,0.947002,oai,300,sysprocess_read,read
66,irqbalance,28,593,02:56:41,0.853587,oai,300,sysprocess_read,read
67,[unknown],6,188834,02:56:41,0.477773,oai,300,sysprocess_read,read
68,[unknown],25,188697,02:56:41,0.414102,oai,300,sysprocess_read,read
69,sudo,127,188846,02:56:41,0.293038,oai,300,sysprocess_read,read
70,accounts-daemon,134,583,02:56:41,0.283137,oai,300,sysprocess_read,read
71,systemd-timesyn,52,85902,02:56:41,0.243741,oai,300,sysprocess_read,read
72,[unknown],37,188688,02:56:41,0.152033,oai,300,sysprocess_read,read
73,[unknown],43,188698,02:56:41,0.136926,oai,300,sysprocess_read,read
74,smf,68,188878,02:56:41,0.127956,oai,300,sysprocess_read,read
75,[unknown],41,188689,02:56:41,0.126589,oai,300,sysprocess_read,read
76,[unknown],35,188841,02:56:41,0.125545,oai,300,sysprocess_read,read
77,[unknown],33,188861,02:56:41,0.107295,oai,300,sysprocess_read,read
