,comm,count,pid,time,time (ms),cn,ues,tool,syscall
0,nrf,68481,142802,01:27:23,67747.181404,oai,200,sysprocess_read,read
1,ausf,68402,142811,01:27:23,67735.628585,oai,200,sysprocess_read,read
2,udm,68344,142814,01:27:23,67657.862758,oai,200,sysprocess_read,read
3,udr,68135,142825,01:27:23,67307.582613,oai,200,sysprocess_read,read
13,systemd-journal,377,332,01:27:23,2.73256,oai,200,sysprocess_read,read
17,irqbalance,28,593,01:27:23,0.90112,oai,200,sysprocess_read,read
19,smf,68,142824,01:27:23,0.339015,oai,200,sysprocess_read,read
31,systemd-tty-ask,39,142801,01:27:23,0.089537,oai,200,sysprocess_read,read
50,nrf,68379,188853,02:56:41,67655.057236,oai,300,sysprocess_read,read
51,udm,68296,188866,02:56:41,67616.834508,oai,300,sysprocess_read,read
52,ausf,68246,188864,02:56:41,67589.359729,oai,300,sysprocess_read,read
53,udr,68130,188879,02:56:41,67288.738118,oai,300,sysprocess_read,read
58,rsyslogd,1,599,02:56:41,23.732025,oai,300,sysprocess_read,read
62,systemd-journal,376,332,02:56:41,2.165315,oai,300,sysprocess_read,read
66,irqbalance,28,593,02:56:41,0.853587,oai,300,sysprocess_read,read
74,smf,68,188878,02:56:41,0.127956,oai,300,sysprocess_read,read
81,systemd-tty-ask,39,188852,02:56:41,0.08686,oai,300,sysprocess_read,read
99,sh,8,188845,02:56:41,0.025215,oai,300,sysprocess_read,read
100,nrf,68399,110949,23:51:56,67686.644594,oai,100,sysprocess_read,read
101,ausf,68292,110952,23:51:56,67635.704493,oai,100,sysprocess_read,read
102,udm,68247,110954,23:51:56,67578.498485,oai,100,sysprocess_read,read
103,udr,68236,110971,23:51:56,67407.568801,oai,100,sysprocess_read,read
108,rsyslogd,1,599,23:51:56,16.04984,oai,100,sysprocess_read,read
113,systemd-journal,377,332,23:51:56,2.566549,oai,100,sysprocess_read,read
119,irqbalance,31,593,23:51:56,0.94075,oai,100,sysprocess_read,read
124,smf,68,110977,23:51:56,0.15296,oai,100,sysprocess_read,read
135,systemd-tty-ask,39,110948,23:51:56,0.085775,oai,100,sysprocess_read,read
149,sh,8,110941,23:51:56,0.022201,oai,100,sysprocess_read,read
150,udm,68346,90124,22:16:07,67821.170616,oai,50,sysprocess_read,read
151,ausf,68330,90113,22:16:07,67802.107248,oai,50,sysprocess_read,read
152,nrf,68327,90114,22:16:07,67629.059957,oai,50,sysprocess_read,read
153,udr,68171,90136,22:16:07,67364.319987,oai,50,sysprocess_read,read
160,rsyslogd,1,599,22:16:07,3.975638,oai,50,sysprocess_read,read
162,systemd-journal,377,332,22:16:07,2.604117,oai,50,sysprocess_read,read
167,irqbalance,37,593,22:16:07,1.046906,oai,50,sysprocess_read,read
176,systemd-tty-ask,39,90110,22:16:07,0.143454,oai,50,sysprocess_read,read
177,smf,68,90137,22:16:07,0.124852,oai,50,sysprocess_read,read
200,ausf,68373,63291,14:52:14,67734.39289,oai,5,sysprocess_read,read
201,nrf,68382,63292,14:52:14,67711.11148,oai,5,sysprocess_read,read
202,udm,68332,63295,14:52:14,67675.543462,oai,5,sysprocess_read,read
203,udr,68265,63308,14:52:14,67431.529048,oai,5,sysprocess_read,read
209,rsyslogd,1,599,14:52:14,7.987189,oai,5,sysprocess_read,read
212,systemd-journal,379,332,14:52:14,2.714881,oai,5,sysprocess_read,read
216,systemd-tty-ask,39,63288,14:52:14,1.787415,oai,5,sysprocess_read,read
220,irqbalance,32,593,14:52:14,0.984065,oai,5,sysprocess_read,read
227,smf,68,63309,14:52:14,0.122339,oai,5,sysprocess_read,read
250,nrf,68394,51840,12:36:13,67705.807172,oai,0,sysprocess_read,read
251,udm,68314,51842,12:36:13,67623.087798,oai,0,sysprocess_read,read
252,ausf,68261,51845,12:36:13,67575.55153,oai,0,sysprocess_read,read
253,udr,68152,51862,12:36:13,67323.264808,oai,0,sysprocess_read,read
258,rsyslogd,1,599,12:36:13,8.023638,oai,0,sysprocess_read,read
263,systemd-journal,379,332,12:36:13,2.543563,oai,0,sysprocess_read,read
268,irqbalance,28,593,12:36:13,0.909879,oai,0,sysprocess_read,read
274,systemd-tty-ask,39,51839,12:36:13,0.141221,oai,0,sysprocess_read,read
276,smf,68,51860,12:36:13,0.129366,oai,0,sysprocess_read,read
298,sh,8,51832,12:36:13,0.024843,oai,0,sysprocess_read,read
300,nrf,68375,74645,16:30:50,67685.362881,oai,10,sysprocess_read,read
301,udm,68322,74651,16:30:50,67667.373676,oai,10,sysprocess_read,read
302,ausf,68263,74647,16:30:50,67666.457673,oai,10,sysprocess_read,read
303,udr,68169,74666,16:30:50,67363.562463,oai,10,sysprocess_read,read
308,rsyslogd,1,599,16:30:50,3.965301,oai,10,sysprocess_read,read
309,systemd-journal,364,332,16:30:50,3.481919,oai,10,sysprocess_read,read
316,irqbalance,31,593,16:30:50,0.771534,oai,10,sysprocess_read,read
320,smf,68,74667,16:30:50,0.132506,oai,10,sysprocess_read,read
325,systemd-tty-ask,39,74644,16:30:50,0.09074,oai,10,sysprocess_read,read
349,sh,8,74637,16:30:50,0.025867,oai,10,sysprocess_read,read
352,systemd-journal,278,328,13:41:29,2.438767,open5gs,5,sysprocess_read,read
354,irqbalance,33,687,13:41:29,0.943687,open5gs,5,sysprocess_read,read
373,open5gs-smfd,22,36578,13:41:29,0.091438,open5gs,5,sysprocess_read,read
379,open5gs-upfd,5,36561,13:41:29,0.042817,open5gs,5,sysprocess_read,read
380,polkitd,11,689,13:41:29,0.029375,open5gs,5,sysprocess_read,read
384,udisksd,6,698,13:41:29,0.01081,open5gs,5,sysprocess_read,read
385,open5gs-ausfd,1,36567,13:41:29,0.010644,open5gs,5,sysprocess_read,read
386,ModemManager,6,770,13:41:29,0.010045,open5gs,5,sysprocess_read,read
388,open5gs-pcfd,1,36573,13:41:29,0.008463,open5gs,5,sysprocess_read,read
389,open5gs-nrfd,1,36559,13:41:29,0.00598,open5gs,5,sysprocess_read,read
