,comm,count,pid,time,time (ms),cn,ues,tool,syscall
0,python3,69,59597,14:22:10,69061.962025,oai,5,sysprocess_epoll_wait,epoll_wait
1,mysqld,70,717,14:22:10,69061.254584,oai,5,sysprocess_epoll_wait,epoll_wait
2,python3,68,59621,14:22:10,68059.357671,oai,5,sysprocess_epoll_wait,epoll_wait
3,systemd,209,1,14:22:10,68025.277205,oai,5,sysprocess_epoll_wait,epoll_wait
4,systemd-journal,208,332,14:22:10,67885.656903,oai,5,sysprocess_epoll_wait,epoll_wait
5,nrf,133,59626,14:22:10,64789.221608,oai,5,sysprocess_epoll_wait,epoll_wait
6,systemd-udevd,601,364,14:22:10,62607.600721,oai,5,sysprocess_epoll_wait,epoll_wait
7,systemd-resolve,2,547,14:22:10,54964.807596,oai,5,sysprocess_epoll_wait,epoll_wait
8,systemd-network,3,545,14:22:10,33023.864254,oai,5,sysprocess_epoll_wait,epoll_wait
9,systemd-logind,94,608,14:22:10,5115.138656,oai,5,sysprocess_epoll_wait,epoll_wait
10,dbus-daemon,31,587,14:22:10,4937.053309,oai,5,sysprocess_epoll_wait,epoll_wait
11,[unknown],1,59691,14:22:10,3913.689074,oai,5,sysprocess_epoll_wait,epoll_wait
12,[unknown],4,59661,14:22:10,3849.595242,oai,5,sysprocess_epoll_wait,epoll_wait
13,[unknown],3,59659,14:22:10,3849.021592,oai,5,sysprocess_epoll_wait,epoll_wait
14,[unknown],4,59658,14:22:10,3843.555175,oai,5,sysprocess_epoll_wait,epoll_wait
15,[unknown],3,59664,14:22:10,3839.844135,oai,5,sysprocess_epoll_wait,epoll_wait
16,[unknown],4,59660,14:22:10,3837.927506,oai,5,sysprocess_epoll_wait,epoll_wait
17,[unknown],2,59668,14:22:10,3834.325915,oai,5,sysprocess_epoll_wait,epoll_wait
18,[unknown],3,59662,14:22:10,3833.685916,oai,5,sysprocess_epoll_wait,epoll_wait
19,[unknown],3,59657,14:22:10,3829.156715,oai,5,sysprocess_epoll_wait,epoll_wait
20,[unknown],2,59665,14:22:10,3828.732858,oai,5,sysprocess_epoll_wait,epoll_wait
21,[unknown],3,59667,14:22:10,3828.696724,oai,5,sysprocess_epoll_wait,epoll_wait
22,[unknown],2,59663,14:22:10,3822.756882,oai,5,sysprocess_epoll_wait,epoll_wait
23,[unknown],3,59666,14:22:10,3819.926365,oai,5,sysprocess_epoll_wait,epoll_wait
24,[unknown],1,59675,14:22:10,3812.829228,oai,5,sysprocess_epoll_wait,epoll_wait
25,[unknown],1,59669,14:22:10,3812.678781,oai,5,sysprocess_epoll_wait,epoll_wait
26,[unknown],1,59670,14:22:10,3812.531085,oai,5,sysprocess_epoll_wait,epoll_wait
27,[unknown],1,59673,14:22:10,3812.334481,oai,5,sysprocess_epoll_wait,epoll_wait
28,[unknown],1,59656,14:22:10,3811.289104,oai,5,sysprocess_epoll_wait,epoll_wait
29,[unknown],1,59672,14:22:10,3811.091351,oai,5,sysprocess_epoll_wait,epoll_wait
30,[unknown],1,59671,14:22:10,3810.335312,oai,5,sysprocess_epoll_wait,epoll_wait
31,[unknown],1,59674,14:22:10,3808.691051,oai,5,sysprocess_epoll_wait,epoll_wait
32,[unknown],9,59470,14:22:10,3789.144576,oai,5,sysprocess_epoll_wait,epoll_wait
33,[unknown],10,59477,14:22:10,3759.999266,oai,5,sysprocess_epoll_wait,epoll_wait
34,[unknown],8,59485,14:22:10,3751.232674,oai,5,sysprocess_epoll_wait,epoll_wait
35,[unknown],17,59484,14:22:10,3750.245222,oai,5,sysprocess_epoll_wait,epoll_wait
36,[unknown],5,59456,14:22:10,3741.700846,oai,5,sysprocess_epoll_wait,epoll_wait
37,[unknown],10,59462,14:22:10,3734.070355,oai,5,sysprocess_epoll_wait,epoll_wait
38,[unknown],11,59480,14:22:10,3730.60874,oai,5,sysprocess_epoll_wait,epoll_wait
39,[unknown],13,59483,14:22:10,3727.331831,oai,5,sysprocess_epoll_wait,epoll_wait
40,[unknown],13,59469,14:22:10,3723.758358,oai,5,sysprocess_epoll_wait,epoll_wait
41,[unknown],14,59466,14:22:10,3714.11527,oai,5,sysprocess_epoll_wait,epoll_wait
42,[unknown],3,59471,14:22:10,3709.578785,oai,5,sysprocess_epoll_wait,epoll_wait
43,[unknown],10,59482,14:22:10,3695.43775,oai,5,sysprocess_epoll_wait,epoll_wait
44,[unknown],3,59465,14:22:10,3692.697637,oai,5,sysprocess_epoll_wait,epoll_wait
45,[unknown],6,59463,14:22:10,3691.871272,oai,5,sysprocess_epoll_wait,epoll_wait
46,[unknown],7,59464,14:22:10,3690.21835,oai,5,sysprocess_epoll_wait,epoll_wait
47,[unknown],14,59467,14:22:10,3681.825812,oai,5,sysprocess_epoll_wait,epoll_wait
48,[unknown],2,59632,14:22:10,3642.588809,oai,5,sysprocess_epoll_wait,epoll_wait
49,[unknown],1,59631,14:22:10,3627.490062,oai,5,sysprocess_epoll_wait,epoll_wait
50,python3,69,62624,15:47:50,69081.438656,open5gs,100,sysprocess_epoll_wait,epoll_wait
51,systemd-journal,985,328,15:47:50,68189.30408,open5gs,100,sysprocess_epoll_wait,epoll_wait
52,open5gs-sgwcd,19,62668,15:47:50,66055.188127,open5gs,100,sysprocess_epoll_wait,epoll_wait
53,open5gs-sgwud,20,62677,15:47:50,66055.149681,open5gs,100,sysprocess_epoll_wait,epoll_wait
54,open5gs-amfd,2143,62653,15:47:50,65777.846499,open5gs,100,sysprocess_epoll_wait,epoll_wait
55,systemd-udevd,345,364,15:47:50,62939.071679,open5gs,100,sysprocess_epoll_wait,epoll_wait
56,open5gs-upfd,20,62680,15:47:50,62110.397084,open5gs,100,sysprocess_epoll_wait,epoll_wait
57,open5gs-nrfd,1864,62667,15:47:50,61209.718869,open5gs,100,sysprocess_epoll_wait,epoll_wait
58,systemd-network,18,15336,15:47:50,60768.757217,open5gs,100,sysprocess_epoll_wait,epoll_wait
59,open5gs-ausfd,1469,62675,15:47:50,60585.357643,open5gs,100,sysprocess_epoll_wait,epoll_wait
60,open5gs-udmd,4187,62692,15:47:50,60281.779935,open5gs,100,sysprocess_epoll_wait,epoll_wait
61,open5gs-bsfd,20,62682,15:47:50,60053.76456,open5gs,100,sysprocess_epoll_wait,epoll_wait
62,open5gs-nssfd,20,62686,15:47:50,60051.99288,open5gs,100,sysprocess_epoll_wait,epoll_wait
63,open5gs-smfd,40,62700,15:47:50,60037.828342,open5gs,100,sysprocess_epoll_wait,epoll_wait
64,open5gs-scpd,2659,62678,15:47:50,60017.481518,open5gs,100,sysprocess_epoll_wait,epoll_wait
65,open5gs-udrd,1526,62689,15:47:50,59916.333848,open5gs,100,sysprocess_epoll_wait,epoll_wait
66,open5gs-pcfd,651,62687,15:47:50,59738.595788,open5gs,100,sysprocess_epoll_wait,epoll_wait
67,systemd,12,1,15:47:50,57158.763161,open5gs,100,sysprocess_epoll_wait,epoll_wait
68,[unknown],13,62672,15:47:50,3991.890412,open5gs,100,sysprocess_epoll_wait,epoll_wait
69,[unknown],4,62684,15:47:50,3990.566123,open5gs,100,sysprocess_epoll_wait,epoll_wait
70,[unknown],12,62666,15:47:50,3990.071603,open5gs,100,sysprocess_epoll_wait,epoll_wait
71,[unknown],5,62654,15:47:50,3988.297712,open5gs,100,sysprocess_epoll_wait,epoll_wait
