,comm,count,pid,time,time (ms),cn,ues,tool,syscall
4,systemd-journal,208,332,14:22:10,67885.656903,oai,5,sysprocess_epoll_wait,epoll_wait
5,nrf,133,59626,14:22:10,64789.221608,oai,5,sysprocess_epoll_wait,epoll_wait
51,systemd-journal,985,328,15:47:50,68189.30408,open5gs,100,sysprocess_epoll_wait,epoll_wait
52,open5gs-sgwcd,19,62668,15:47:50,66055.188127,open5gs,100,sysprocess_epoll_wait,epoll_wait
53,open5gs-sgwud,20,62677,15:47:50,66055.149681,open5gs,100,sysprocess_epoll_wait,epoll_wait
54,open5gs-amfd,2143,62653,15:47:50,65777.846499,open5gs,100,sysprocess_epoll_wait,epoll_wait
56,open5gs-upfd,20,62680,15:47:50,62110.397084,open5gs,100,sysprocess_epoll_wait,epoll_wait
57,open5gs-nrfd,1864,62667,15:47:50,61209.718869,open5gs,100,sysprocess_epoll_wait,epoll_wait
59,open5gs-ausfd,1469,62675,15:47:50,60585.357643,open5gs,100,sysprocess_epoll_wait,epoll_wait
60,open5gs-udmd,4187,62692,15:47:50,60281.779935,open5gs,100,sysprocess_epoll_wait,epoll_wait
61,open5gs-bsfd,20,62682,15:47:50,60053.76456,open5gs,100,sysprocess_epoll_wait,epoll_wait
62,open5gs-nssfd,20,62686,15:47:50,60051.99288,open5gs,100,sysprocess_epoll_wait,epoll_wait
63,open5gs-smfd,40,62700,15:47:50,60037.828342,open5gs,100,sysprocess_epoll_wait,epoll_wait
64,open5gs-scpd,2659,62678,15:47:50,60017.481518,open5gs,100,sysprocess_epoll_wait,epoll_wait
65,open5gs-udrd,1526,62689,15:47:50,59916.333848,open5gs,100,sysprocess_epoll_wait,epoll_wait
66,open5gs-pcfd,651,62687,15:47:50,59738.595788,open5gs,100,sysprocess_epoll_wait,epoll_wait
96,open5gs-nrfd,1434,72490,17:32:36,69040.891035,open5gs,200,sysprocess_epoll_wait,epoll_wait
97,open5gs-amfd,1666,72505,17:32:36,68995.388133,open5gs,200,sysprocess_epoll_wait,epoll_wait
98,open5gs-scpd,990,72522,17:32:36,68747.712082,open5gs,200,sysprocess_epoll_wait,epoll_wait
99,systemd-journal,933,328,17:32:36,68632.654591,open5gs,200,sysprocess_epoll_wait,epoll_wait
100,open5gs-upfd,24,72504,17:32:36,66029.478633,open5gs,200,sysprocess_epoll_wait,epoll_wait
101,open5gs-smfd,55,72526,17:32:36,66019.676415,open5gs,200,sysprocess_epoll_wait,epoll_wait
103,open5gs-ausfd,1356,72508,17:32:36,60445.042369,open5gs,200,sysprocess_epoll_wait,epoll_wait
104,open5gs-bsfd,20,72506,17:32:36,60045.049199,open5gs,200,sysprocess_epoll_wait,epoll_wait
106,open5gs-sgwud,18,72492,17:32:36,58551.936129,open5gs,200,sysprocess_epoll_wait,epoll_wait
108,open5gs-sgwcd,14,72503,17:32:36,55048.252315,open5gs,200,sysprocess_epoll_wait,epoll_wait
109,open5gs-nssfd,18,72507,17:32:36,50051.030527,open5gs,200,sysprocess_epoll_wait,epoll_wait
110,open5gs-udrd,18,72511,17:32:36,50051.010974,open5gs,200,sysprocess_epoll_wait,epoll_wait
111,open5gs-pcfd,24,72512,17:32:36,50046.144568,open5gs,200,sysprocess_epoll_wait,epoll_wait
112,open5gs-udmd,28,72521,17:32:36,50028.397413,open5gs,200,sysprocess_epoll_wait,epoll_wait
139,systemd-journal,46,328,12:47:34,68723.678815,open5gs,0,sysprocess_epoll_wait,epoll_wait
140,open5gs-sgwcd,19,23646,12:47:34,66048.258179,open5gs,0,sysprocess_epoll_wait,epoll_wait
141,open5gs-sgwud,20,23648,12:47:34,66048.19118,open5gs,0,sysprocess_epoll_wait,epoll_wait
142,open5gs-amfd,29,23624,12:47:34,65736.384669,open5gs,0,sysprocess_epoll_wait,epoll_wait
143,open5gs-upfd,23,23625,12:47:34,65102.75943,open5gs,0,sysprocess_epoll_wait,epoll_wait
145,open5gs-nrfd,182,23644,12:47:34,60682.523524,open5gs,0,sysprocess_epoll_wait,epoll_wait
146,open5gs-scpd,245,23637,12:47:34,60655.729319,open5gs,0,sysprocess_epoll_wait,epoll_wait
147,open5gs-pcfd,30,23656,12:47:34,60051.67902,open5gs,0,sysprocess_epoll_wait,epoll_wait
148,open5gs-nssfd,20,23645,12:47:34,60047.556553,open5gs,0,sysprocess_epoll_wait,epoll_wait
149,open5gs-ausfd,32,23641,12:47:34,60033.838077,open5gs,0,sysprocess_epoll_wait,epoll_wait
150,open5gs-smfd,38,23669,12:47:34,60030.67064,open5gs,0,sysprocess_epoll_wait,epoll_wait
154,open5gs-udmd,26,23654,12:47:34,50058.05035,open5gs,0,sysprocess_epoll_wait,epoll_wait
155,open5gs-bsfd,18,23642,12:47:34,50053.343041,open5gs,0,sysprocess_epoll_wait,epoll_wait
156,open5gs-udrd,17,23657,12:47:34,50036.260899,open5gs,0,sysprocess_epoll_wait,epoll_wait
182,systemd-journal,57,328,13:31:14,68468.404088,open5gs,5,sysprocess_epoll_wait,epoll_wait
184,open5gs-upfd,20,33311,13:31:14,67837.094905,open5gs,5,sysprocess_epoll_wait,epoll_wait
185,open5gs-amfd,89,33310,13:31:14,66615.67563,open5gs,5,sysprocess_epoll_wait,epoll_wait
186,open5gs-sgwcd,15,33328,13:31:14,66062.32577,open5gs,5,sysprocess_epoll_wait,epoll_wait
187,open5gs-sgwud,21,33315,13:31:14,66061.884665,open5gs,5,sysprocess_epoll_wait,epoll_wait
188,open5gs-nrfd,228,33314,13:31:14,61567.246296,open5gs,5,sysprocess_epoll_wait,epoll_wait
189,open5gs-scpd,259,33313,13:31:14,61533.12809,open5gs,5,sysprocess_epoll_wait,epoll_wait
191,open5gs-bsfd,23,33317,13:31:14,60062.821347,open5gs,5,sysprocess_epoll_wait,epoll_wait
192,open5gs-udmd,26,33330,13:31:14,60061.269226,open5gs,5,sysprocess_epoll_wait,epoll_wait
193,open5gs-udrd,20,33337,13:31:14,60053.456513,open5gs,5,sysprocess_epoll_wait,epoll_wait
194,open5gs-pcfd,25,33335,13:31:14,60041.318602,open5gs,5,sysprocess_epoll_wait,epoll_wait
195,open5gs-smfd,45,33346,13:31:14,60031.11343,open5gs,5,sysprocess_epoll_wait,epoll_wait
196,open5gs-ausfd,22,33321,13:31:14,50056.459061,open5gs,5,sysprocess_epoll_wait,epoll_wait
197,open5gs-nssfd,20,33329,13:31:14,50055.766625,open5gs,5,sysprocess_epoll_wait,epoll_wait
225,open5gs-nrfd,2039,82329,18:43:12,69072.149427,open5gs,300,sysprocess_epoll_wait,epoll_wait
226,open5gs-amfd,2273,82328,18:43:12,68908.732124,open5gs,300,sysprocess_epoll_wait,epoll_wait
227,open5gs-scpd,1454,82327,18:43:12,68610.021418,open5gs,300,sysprocess_epoll_wait,epoll_wait
228,systemd-journal,2045,328,18:43:12,68548.706424,open5gs,300,sysprocess_epoll_wait,epoll_wait
229,open5gs-sgwud,18,82333,18:43:12,66051.150649,open5gs,300,sysprocess_epoll_wait,epoll_wait
230,open5gs-sgwcd,20,82332,18:43:12,66050.914094,open5gs,300,sysprocess_epoll_wait,epoll_wait
231,open5gs-upfd,24,82326,18:43:12,66027.563535,open5gs,300,sysprocess_epoll_wait,epoll_wait
232,open5gs-smfd,43,82365,18:43:12,66018.913601,open5gs,300,sysprocess_epoll_wait,epoll_wait
234,open5gs-ausfd,2097,82334,18:43:12,60654.813072,open5gs,300,sysprocess_epoll_wait,epoll_wait
235,open5gs-udrd,20,82338,18:43:12,60056.668529,open5gs,300,sysprocess_epoll_wait,epoll_wait
236,open5gs-pcfd,25,82335,18:43:12,60054.16988,open5gs,300,sysprocess_epoll_wait,epoll_wait
237,open5gs-nssfd,20,82331,18:43:12,60044.803238,open5gs,300,sysprocess_epoll_wait,epoll_wait
240,open5gs-bsfd,17,82330,18:43:12,50045.795952,open5gs,300,sysprocess_epoll_wait,epoll_wait
241,open5gs-udmd,21,82337,18:43:12,50042.400167,open5gs,300,sysprocess_epoll_wait,epoll_wait
267,systemd-journal,133,328,14:48:13,68702.524104,open5gs,50,sysprocess_epoll_wait,epoll_wait
268,open5gs-amfd,334,52861,14:48:13,66574.310681,open5gs,50,sysprocess_epoll_wait,epoll_wait
269,open5gs-sgwcd,20,52881,14:48:13,66038.077017,open5gs,50,sysprocess_epoll_wait,epoll_wait
270,open5gs-sgwud,18,52882,14:48:13,66037.759473,open5gs,50,sysprocess_epoll_wait,epoll_wait
271,open5gs-upfd,20,52862,14:48:13,65745.03237,open5gs,50,sysprocess_epoll_wait,epoll_wait
273,open5gs-nrfd,370,52879,14:48:13,61567.013481,open5gs,50,sysprocess_epoll_wait,epoll_wait
274,open5gs-scpd,439,52874,14:48:13,61518.615389,open5gs,50,sysprocess_epoll_wait,epoll_wait
275,open5gs-nssfd,21,52894,14:48:13,60068.087056,open5gs,50,sysprocess_epoll_wait,epoll_wait
276,open5gs-udmd,24,52893,14:48:13,60067.058902,open5gs,50,sysprocess_epoll_wait,epoll_wait
277,open5gs-pcfd,25,52880,14:48:13,60056.014129,open5gs,50,sysprocess_epoll_wait,epoll_wait
278,open5gs-bsfd,20,52878,14:48:13,60052.422587,open5gs,50,sysprocess_epoll_wait,epoll_wait
279,open5gs-udrd,20,52892,14:48:13,60037.882294,open5gs,50,sysprocess_epoll_wait,epoll_wait
280,open5gs-smfd,50,52905,14:48:13,60021.240497,open5gs,50,sysprocess_epoll_wait,epoll_wait
283,open5gs-ausfd,21,52877,14:48:13,50041.360439,open5gs,50,sysprocess_epoll_wait,epoll_wait
309,systemd-journal,54,328,14:14:47,68720.549197,open5gs,10,sysprocess_epoll_wait,epoll_wait
310,open5gs-sgwcd,15,43095,14:14:47,66043.753929,open5gs,10,sysprocess_epoll_wait,epoll_wait
311,open5gs-sgwud,21,43096,14:14:47,66043.056874,open5gs,10,sysprocess_epoll_wait,epoll_wait
313,open5gs-upfd,17,43066,14:14:47,65078.962139,open5gs,10,sysprocess_epoll_wait,epoll_wait
317,open5gs-nrfd,215,43069,14:14:47,61298.324265,open5gs,10,sysprocess_epoll_wait,epoll_wait
318,open5gs-scpd,266,43076,14:14:47,61263.530475,open5gs,10,sysprocess_epoll_wait,epoll_wait
319,open5gs-bsfd,20,43092,14:14:47,60045.899204,open5gs,10,sysprocess_epoll_wait,epoll_wait
320,open5gs-udmd,20,43097,14:14:47,60045.163285,open5gs,10,sysprocess_epoll_wait,epoll_wait
321,open5gs-pcfd,20,43094,14:14:47,60038.000145,open5gs,10,sysprocess_epoll_wait,epoll_wait
322,open5gs-udrd,20,43098,14:14:47,60032.99017,open5gs,10,sysprocess_epoll_wait,epoll_wait
323,open5gs-smfd,44,43102,14:14:47,60023.671123,open5gs,10,sysprocess_epoll_wait,epoll_wait
325,open5gs-amfd,115,43065,14:14:47,56628.885803,open5gs,10,sysprocess_epoll_wait,epoll_wait
326,open5gs-ausfd,23,43091,14:14:47,50049.508953,open5gs,10,sysprocess_epoll_wait,epoll_wait
327,open5gs-nssfd,20,43093,14:14:47,50042.053087,open5gs,10,sysprocess_epoll_wait,epoll_wait
351,systemd-journal,206,332,00:55:48,67852.908028,oai,200,sysprocess_epoll_wait,epoll_wait
353,nrf,168,129748,00:55:48,60173.677552,oai,200,sysprocess_epoll_wait,epoll_wait
378,smf,1,129772,00:55:48,0.003006,oai,200,sysprocess_epoll_wait,epoll_wait
379,udr,1,129773,00:55:48,0.002913,oai,200,sysprocess_epoll_wait,epoll_wait
380,udm,1,129753,00:55:48,0.002711,oai,200,sysprocess_epoll_wait,epoll_wait
381,ausf,1,129752,00:55:48,0.002004,oai,200,sysprocess_epoll_wait,epoll_wait
386,systemd-journal,156,332,23:21:51,67752.605271,oai,100,sysprocess_epoll_wait,epoll_wait
389,nrf,151,102808,23:21:51,60084.150729,oai,100,sysprocess_epoll_wait,epoll_wait
414,udm,1,102811,23:21:51,0.00347,oai,100,sysprocess_epoll_wait,epoll_wait
415,smf,1,102825,23:21:51,0.002569,oai,100,sysprocess_epoll_wait,epoll_wait
416,ausf,1,102813,23:21:51,0.002306,oai,100,sysprocess_epoll_wait,epoll_wait
417,udr,1,102826,23:21:51,0.001847,oai,100,sysprocess_epoll_wait,epoll_wait
422,systemd-journal,196,332,02:25:06,67702.926862,oai,300,sysprocess_epoll_wait,epoll_wait
425,nrf,185,171055,02:25:06,60203.7299,oai,300,sysprocess_epoll_wait,epoll_wait
450,ausf,1,171059,02:25:06,0.003312,oai,300,sysprocess_epoll_wait,epoll_wait
451,udm,1,171060,02:25:06,0.003208,oai,300,sysprocess_epoll_wait,epoll_wait
452,smf,1,171073,02:25:06,0.002792,oai,300,sysprocess_epoll_wait,epoll_wait
453,udr,1,171072,02:25:06,0.002736,oai,300,sysprocess_epoll_wait,epoll_wait
458,systemd-journal,175,332,12:04:39,67863.557571,oai,0,sysprocess_epoll_wait,epoll_wait
461,nrf,71,48430,12:04:39,60007.279553,oai,0,sysprocess_epoll_wait,epoll_wait
486,udr,1,48444,12:04:39,0.003849,oai,0,sysprocess_epoll_wait,epoll_wait
487,smf,1,48457,12:04:39,0.002782,oai,0,sysprocess_epoll_wait,epoll_wait
488,ausf,1,48432,12:04:39,0.002755,oai,0,sysprocess_epoll_wait,epoll_wait
489,udm,1,48439,12:04:39,0.002525,oai,0,sysprocess_epoll_wait,epoll_wait
494,systemd-journal,166,332,15:59:15,67758.06623,oai,10,sysprocess_epoll_wait,epoll_wait
495,nrf,153,70767,15:59:15,60112.66962,oai,10,sysprocess_epoll_wait,epoll_wait
521,udm,1,70769,15:59:15,0.002999,oai,10,sysprocess_epoll_wait,epoll_wait
522,udr,1,70786,15:59:15,0.002996,oai,10,sysprocess_epoll_wait,epoll_wait
523,ausf,1,70768,15:59:15,0.00263,oai,10,sysprocess_epoll_wait,epoll_wait
528,systemd-journal,160,332,18:05:20,67932.294251,oai,50,sysprocess_epoll_wait,epoll_wait
529,nrf,103,84165,18:05:20,60170.855179,oai,50,sysprocess_epoll_wait,epoll_wait
555,udr,1,84183,18:05:20,0.00277,oai,50,sysprocess_epoll_wait,epoll_wait
556,udm,1,84171,18:05:20,0.00275,oai,50,sysprocess_epoll_wait,epoll_wait
557,ausf,1,84167,18:05:20,0.002509,oai,50,sysprocess_epoll_wait,epoll_wait
559,systemd-journal,32,43813,07:27:15,65319.478896,free5gc,100,sysprocess_epoll_wait,epoll_wait
568,systemd-journal,32,43813,06:48:22,65319.185467,free5gc,50,sysprocess_epoll_wait,epoll_wait
576,systemd-journal,32,43813,08:08:44,65523.452523,free5gc,200,sysprocess_epoll_wait,epoll_wait
584,systemd-journal,32,43813,08:58:00,65401.906227,free5gc,300,sysprocess_epoll_wait,epoll_wait
592,systemd-journal,32,328,21:49:07,65314.282514,free5gc,5,sysprocess_epoll_wait,epoll_wait
600,systemd-journal,32,328,22:47:14,65526.726272,free5gc,10,sysprocess_epoll_wait,epoll_wait
607,systemd-journal,32,328,21:12:44,65307.226301,free5gc,0,sysprocess_epoll_wait,epoll_wait
614,rsyslogd,74,691,13:36:22,68586.083704,open5gs,5,sysprocess_poll,poll
616,irqbalance,6,687,13:36:22,59988.750221,open5gs,5,sysprocess_poll,poll
617,udisksd,12,698,13:36:22,59197.369622,open5gs,5,sysprocess_poll,poll
618,polkitd,21,689,13:36:22,9.714793,open5gs,5,sysprocess_poll,poll
619,ModemManager,10,770,13:36:22,2.301591,open5gs,5,sysprocess_poll,poll
620,open5gs-scpd,113,34949,13:36:22,0.525177,open5gs,5,sysprocess_poll,poll
621,open5gs-mmed,2,34959,13:36:22,0.271196,open5gs,5,sysprocess_poll,poll
622,open5gs-pcrfd,2,34957,13:36:22,0.173165,open5gs,5,sysprocess_poll,poll
623,open5gs-amfd,47,34919,13:36:22,0.159337,open5gs,5,sysprocess_poll,poll
624,open5gs-hssd,2,34954,13:36:22,0.136756,open5gs,5,sysprocess_poll,poll
625,open5gs-nrfd,29,34948,13:36:22,0.122795,open5gs,5,sysprocess_poll,poll
626,open5gs-ausfd,19,34945,13:36:22,0.105834,open5gs,5,sysprocess_poll,poll
627,open5gs-smfd,21,34958,13:36:22,0.105364,open5gs,5,sysprocess_poll,poll
628,open5gs-nssfd,14,34942,13:36:22,0.098642,open5gs,5,sysprocess_poll,poll
629,open5gs-udmd,14,34943,13:36:22,0.091379,open5gs,5,sysprocess_poll,poll
630,open5gs-bsfd,13,34946,13:36:22,0.085578,open5gs,5,sysprocess_poll,poll
631,open5gs-udrd,13,34951,13:36:22,0.078714,open5gs,5,sysprocess_poll,poll
632,open5gs-pcfd,17,34952,13:36:22,0.072069,open5gs,5,sysprocess_poll,poll
635,rsyslogd,4813,691,17:37:43,64905.720641,open5gs,200,sysprocess_poll,poll
636,irqbalance,6,687,17:37:43,59992.521277,open5gs,200,sysprocess_poll,poll
638,open5gs-udrd,1415,74117,17:37:43,1322.039713,open5gs,200,sysprocess_poll,poll
639,open5gs-pcfd,2209,74118,17:37:43,382.013543,open5gs,200,sysprocess_poll,poll
640,open5gs-amfd,100296,74101,17:37:43,77.53775,open5gs,200,sysprocess_poll,poll
641,open5gs-scpd,53634,74116,17:37:43,47.906241,open5gs,200,sysprocess_poll,poll
642,open5gs-udmd,33713,74120,17:37:43,26.967535,open5gs,200,sysprocess_poll,poll
643,open5gs-ausfd,22214,74119,17:37:43,17.210406,open5gs,200,sysprocess_poll,poll
644,polkitd,22,689,17:37:43,9.324349,open5gs,200,sysprocess_poll,poll
645,ModemManager,10,770,17:37:43,2.620061,open5gs,200,sysprocess_poll,poll
646,udisksd,10,698,17:37:43,2.049468,open5gs,200,sysprocess_poll,poll
647,open5gs-smfd,20,74147,17:37:43,0.186953,open5gs,200,sysprocess_poll,poll
648,open5gs-pcrfd,2,74136,17:37:43,0.128244,open5gs,200,sysprocess_poll,poll
649,open5gs-bsfd,14,74114,17:37:43,0.078084,open5gs,200,sysprocess_poll,poll
650,open5gs-nssfd,14,74111,17:37:43,0.068465,open5gs,200,sysprocess_poll,poll
652,open5gs-nrfd,1,74146,17:37:43,0.002867,open5gs,200,sysprocess_poll,poll
654,rsyslogd,298,691,14:19:54,67543.769402,open5gs,10,sysprocess_poll,poll
656,irqbalance,6,687,14:19:54,59998.08061,open5gs,10,sysprocess_poll,poll
657,open5gs-udrd,86,44700,14:19:54,63.759311,open5gs,10,sysprocess_poll,poll
658,polkitd,22,689,14:19:54,12.124619,open5gs,10,sysprocess_poll,poll
659,open5gs-pcfd,53,44694,14:19:54,12.012561,open5gs,10,sysprocess_poll,poll
660,udisksd,10,698,14:19:54,2.948157,open5gs,10,sysprocess_poll,poll
661,ModemManager,10,770,14:19:54,2.549728,open5gs,10,sysprocess_poll,poll
662,open5gs-scpd,532,44677,14:19:54,1.218275,open5gs,10,sysprocess_poll,poll
663,open5gs-amfd,537,44676,14:19:54,0.840605,open5gs,10,sysprocess_poll,poll
664,open5gs-pcrfd,2,44718,14:19:54,0.480331,open5gs,10,sysprocess_poll,poll
665,open5gs-udmd,215,44693,14:19:54,0.387898,open5gs,10,sysprocess_poll,poll
666,open5gs-smfd,21,44731,14:19:54,0.33671,open5gs,10,sysprocess_poll,poll
667,open5gs-ausfd,81,44695,14:19:54,0.194405,open5gs,10,sysprocess_poll,poll
668,open5gs-nssfd,14,44697,14:19:54,0.086845,open5gs,10,sysprocess_poll,poll
669,open5gs-bsfd,14,44692,14:19:54,0.062216,open5gs,10,sysprocess_poll,poll
670,open5gs-nrfd,4,44690,14:19:54,0.014388,open5gs,10,sysprocess_poll,poll
673,rsyslogd,921,691,18:48:20,68414.752961,open5gs,300,sysprocess_poll,poll
675,irqbalance,6,687,18:48:20,59998.084474,open5gs,300,sysprocess_poll,poll
676,polkitd,22,689,18:48:20,9.531544,open5gs,300,sysprocess_poll,poll
677,ModemManager,10,770,18:48:20,3.556783,open5gs,300,sysprocess_poll,poll
