,comm,count,pid,time,time (ms),cn,ues,tool,syscall
0,mysqld,21364,717,12:00:53,880860.637669,oai,0,sysprocess_futex,futex
1,smf,100,47909,12:00:53,179996.486792,oai,0,sysprocess_futex,futex
2,snapd,523,602,12:00:53,177050.697768,oai,0,sysprocess_futex,futex
3,amf,46,47911,12:00:53,126255.179612,oai,0,sysprocess_futex,futex
4,multipathd,209,459,12:00:53,69008.92539,oai,0,sysprocess_futex,futex
5,rsyslogd,870,599,12:00:53,67502.029693,oai,0,sysprocess_futex,futex
6,[unknown],10,47338,12:00:53,2.475473,oai,0,sysprocess_futex,futex
7,[unknown],13,47298,12:00:53,1.261139,oai,0,sysprocess_futex,futex
8,udr,49,47904,12:00:53,0.414058,oai,0,sysprocess_futex,futex
9,ausf,16,47893,12:00:53,0.19269,oai,0,sysprocess_futex,futex
10,udm,12,47889,12:00:53,0.145935,oai,0,sysprocess_futex,futex
11,polkitd,12,598,12:00:53,0.105006,oai,0,sysprocess_futex,futex
12,accounts-daemon,3,583,12:00:53,0.083679,oai,0,sysprocess_futex,futex
13,udisksd,12,611,12:00:53,0.061914,oai,0,sysprocess_futex,futex
14,[unknown],1,47297,12:00:53,0.050335,oai,0,sysprocess_futex,futex
15,[unknown],22,47886,12:00:53,0.027079,oai,0,sysprocess_futex,futex
16,[unknown],22,47887,12:00:53,0.026005,oai,0,sysprocess_futex,futex
17,[unknown],22,47888,12:00:53,0.023746,oai,0,sysprocess_futex,futex
18,[unknown],16,47873,12:00:53,0.020347,oai,0,sysprocess_futex,futex
19,[unknown],7,47880,12:00:53,0.009741,oai,0,sysprocess_futex,futex
20,[unknown],4,47878,12:00:53,0.009119,oai,0,sysprocess_futex,futex
21,nrf,3,47885,12:00:53,0.00607,oai,0,sysprocess_futex,futex
22,[unknown],2,47883,12:00:53,0.004891,oai,0,sysprocess_futex,futex
23,[unknown],1,47868,12:00:53,0.003428,oai,0,sysprocess_futex,futex
24,[unknown],1,47870,12:00:53,0.002246,oai,0,sysprocess_futex,futex
25,mysqld,21367,717,02:19:50,882805.591613,oai,300,sysprocess_futex,futex
26,smf,105,168091,02:19:50,179995.205408,oai,300,sysprocess_futex,futex
27,snapd,294,85885,02:19:50,148213.136754,oai,300,sysprocess_futex,futex
28,multipathd,209,459,02:19:50,69009.053056,oai,300,sysprocess_futex,futex
29,rsyslogd,622,599,02:19:50,67515.658376,oai,300,sysprocess_futex,futex
30,[unknown],13,165171,02:19:50,0.514092,oai,300,sysprocess_futex,futex
31,amf,12,165173,02:19:50,0.452744,oai,300,sysprocess_futex,futex
32,udr,37,168090,02:19:50,0.235736,oai,300,sysprocess_futex,futex
33,ausf,16,168079,02:19:50,0.204487,oai,300,sysprocess_futex,futex
34,udm,16,168078,02:19:50,0.198263,oai,300,sysprocess_futex,futex
35,accounts-daemon,27,583,02:19:50,0.099977,oai,300,sysprocess_futex,futex
36,[unknown],22,168074,02:19:50,0.057251,oai,300,sysprocess_futex,futex
37,[unknown],22,168077,02:19:50,0.028999,oai,300,sysprocess_futex,futex
38,[unknown],16,168061,02:19:50,0.016659,oai,300,sysprocess_futex,futex
39,python3,7,168068,02:19:50,0.009532,oai,300,sysprocess_futex,futex
40,sudo,4,168066,02:19:50,0.008778,oai,300,sysprocess_futex,futex
41,nrf,3,168073,02:19:50,0.005397,oai,300,sysprocess_futex,futex
42,systemctl,2,168071,02:19:50,0.004221,oai,300,sysprocess_futex,futex
43,[unknown],1,168058,02:19:50,0.003657,oai,300,sysprocess_futex,futex
44,[unknown],1,168056,02:19:50,0.003552,oai,300,sysprocess_futex,futex
45,[unknown],2,165183,02:19:50,0.00258,oai,300,sysprocess_futex,futex
46,mysqld,21353,717,00:50:32,866801.741341,oai,200,sysprocess_futex,futex
47,snapd,974,85885,00:50:32,200481.213416,oai,200,sysprocess_futex,futex
48,smf,106,127596,00:50:32,179992.503373,oai,200,sysprocess_futex,futex
49,multipathd,209,459,00:50:32,69009.70712,oai,200,sysprocess_futex,futex
50,rsyslogd,751,599,00:50:32,67525.754746,oai,200,sysprocess_futex,futex
51,[unknown],1,125447,00:50:32,3.902285,oai,200,sysprocess_futex,futex
52,[unknown],11,125437,00:50:32,1.144099,oai,200,sysprocess_futex,futex
53,udr,45,127597,00:50:32,0.31662,oai,200,sysprocess_futex,futex
54,ausf,16,127581,00:50:32,0.30884,oai,200,sysprocess_futex,futex
55,udm,16,127582,00:50:32,0.200278,oai,200,sysprocess_futex,futex
56,amf,13,125472,00:50:32,0.186779,oai,200,sysprocess_futex,futex
57,accounts-daemon,27,583,00:50:32,0.103191,oai,200,sysprocess_futex,futex
58,[unknown],22,127580,00:50:32,0.027507,oai,200,sysprocess_futex,futex
59,[unknown],22,127579,00:50:32,0.025051,oai,200,sysprocess_futex,futex
60,[unknown],16,127566,00:50:32,0.01598,oai,200,sysprocess_futex,futex
61,python3,7,127573,00:50:32,0.012511,oai,200,sysprocess_futex,futex
62,sudo,4,127571,00:50:32,0.010012,oai,200,sysprocess_futex,futex
63,nrf,3,127578,00:50:32,0.005065,oai,200,sysprocess_futex,futex
64,systemctl,2,127576,00:50:32,0.004126,oai,200,sysprocess_futex,futex
65,[unknown],1,127561,00:50:32,0.002749,oai,200,sysprocess_futex,futex
66,[unknown],1,127563,00:50:32,0.002111,oai,200,sysprocess_futex,futex
67,mysqld,21338,717,23:16:36,1000298.438415,oai,100,sysprocess_futex,futex
68,smf,114,101498,23:16:36,179967.151618,oai,100,sysprocess_futex,futex
69,multipathd,209,459,23:16:36,69008.191122,oai,100,sysprocess_futex,futex
70,rsyslogd,725,599,23:16:36,67515.420741,oai,100,sysprocess_futex,futex
71,snapd,709,85885,23:16:36,60631.389928,oai,100,sysprocess_futex,futex
72,amf,13,100178,23:16:36,1.901226,oai,100,sysprocess_futex,futex
73,udr,45,101497,23:16:36,0.384072,oai,100,sysprocess_futex,futex
74,[unknown],13,100146,23:16:36,0.381703,oai,100,sysprocess_futex,futex
75,accounts-daemon,9,583,23:16:36,0.067647,oai,100,sysprocess_futex,futex
76,[unknown],1,100145,23:16:36,0.062872,oai,100,sysprocess_futex,futex
77,[unknown],22,101476,23:16:36,0.030952,oai,100,sysprocess_futex,futex
78,[unknown],22,101474,23:16:36,0.027978,oai,100,sysprocess_futex,futex
79,[unknown],16,101462,23:16:36,0.020002,oai,100,sysprocess_futex,futex
80,python3,7,101469,23:16:36,0.010616,oai,100,sysprocess_futex,futex
81,sudo,4,101467,23:16:36,0.009938,oai,100,sysprocess_futex,futex
82,ausf,4,101480,23:16:36,0.008052,oai,100,sysprocess_futex,futex
83,udm,4,101479,23:16:36,0.006809,oai,100,sysprocess_futex,futex
84,nrf,3,101475,23:16:36,0.00642,oai,100,sysprocess_futex,futex
85,[unknown],1,101459,23:16:36,0.004548,oai,100,sysprocess_futex,futex
86,systemctl,2,101472,23:16:36,0.004275,oai,100,sysprocess_futex,futex
87,[unknown],1,101457,23:16:36,0.002981,oai,100,sysprocess_futex,futex
88,mysqld,21362,717,14:16:54,881449.165907,oai,5,sysprocess_futex,futex
89,smf,104,59013,14:16:54,179961.790294,oai,5,sysprocess_futex,futex
90,multipathd,209,459,14:16:54,69007.617549,oai,5,sysprocess_futex,futex
91,rsyslogd,683,599,14:16:54,67500.118522,oai,5,sysprocess_futex,futex
92,snapd,1002,602,14:16:54,60852.775282,oai,5,sysprocess_futex,futex
93,[unknown],13,58455,14:16:54,4.650067,oai,5,sysprocess_futex,futex
94,udr,46,59012,14:16:54,0.347777,oai,5,sysprocess_futex,futex
95,udm,24,58994,14:16:54,0.321478,oai,5,sysprocess_futex,futex
96,amf,13,58480,14:16:54,0.287989,oai,5,sysprocess_futex,futex
97,ausf,16,58993,14:16:54,0.208696,oai,5,sysprocess_futex,futex
98,accounts-daemon,27,583,14:16:54,0.110788,oai,5,sysprocess_futex,futex
99,[unknown],1,58453,14:16:54,0.048174,oai,5,sysprocess_futex,futex
100,[unknown],22,58992,14:16:54,0.026301,oai,5,sysprocess_futex,futex
101,[unknown],22,58991,14:16:54,0.024344,oai,5,sysprocess_futex,futex
102,[unknown],16,58978,14:16:54,0.018985,oai,5,sysprocess_futex,futex
103,nrf,3,58990,14:16:54,0.013525,oai,5,sysprocess_futex,futex
104,sudo,4,58983,14:16:54,0.009555,oai,5,sysprocess_futex,futex
105,python3,7,58985,14:16:54,0.009389,oai,5,sysprocess_futex,futex
106,systemctl,2,58988,14:16:54,0.004675,oai,5,sysprocess_futex,futex
107,[unknown],1,58973,14:16:54,0.0028,oai,5,sysprocess_futex,futex
108,[unknown],1,58975,14:16:54,0.002265,oai,5,sysprocess_futex,futex
109,mysqld,21374,717,15:53:59,985950.303955,oai,10,sysprocess_futex,futex
110,smf,102,70131,15:53:59,179994.245046,oai,10,sysprocess_futex,futex
111,snapd,577,602,15:53:59,92037.900071,oai,10,sysprocess_futex,futex
112,multipathd,209,459,15:53:59,69008.539498,oai,10,sysprocess_futex,futex
113,rsyslogd,536,599,15:53:59,67539.588561,oai,10,sysprocess_futex,futex
114,[unknown],12,69493,15:53:59,1.095571,oai,10,sysprocess_futex,futex
115,amf,13,69529,15:53:59,0.47968,oai,10,sysprocess_futex,futex
116,udr,45,70141,15:53:59,0.292088,oai,10,sysprocess_futex,futex
117,ausf,20,70117,15:53:59,0.236037,oai,10,sysprocess_futex,futex
118,udm,20,70115,15:53:59,0.221724,oai,10,sysprocess_futex,futex
119,[unknown],1,69504,15:53:59,0.051954,oai,10,sysprocess_futex,futex
120,[unknown],22,70116,15:53:59,0.050472,oai,10,sysprocess_futex,futex
121,[unknown],22,70109,15:53:59,0.026043,oai,10,sysprocess_futex,futex
122,[unknown],16,70096,15:53:59,0.016333,oai,10,sysprocess_futex,futex
123,sudo,4,70101,15:53:59,0.011196,oai,10,sysprocess_futex,futex
124,python3,7,70103,15:53:59,0.010313,oai,10,sysprocess_futex,futex
125,nrf,3,70108,15:53:59,0.005185,oai,10,sysprocess_futex,futex
126,systemctl,2,70106,15:53:59,0.003869,oai,10,sysprocess_futex,futex
127,[unknown],1,70091,15:53:59,0.003362,oai,10,sysprocess_futex,futex
128,[unknown],1,70093,15:53:59,0.002092,oai,10,sysprocess_futex,futex
129,mysqld,21390,717,18:00:04,1010793.23265,oai,50,sysprocess_futex,futex
130,multipathd,209,459,18:00:04,69009.367912,oai,50,sysprocess_futex,futex
131,rsyslogd,368,599,18:00:04,67486.917567,oai,50,sysprocess_futex,futex
132,snapd,35,602,18:00:04,60143.097553,oai,50,sysprocess_futex,futex
133,amf,14,82273,18:00:04,1.342712,oai,50,sysprocess_futex,futex
134,[unknown],1,82240,18:00:04,0.788727,oai,50,sysprocess_futex,futex
135,ausf,20,83188,18:00:04,0.292768,oai,50,sysprocess_futex,futex
136,udm,16,83187,18:00:04,0.192126,oai,50,sysprocess_futex,futex
137,udr,37,83207,18:00:04,0.187198,oai,50,sysprocess_futex,futex
138,smf,16,82241,18:00:04,0.162885,oai,50,sysprocess_futex,futex
139,accounts-daemon,27,583,18:00:04,0.103648,oai,50,sysprocess_futex,futex
140,[unknown],16,83171,18:00:04,0.025647,oai,50,sysprocess_futex,futex
141,[unknown],22,83186,18:00:04,0.023238,oai,50,sysprocess_futex,futex
