,comm,count,pid,time,time (ms),cn,ues,tool,syscall
1,smf,100,47909,12:00:53,179996.486792,oai,0,sysprocess_futex,futex
3,amf,46,47911,12:00:53,126255.179612,oai,0,sysprocess_futex,futex
5,rsyslogd,870,599,12:00:53,67502.029693,oai,0,sysprocess_futex,futex
8,udr,49,47904,12:00:53,0.414058,oai,0,sysprocess_futex,futex
9,ausf,16,47893,12:00:53,0.19269,oai,0,sysprocess_futex,futex
10,udm,12,47889,12:00:53,0.145935,oai,0,sysprocess_futex,futex
11,polkitd,12,598,12:00:53,0.105006,oai,0,sysprocess_futex,futex
13,udisksd,12,611,12:00:53,0.061914,oai,0,sysprocess_futex,futex
21,nrf,3,47885,12:00:53,0.00607,oai,0,sysprocess_futex,futex
26,smf,105,168091,02:19:50,179995.205408,oai,300,sysprocess_futex,futex
29,rsyslogd,622,599,02:19:50,67515.658376,oai,300,sysprocess_futex,futex
31,amf,12,165173,02:19:50,0.452744,oai,300,sysprocess_futex,futex
32,udr,37,168090,02:19:50,0.235736,oai,300,sysprocess_futex,futex
33,ausf,16,168079,02:19:50,0.204487,oai,300,sysprocess_futex,futex
34,udm,16,168078,02:19:50,0.198263,oai,300,sysprocess_futex,futex
41,nrf,3,168073,02:19:50,0.005397,oai,300,sysprocess_futex,futex
48,smf,106,127596,00:50:32,179992.503373,oai,200,sysprocess_futex,futex
50,rsyslogd,751,599,00:50:32,67525.754746,oai,200,sysprocess_futex,futex
53,udr,45,127597,00:50:32,0.31662,oai,200,sysprocess_futex,futex
54,ausf,16,127581,00:50:32,0.30884,oai,200,sysprocess_futex,futex
55,udm,16,127582,00:50:32,0.200278,oai,200,sysprocess_futex,futex
56,amf,13,125472,00:50:32,0.186779,oai,200,sysprocess_futex,futex
63,nrf,3,127578,00:50:32,0.005065,oai,200,sysprocess_futex,futex
68,smf,114,101498,23:16:36,179967.151618,oai,100,sysprocess_futex,futex
70,rsyslogd,725,599,23:16:36,67515.420741,oai,100,sysprocess_futex,futex
72,amf,13,100178,23:16:36,1.901226,oai,100,sysprocess_futex,futex
73,udr,45,101497,23:16:36,0.384072,oai,100,sysprocess_futex,futex
82,ausf,4,101480,23:16:36,0.008052,oai,100,sysprocess_futex,futex
83,udm,4,101479,23:16:36,0.006809,oai,100,sysprocess_futex,futex
84,nrf,3,101475,23:16:36,0.00642,oai,100,sysprocess_futex,futex
89,smf,104,59013,14:16:54,179961.790294,oai,5,sysprocess_futex,futex
91,rsyslogd,683,599,14:16:54,67500.118522,oai,5,sysprocess_futex,futex
94,udr,46,59012,14:16:54,0.347777,oai,5,sysprocess_futex,futex
95,udm,24,58994,14:16:54,0.321478,oai,5,sysprocess_futex,futex
96,amf,13,58480,14:16:54,0.287989,oai,5,sysprocess_futex,futex
97,ausf,16,58993,14:16:54,0.208696,oai,5,sysprocess_futex,futex
103,nrf,3,58990,14:16:54,0.013525,oai,5,sysprocess_futex,futex
110,smf,102,70131,15:53:59,179994.245046,oai,10,sysprocess_futex,futex
113,rsyslogd,536,599,15:53:59,67539.588561,oai,10,sysprocess_futex,futex
115,amf,13,69529,15:53:59,0.47968,oai,10,sysprocess_futex,futex
116,udr,45,70141,15:53:59,0.292088,oai,10,sysprocess_futex,futex
117,ausf,20,70117,15:53:59,0.236037,oai,10,sysprocess_futex,futex
118,udm,20,70115,15:53:59,0.221724,oai,10,sysprocess_futex,futex
125,nrf,3,70108,15:53:59,0.005185,oai,10,sysprocess_futex,futex
131,rsyslogd,368,599,18:00:04,67486.917567,oai,50,sysprocess_futex,futex
133,amf,14,82273,18:00:04,1.342712,oai,50,sysprocess_futex,futex
135,ausf,20,83188,18:00:04,0.292768,oai,50,sysprocess_futex,futex
136,udm,16,83187,18:00:04,0.192126,oai,50,sysprocess_futex,futex
137,udr,37,83207,18:00:04,0.187198,oai,50,sysprocess_futex,futex
138,smf,16,82241,18:00:04,0.162885,oai,50,sysprocess_futex,futex
144,nrf,3,83183,18:00:04,0.005713,oai,50,sysprocess_futex,futex
149,udr,10493,18620,06:46:41,190217.524001,free5gc,50,sysprocess_futex,futex
150,nrf,5575,18587,06:46:41,188760.844918,free5gc,50,sysprocess_futex,futex
151,pcf,3305,18629,06:46:41,187597.527876,free5gc,50,sysprocess_futex,futex
152,amf,13127,18598,06:46:41,165763.412487,free5gc,50,sysprocess_futex,futex
154,ausf,3947,18654,06:46:41,66232.311205,free5gc,50,sysprocess_futex,futex
155,rsyslogd,50,35679,06:46:41,65048.519806,free5gc,50,sysprocess_futex,futex
156,udm,11023,18639,06:46:41,11780.856231,free5gc,50,sysprocess_futex,futex
157,ModemManager,12,772,06:46:41,0.092707,free5gc,50,sysprocess_futex,futex
158,polkitd,12,691,06:46:41,0.059456,free5gc,50,sysprocess_futex,futex
160,smf,1,18610,06:46:41,0.015767,free5gc,50,sysprocess_futex,futex
161,upf,1,18565,06:46:41,0.013666,free5gc,50,sysprocess_futex,futex
162,nssf,1,18646,06:46:41,0.013304,free5gc,50,sysprocess_futex,futex
163,udisksd,3,700,06:46:41,0.008976,free5gc,50,sysprocess_futex,futex
165,nrf,1591,18587,22:45:33,238286.151441,free5gc,10,sysprocess_futex,futex
166,pcf,804,18629,22:45:33,189132.145843,free5gc,10,sysprocess_futex,futex
167,udr,3201,18620,22:45:33,186914.519835,free5gc,10,sysprocess_futex,futex
168,amf,5152,18598,22:45:33,158342.267554,free5gc,10,sysprocess_futex,futex
170,udm,2305,18639,22:45:33,65593.109055,free5gc,10,sysprocess_futex,futex
171,rsyslogd,53,693,22:45:33,65051.630323,free5gc,10,sysprocess_futex,futex
172,ausf,583,18654,22:45:33,63389.868213,free5gc,10,sysprocess_futex,futex
174,nssf,6,18646,22:45:33,0.525296,free5gc,10,sysprocess_futex,futex
175,upf,6,18565,22:45:33,0.490217,free5gc,10,sysprocess_futex,futex
176,smf,6,18610,22:45:33,0.344831,free5gc,10,sysprocess_futex,futex
177,polkitd,12,691,22:45:33,0.340704,free5gc,10,sysprocess_futex,futex
178,ModemManager,6,772,22:45:33,0.028006,free5gc,10,sysprocess_futex,futex
179,udisksd,6,700,22:45:33,0.026188,free5gc,10,sysprocess_futex,futex
181,amf,4150,18598,21:47:26,193117.180676,free5gc,5,sysprocess_futex,futex
182,nrf,904,18587,21:47:26,187910.961978,free5gc,5,sysprocess_futex,futex
183,udr,1308,18620,21:47:26,178289.999445,free5gc,5,sysprocess_futex,futex
184,pcf,445,18629,21:47:26,178285.814623,free5gc,5,sysprocess_futex,futex
186,rsyslogd,47,693,21:47:26,65060.607081,free5gc,5,sysprocess_futex,futex
187,udm,1206,18639,21:47:26,63567.108532,free5gc,5,sysprocess_futex,futex
188,ausf,351,18654,21:47:26,63195.778498,free5gc,5,sysprocess_futex,futex
