,comm,count,pid,time,time (ms),cn,ues,tool,syscall
0,udm,1502,85118,18:10:36,6.233582,oai,50,sysprocess_recvmsg,recvmsg
1,amf,1113,85138,18:10:36,5.447773,oai,50,sysprocess_recvmsg,recvmsg
2,udr,1242,85139,18:10:36,4.677987,oai,50,sysprocess_recvmsg,recvmsg
3,ausf,1087,85117,18:10:36,4.333754,oai,50,sysprocess_recvmsg,recvmsg
4,systemd-udevd,612,364,18:10:36,1.27758,oai,50,sysprocess_recvmsg,recvmsg
5,rsyslogd,386,599,18:10:36,1.194032,oai,50,sysprocess_recvmsg,recvmsg
6,nrf,138,85114,18:10:36,0.950082,oai,50,sysprocess_recvmsg,recvmsg
7,systemd-journal,149,332,18:10:36,0.916257,oai,50,sysprocess_recvmsg,recvmsg
8,[unknown],326,85112,18:10:36,0.513526,oai,50,sysprocess_recvmsg,recvmsg
9,systemd-logind,240,608,18:10:36,0.470371,oai,50,sysprocess_recvmsg,recvmsg
10,dbus-daemon,116,587,18:10:36,0.37956,oai,50,sysprocess_recvmsg,recvmsg
11,systemd,61,1,18:10:36,0.25671,oai,50,sysprocess_recvmsg,recvmsg
12,[unknown],19,84943,18:10:36,0.145552,oai,50,sysprocess_recvmsg,recvmsg
13,[unknown],24,84964,18:10:36,0.139188,oai,50,sysprocess_recvmsg,recvmsg
14,[unknown],24,84957,18:10:36,0.0986,oai,50,sysprocess_recvmsg,recvmsg
15,[unknown],24,84968,18:10:36,0.092188,oai,50,sysprocess_recvmsg,recvmsg
16,[unknown],18,84971,18:10:36,0.083841,oai,50,sysprocess_recvmsg,recvmsg
17,[unknown],19,84960,18:10:36,0.083227,oai,50,sysprocess_recvmsg,recvmsg
18,[unknown],21,84948,18:10:36,0.082968,oai,50,sysprocess_recvmsg,recvmsg
19,systemd-network,14,545,18:10:36,0.079545,oai,50,sysprocess_recvmsg,recvmsg
20,[unknown],21,84970,18:10:36,0.078292,oai,50,sysprocess_recvmsg,recvmsg
