,comm,count,pid,time,time (ms),cn,ues,tool,syscall
0,udm,1502,85118,18:10:36,6.233582,oai,50,sysprocess_recvmsg,recvmsg
1,amf,1113,85138,18:10:36,5.447773,oai,50,sysprocess_recvmsg,recvmsg
2,udr,1242,85139,18:10:36,4.677987,oai,50,sysprocess_recvmsg,recvmsg
3,ausf,1087,85117,18:10:36,4.333754,oai,50,sysprocess_recvmsg,recvmsg
5,rsyslogd,386,599,18:10:36,1.194032,oai,50,sysprocess_recvmsg,recvmsg
6,nrf,138,85114,18:10:36,0.950082,oai,50,sysprocess_recvmsg,recvmsg
7,systemd-journal,149,332,18:10:36,0.916257,oai,50,sysprocess_recvmsg,recvmsg
26,smf,8,85154,18:10:36,0.046845,oai,50,sysprocess_recvmsg,recvmsg
32,polkitd,4,598,18:10:36,0.020816,oai,50,sysprocess_recvmsg,recvmsg
34,udisksd,4,611,18:10:36,0.015532,oai,50,sysprocess_recvmsg,recvmsg
35,ModemManager,4,665,18:10:36,0.015059,oai,50,sysprocess_recvmsg,recvmsg
42,open5gs-hssd,673,73060,17:34:18,69951.617819,open5gs,200,sysprocess_recvmsg,recvmsg
43,open5gs-smfd,681,73072,17:34:18,69945.031197,open5gs,200,sysprocess_recvmsg,recvmsg
44,open5gs-mmed,673,73059,17:34:18,69943.506531,open5gs,200,sysprocess_recvmsg,recvmsg
45,open5gs-pcrfd,674,73058,17:34:18,69848.072911,open5gs,200,sysprocess_recvmsg,recvmsg
46,rsyslogd,1619,691,17:34:18,7.130844,open5gs,200,sysprocess_recvmsg,recvmsg
47,systemd-journal,1341,328,17:34:18,6.457215,open5gs,200,sysprocess_recvmsg,recvmsg
48,open5gs-amfd,600,73026,17:34:18,4.339225,open5gs,200,sysprocess_recvmsg,recvmsg
75,polkitd,4,689,17:34:18,0.024565,open5gs,200,sysprocess_recvmsg,recvmsg
77,udisksd,4,698,17:34:18,0.015915,open5gs,200,sysprocess_recvmsg,recvmsg
