,comm,count,pid,time,time (ms),cn,ues,tool,syscall
0,open5gs-scpd,405,57175,15:01:53,13.081352,open5gs,50,sysprocess_sendto,sendto
1,open5gs-nrfd,209,57164,15:01:53,3.949515,open5gs,50,sysprocess_sendto,sendto
2,open5gs-amfd,124,57162,15:01:53,1.77355,open5gs,50,sysprocess_sendto,sendto
3,open5gs-smfd,45,57199,15:01:53,1.062265,open5gs,50,sysprocess_sendto,sendto
4,open5gs-ausfd,18,57168,15:01:53,0.696132,open5gs,50,sysprocess_sendto,sendto
5,open5gs-pcfd,18,57174,15:01:53,0.644246,open5gs,50,sysprocess_sendto,sendto
6,open5gs-udrd,14,57172,15:01:53,0.615071,open5gs,50,sysprocess_sendto,sendto
7,open5gs-bsfd,14,57167,15:01:53,0.613513,open5gs,50,sysprocess_sendto,sendto
9,open5gs-nssfd,16,57173,15:01:53,0.581231,open5gs,50,sysprocess_sendto,sendto
10,open5gs-sgwud,12,57166,15:01:53,0.463446,open5gs,50,sysprocess_sendto,sendto
11,open5gs-udmd,14,57171,15:01:53,0.451722,open5gs,50,sysprocess_sendto,sendto
12,open5gs-upfd,15,57163,15:01:53,0.447815,open5gs,50,sysprocess_sendto,sendto
13,open5gs-sgwcd,12,57169,15:01:53,0.195146,open5gs,50,sysprocess_sendto,sendto
17,open5gs-hssd,1,57178,15:01:53,0.014722,open5gs,50,sysprocess_sendto,sendto
19,open5gs-mmed,1,57190,15:01:53,0.008038,open5gs,50,sysprocess_sendto,sendto
20,open5gs-pcrfd,1,57197,15:01:53,0.004317,open5gs,50,sysprocess_sendto,sendto
21,open5gs-scpd,249,47392,14:28:27,9.554056,open5gs,10,sysprocess_sendto,sendto
22,open5gs-nrfd,103,47394,14:28:27,2.490934,open5gs,10,sysprocess_sendto,sendto
23,open5gs-amfd,37,47379,14:28:27,1.693821,open5gs,10,sysprocess_sendto,sendto
24,open5gs-smfd,29,47438,14:28:27,1.022088,open5gs,10,sysprocess_sendto,sendto
25,open5gs-ausfd,21,47396,14:28:27,0.799323,open5gs,10,sysprocess_sendto,sendto
26,open5gs-udmd,18,47405,14:28:27,0.65889,open5gs,10,sysprocess_sendto,sendto
27,open5gs-udrd,14,47401,14:28:27,0.620807,open5gs,10,sysprocess_sendto,sendto
29,open5gs-pcfd,14,47403,14:28:27,0.544576,open5gs,10,sysprocess_sendto,sendto
30,open5gs-bsfd,14,47400,14:28:27,0.467315,open5gs,10,sysprocess_sendto,sendto
31,open5gs-upfd,12,47380,14:28:27,0.464617,open5gs,10,sysprocess_sendto,sendto
32,open5gs-sgwud,12,47395,14:28:27,0.461268,open5gs,10,sysprocess_sendto,sendto
33,open5gs-nssfd,14,47402,14:28:27,0.425397,open5gs,10,sysprocess_sendto,sendto
34,open5gs-sgwcd,12,47398,14:28:27,0.290373,open5gs,10,sysprocess_sendto,sendto
39,open5gs-scpd,575,66993,16:01:35,16.406886,open5gs,100,sysprocess_sendto,sendto
40,open5gs-nrfd,318,67011,16:01:35,4.124058,open5gs,100,sysprocess_sendto,sendto
41,open5gs-amfd,235,66968,16:01:35,3.37012,open5gs,100,sysprocess_sendto,sendto
42,open5gs-smfd,46,67013,16:01:35,2.363577,open5gs,100,sysprocess_sendto,sendto
43,open5gs-nssfd,18,66985,16:01:35,0.792501,open5gs,100,sysprocess_sendto,sendto
44,open5gs-ausfd,20,66983,16:01:35,0.684664,open5gs,100,sysprocess_sendto,sendto
45,open5gs-bsfd,14,66991,16:01:35,0.598725,open5gs,100,sysprocess_sendto,sendto
46,open5gs-udrd,16,66986,16:01:35,0.544148,open5gs,100,sysprocess_sendto,sendto
48,open5gs-sgwud,12,66982,16:01:35,0.49153,open5gs,100,sysprocess_sendto,sendto
49,open5gs-pcfd,20,66992,16:01:35,0.491432,open5gs,100,sysprocess_sendto,sendto
50,open5gs-upfd,15,66969,16:01:35,0.461145,open5gs,100,sysprocess_sendto,sendto
51,open5gs-udmd,17,66995,16:01:35,0.396772,open5gs,100,sysprocess_sendto,sendto
52,open5gs-sgwcd,12,66994,16:01:35,0.352947,open5gs,100,sysprocess_sendto,sendto
55,open5gs-pcrfd,1,67007,16:01:35,0.015004,open5gs,100,sysprocess_sendto,sendto
57,open5gs-scpd,2680,86642,18:56:53,44.081558,open5gs,300,sysprocess_sendto,sendto
58,open5gs-nrfd,1314,86644,18:56:53,15.493285,open5gs,300,sysprocess_sendto,sendto
59,open5gs-ausfd,1225,86643,18:56:53,12.526651,open5gs,300,sysprocess_sendto,sendto
60,open5gs-amfd,635,86634,18:56:53,7.746389,open5gs,300,sysprocess_sendto,sendto
61,open5gs-smfd,31,86673,18:56:53,1.050836,open5gs,300,sysprocess_sendto,sendto
62,open5gs-pcfd,20,86649,18:56:53,0.654965,open5gs,300,sysprocess_sendto,sendto
63,open5gs-udrd,14,86648,18:56:53,0.60237,open5gs,300,sysprocess_sendto,sendto
64,open5gs-bsfd,16,86647,18:56:53,0.550207,open5gs,300,sysprocess_sendto,sendto
66,open5gs-sgwcd,15,86641,18:56:53,0.515894,open5gs,300,sysprocess_sendto,sendto
67,open5gs-sgwud,15,86645,18:56:53,0.45305,open5gs,300,sysprocess_sendto,sendto
68,open5gs-udmd,18,86650,18:56:53,0.406599,open5gs,300,sysprocess_sendto,sendto
69,open5gs-upfd,12,86635,18:56:53,0.403836,open5gs,300,sysprocess_sendto,sendto
70,open5gs-nssfd,16,86646,18:56:53,0.358123,open5gs,300,sysprocess_sendto,sendto
74,open5gs-scpd,870,76803,17:46:16,21.420393,open5gs,200,sysprocess_sendto,sendto
75,open5gs-nrfd,515,76836,17:46:16,7.616569,open5gs,200,sysprocess_sendto,sendto
76,open5gs-amfd,425,76801,17:46:16,5.833877,open5gs,200,sysprocess_sendto,sendto
77,open5gs-smfd,44,76838,17:46:16,1.040845,open5gs,200,sysprocess_sendto,sendto
78,open5gs-ausfd,20,76802,17:46:16,0.781417,open5gs,200,sysprocess_sendto,sendto
79,open5gs-udmd,16,76812,17:46:16,0.630884,open5gs,200,sysprocess_sendto,sendto
80,open5gs-bsfd,14,76806,17:46:16,0.629549,open5gs,200,sysprocess_sendto,sendto
81,open5gs-pcfd,17,76809,17:46:16,0.581935,open5gs,200,sysprocess_sendto,sendto
82,open5gs-udrd,14,76805,17:46:16,0.57567,open5gs,200,sysprocess_sendto,sendto
83,open5gs-nssfd,16,76808,17:46:16,0.536066,open5gs,200,sysprocess_sendto,sendto
85,open5gs-sgwud,12,76785,17:46:16,0.481111,open5gs,200,sysprocess_sendto,sendto
86,open5gs-upfd,15,76786,17:46:16,0.443891,open5gs,200,sysprocess_sendto,sendto
87,open5gs-sgwcd,12,76804,17:46:16,0.242602,open5gs,200,sysprocess_sendto,sendto
91,open5gs-scpd,292,37636,13:44:54,11.544626,open5gs,5,sysprocess_sendto,sendto
92,open5gs-nrfd,133,37677,13:44:54,2.673681,open5gs,5,sysprocess_sendto,sendto
93,open5gs-smfd,31,37669,13:44:54,1.353997,open5gs,5,sysprocess_sendto,sendto
94,open5gs-amfd,41,37614,13:44:54,0.786308,open5gs,5,sysprocess_sendto,sendto
95,open5gs-udmd,20,37640,13:44:54,0.705976,open5gs,5,sysprocess_sendto,sendto
96,open5gs-ausfd,20,37634,13:44:54,0.704834,open5gs,5,sysprocess_sendto,sendto
97,open5gs-nssfd,14,37638,13:44:54,0.545776,open5gs,5,sysprocess_sendto,sendto
98,open5gs-pcfd,18,37642,13:44:54,0.518608,open5gs,5,sysprocess_sendto,sendto
100,open5gs-sgwud,12,37630,13:44:54,0.413152,open5gs,5,sysprocess_sendto,sendto
101,open5gs-udrd,14,37637,13:44:54,0.393062,open5gs,5,sysprocess_sendto,sendto
102,open5gs-bsfd,14,37635,13:44:54,0.348955,open5gs,5,sysprocess_sendto,sendto
103,open5gs-upfd,12,37633,13:44:54,0.30353,open5gs,5,sysprocess_sendto,sendto
104,open5gs-sgwcd,12,37632,13:44:54,0.205379,open5gs,5,sysprocess_sendto,sendto
108,open5gs-scpd,235,27897,13:01:14,16.117845,open5gs,0,sysprocess_sendto,sendto
109,open5gs-smfd,30,27914,13:01:14,2.042402,open5gs,0,sysprocess_sendto,sendto
110,open5gs-nrfd,93,27908,13:01:14,1.953412,open5gs,0,sysprocess_sendto,sendto
111,open5gs-amfd,28,27889,13:01:14,0.728697,open5gs,0,sysprocess_sendto,sendto
112,open5gs-bsfd,14,27894,13:01:14,0.620488,open5gs,0,sysprocess_sendto,sendto
113,open5gs-udrd,14,27911,13:01:14,0.572554,open5gs,0,sysprocess_sendto,sendto
115,open5gs-udmd,18,27899,13:01:14,0.536633,open5gs,0,sysprocess_sendto,sendto
116,open5gs-ausfd,21,27893,13:01:14,0.532803,open5gs,0,sysprocess_sendto,sendto
117,open5gs-pcfd,14,27910,13:01:14,0.515896,open5gs,0,sysprocess_sendto,sendto
118,open5gs-sgwud,12,27891,13:01:14,0.485356,open5gs,0,sysprocess_sendto,sendto
119,open5gs-upfd,12,27890,13:01:14,0.351188,open5gs,0,sysprocess_sendto,sendto
120,open5gs-sgwcd,12,27898,13:01:14,0.338313,open5gs,0,sysprocess_sendto,sendto
121,open5gs-nssfd,16,27896,13:01:14,0.258331,open5gs,0,sysprocess_sendto,sendto
125,udm,1764,92028,22:26:39,19.927719,oai,50,sysprocess_sendto,sendto
126,amf,1061,92054,22:26:39,14.729657,oai,50,sysprocess_sendto,sendto
127,ausf,964,92030,22:26:39,10.356662,oai,50,sysprocess_sendto,sendto
128,udr,65,92056,22:26:39,1.279283,oai,50,sysprocess_sendto,sendto
129,smf,23,92045,22:26:39,0.590961,oai,50,sysprocess_sendto,sendto
139,nrf,1,92024,22:26:39,0.01184,oai,50,sysprocess_sendto,sendto
140,udm,6804,147171,01:37:54,99.744389,oai,200,sysprocess_sendto,sendto
141,amf,4211,147197,01:37:54,51.538485,oai,200,sysprocess_sendto,sendto
142,ausf,3664,147177,01:37:54,41.73538,oai,200,sysprocess_sendto,sendto
143,udr,65,147204,01:37:54,1.418396,oai,200,sysprocess_sendto,sendto
144,smf,23,147196,01:37:54,0.543764,oai,200,sysprocess_sendto,sendto
153,nrf,1,147168,01:37:54,0.014209,oai,200,sysprocess_sendto,sendto
154,ausf,64,76073,16:41:21,1.286625,oai,10,sysprocess_sendto,sendto
155,udm,64,76077,16:41:21,1.186729,oai,10,sysprocess_sendto,sendto
156,udr,65,76096,16:41:21,1.177749,oai,10,sysprocess_sendto,sendto
157,smf,23,76095,16:41:21,0.637832,oai,10,sysprocess_sendto,sendto
165,nrf,1,76069,16:41:21,0.01539,oai,10,sysprocess_sendto,sendto
166,udm,64,113719,00:02:28,1.752218,oai,100,sysprocess_sendto,sendto
167,ausf,64,113718,00:02:28,1.435526,oai,100,sysprocess_sendto,sendto
168,udr,65,113744,00:02:28,1.312935,oai,100,sysprocess_sendto,sendto
170,smf,23,113745,00:02:28,0.508979,oai,100,sysprocess_sendto,sendto
176,nrf,1,113712,00:02:28,0.017558,oai,100,sysprocess_sendto,sendto
177,ausf,64,194822,03:07:12,1.908753,oai,300,sysprocess_sendto,sendto
178,udr,65,194840,03:07:12,1.429696,oai,300,sysprocess_sendto,sendto
179,smf,23,194841,03:07:12,0.671775,oai,300,sysprocess_sendto,sendto
182,udm,4,194821,03:07:12,0.086242,oai,300,sysprocess_sendto,sendto
187,nrf,1,194818,03:07:12,0.014473,oai,300,sysprocess_sendto,sendto
188,udr,65,64571,15:02:46,1.974754,oai,5,sysprocess_sendto,sendto
189,smf,23,64562,15:02:46,0.604858,oai,5,sysprocess_sendto,sendto
194,udm,4,64544,15:02:46,0.054171,oai,5,sysprocess_sendto,sendto
195,ausf,4,64543,15:02:46,0.049256,oai,5,sysprocess_sendto,sendto
198,nrf,1,64540,15:02:46,0.009138,oai,5,sysprocess_sendto,sendto
199,udr,65,52964,12:46:45,2.776936,oai,0,sysprocess_sendto,sendto
200,ausf,64,52946,12:46:45,1.373538,oai,0,sysprocess_sendto,sendto
201,udm,64,52949,12:46:45,1.370454,oai,0,sysprocess_sendto,sendto
202,smf,23,52963,12:46:45,0.631813,oai,0,sysprocess_sendto,sendto
209,nrf,1,52944,12:46:45,0.013131,oai,0,sysprocess_sendto,sendto
248,open5gs-amfd,61,47917,14:30:09,3.146365,open5gs,10,sysprocess_sendmsg,sendmsg
249,systemd-journal,200,328,14:30:09,2.696387,open5gs,10,sysprocess_sendmsg,sendmsg
252,open5gs-udrd,71,47923,14:30:09,0.929512,open5gs,10,sysprocess_sendmsg,sendmsg
259,open5gs-pcfd,21,47931,14:30:09,0.337555,open5gs,10,sysprocess_sendmsg,sendmsg
264,open5gs-pcrfd,2,47961,14:30:09,0.16943,open5gs,10,sysprocess_sendmsg,sendmsg
265,open5gs-hssd,2,47960,14:30:09,0.159408,open5gs,10,sysprocess_sendmsg,sendmsg
266,open5gs-mmed,2,47962,14:30:09,0.129838,open5gs,10,sysprocess_sendmsg,sendmsg
268,open5gs-smfd,2,47958,14:30:09,0.111876,open5gs,10,sysprocess_sendmsg,sendmsg
277,polkitd,2,689,14:30:09,0.018014,open5gs,10,sysprocess_sendmsg,sendmsg
282,systemd-journal,2826,328,16:03:18,29.988804,open5gs,100,sysprocess_sendmsg,sendmsg
287,open5gs-amfd,601,67502,16:03:18,15.379121,open5gs,100,sysprocess_sendmsg,sendmsg
288,open5gs-udrd,701,67534,16:03:18,10.167904,open5gs,100,sysprocess_sendmsg,sendmsg
291,open5gs-pcfd,201,67519,16:03:18,3.352995,open5gs,100,sysprocess_sendmsg,sendmsg
303,open5gs-hssd,2,67535,16:03:18,0.171303,open5gs,100,sysprocess_sendmsg,sendmsg
304,open5gs-pcrfd,2,67539,16:03:18,0.168283,open5gs,100,sysprocess_sendmsg,sendmsg
309,open5gs-mmed,2,67537,16:03:18,0.114878,open5gs,100,sysprocess_sendmsg,sendmsg
310,open5gs-smfd,2,67536,16:03:18,0.108346,open5gs,100,sysprocess_sendmsg,sendmsg
314,polkitd,2,689,16:03:18,0.023395,open5gs,100,sysprocess_sendmsg,sendmsg
326,open5gs-amfd,601,77322,17:47:59,14.68607,open5gs,200,sysprocess_sendmsg,sendmsg
328,systemd-journal,632,328,17:47:59,10.138437,open5gs,200,sysprocess_sendmsg,sendmsg
343,open5gs-hssd,2,77344,17:47:59,0.173551,open5gs,200,sysprocess_sendmsg,sendmsg
344,open5gs-pcrfd,2,77361,17:47:59,0.167133,open5gs,200,sysprocess_sendmsg,sendmsg
