,comm,count,pid,time,time (ms),cn,ues,tool,syscall
2,cron,1,586,21:55:03,60000.131689,oai,50,sysprocess_clock_nanosleep,clock_nanosleep
3,nrf,4,86263,21:55:03,200.687199,oai,50,sysprocess_clock_nanosleep,clock_nanosleep
4,smf,5,86286,21:55:03,23.503996,oai,50,sysprocess_clock_nanosleep,clock_nanosleep
10,cron,1,586,12:15:10,60000.093503,oai,0,sysprocess_clock_nanosleep,clock_nanosleep
11,nrf,2,49544,12:15:10,100.348089,oai,0,sysprocess_clock_nanosleep,clock_nanosleep
12,smf,5,49574,12:15:10,15.470595,oai,0,sysprocess_clock_nanosleep,clock_nanosleep
18,nrf,2,134131,01:06:20,100.195511,oai,200,sysprocess_clock_nanosleep,clock_nanosleep
19,smf,5,134161,01:06:20,14.824933,oai,200,sysprocess_clock_nanosleep,clock_nanosleep
25,nrf,2,176998,02:35:38,100.302345,oai,300,sysprocess_clock_nanosleep,clock_nanosleep
26,smf,5,177028,02:35:38,15.102842,oai,300,sysprocess_clock_nanosleep,clock_nanosleep
32,nrf,4,105562,23:32:23,200.59608,oai,100,sysprocess_clock_nanosleep,clock_nanosleep
33,smf,6,105588,23:32:23,15.578257,oai,100,sysprocess_clock_nanosleep,clock_nanosleep
39,nrf,4,72061,16:09:46,200.545638,oai,10,sysprocess_clock_nanosleep,clock_nanosleep
40,smf,5,72082,16:09:46,14.329936,oai,10,sysprocess_clock_nanosleep,clock_nanosleep
46,nrf,4,60884,14:32:41,200.748894,oai,5,sysprocess_clock_nanosleep,clock_nanosleep
47,smf,5,60905,14:32:41,14.459415,oai,5,sysprocess_clock_nanosleep,clock_nanosleep
53,open5gs-pcrfd,1,63751,15:51:15,60000.180756,open5gs,100,sysprocess_clock_nanosleep,clock_nanosleep
54,open5gs-smfd,1,63752,15:51:15,60000.143505,open5gs,100,sysprocess_clock_nanosleep,clock_nanosleep
55,open5gs-hssd,1,63770,15:51:15,60000.114789,open5gs,100,sysprocess_clock_nanosleep,clock_nanosleep
58,open5gs-smfd,1,34421,13:34:39,60000.278408,open5gs,5,sysprocess_clock_nanosleep,clock_nanosleep
59,open5gs-pcrfd,1,34420,13:34:39,60000.232965,open5gs,5,sysprocess_clock_nanosleep,clock_nanosleep
62,open5gs-hssd,1,24734,12:50:59,60000.273357,open5gs,0,sysprocess_clock_nanosleep,clock_nanosleep
63,open5gs-smfd,1,24735,12:50:59,60000.237222,open5gs,0,sysprocess_clock_nanosleep,clock_nanosleep
66,cron,1,682,21:16:06,60000.173373,free5gc,0,sysprocess_clock_nanosleep,clock_nanosleep
69,cron,1,682,08:12:06,60000.22987,free5gc,200,sysprocess_clock_nanosleep,clock_nanosleep
88,amf,46864,18598,08:30:35,19723.593306,free5gc,200,sysprocess_nanosleep,nanosleep
89,udr,34709,18620,08:30:35,8160.576275,free5gc,200,sysprocess_nanosleep,nanosleep
90,nrf,23021,18587,08:30:35,7764.049277,free5gc,200,sysprocess_nanosleep,nanosleep
91,udm,38672,18639,08:30:35,4662.770077,free5gc,200,sysprocess_nanosleep,nanosleep
92,ausf,14124,18654,08:30:35,2743.843508,free5gc,200,sysprocess_nanosleep,nanosleep
93,pcf,8047,18629,08:30:35,2717.801092,free5gc,200,sysprocess_nanosleep,nanosleep
95,nssf,1,18646,08:30:35,10.233185,free5gc,200,sysprocess_nanosleep,nanosleep
96,upf,1,18565,08:30:35,10.161671,free5gc,200,sysprocess_nanosleep,nanosleep
97,smf,1,18610,08:30:35,10.150694,free5gc,200,sysprocess_nanosleep,nanosleep
98,amf,67754,18598,09:19:51,27427.240956,free5gc,300,sysprocess_nanosleep,nanosleep
99,udr,52566,18620,09:19:51,10620.434537,free5gc,300,sysprocess_nanosleep,nanosleep
100,nrf,38851,18587,09:19:51,9667.68963,free5gc,300,sysprocess_nanosleep,nanosleep
101,udm,51677,18639,09:19:51,7082.804502,free5gc,300,sysprocess_nanosleep,nanosleep
102,pcf,11982,18629,09:19:51,3680.832958,free5gc,300,sysprocess_nanosleep,nanosleep
103,ausf,22954,18654,09:19:51,3407.861075,free5gc,300,sysprocess_nanosleep,nanosleep
104,smf,2,18610,09:19:51,10.247639,free5gc,300,sysprocess_nanosleep,nanosleep
105,nssf,2,18646,09:19:51,10.201319,free5gc,300,sysprocess_nanosleep,nanosleep
106,upf,2,18565,09:19:51,10.189321,free5gc,300,sysprocess_nanosleep,nanosleep
108,amf,22916,18598,07:49:06,12744.665181,free5gc,100,sysprocess_nanosleep,nanosleep
109,udr,18201,18620,07:49:06,3894.016963,free5gc,100,sysprocess_nanosleep,nanosleep
110,nrf,13748,18587,07:49:06,3767.845091,free5gc,100,sysprocess_nanosleep,nanosleep
111,udm,16243,18639,07:49:06,2406.507301,free5gc,100,sysprocess_nanosleep,nanosleep
112,pcf,3761,18629,07:49:06,2272.995663,free5gc,100,sysprocess_nanosleep,nanosleep
113,ausf,6399,18654,07:49:06,922.617135,free5gc,100,sysprocess_nanosleep,nanosleep
115,nssf,2,18646,07:49:06,10.810591,free5gc,100,sysprocess_nanosleep,nanosleep
116,upf,2,18565,07:49:06,10.346879,free5gc,100,sysprocess_nanosleep,nanosleep
117,smf,2,18610,07:49:06,10.224646,free5gc,100,sysprocess_nanosleep,nanosleep
118,amf,14352,18598,07:10:11,9892.046188,free5gc,50,sysprocess_nanosleep,nanosleep
119,nrf,7576,18587,07:10:11,3745.960291,free5gc,50,sysprocess_nanosleep,nanosleep
120,udr,8471,18620,07:10:11,3052.088735,free5gc,50,sysprocess_nanosleep,nanosleep
121,pcf,2278,18629,07:10:11,1733.596212,free5gc,50,sysprocess_nanosleep,nanosleep
122,udm,9672,18639,07:10:11,1411.277515,free5gc,50,sysprocess_nanosleep,nanosleep
123,ausf,4001,18654,07:10:11,1044.13384,free5gc,50,sysprocess_nanosleep,nanosleep
125,nssf,1,18646,07:10:11,10.230586,free5gc,50,sysprocess_nanosleep,nanosleep
126,upf,1,18565,07:10:11,10.227723,free5gc,50,sysprocess_nanosleep,nanosleep
127,smf,1,18610,07:10:11,10.173709,free5gc,50,sysprocess_nanosleep,nanosleep
128,amf,3391,18598,23:09:03,3037.840001,free5gc,10,sysprocess_nanosleep,nanosleep
129,udr,2001,18620,23:09:03,1512.347451,free5gc,10,sysprocess_nanosleep,nanosleep
130,nrf,1491,18587,23:09:03,1388.537589,free5gc,10,sysprocess_nanosleep,nanosleep
131,pcf,522,18629,23:09:03,1310.694147,free5gc,10,sysprocess_nanosleep,nanosleep
132,udm,1889,18639,23:09:03,249.248329,free5gc,10,sysprocess_nanosleep,nanosleep
133,ausf,968,18654,23:09:03,99.300057,free5gc,10,sysprocess_nanosleep,nanosleep
134,nssf,3,18646,23:09:03,20.571861,free5gc,10,sysprocess_nanosleep,nanosleep
136,smf,1,18610,23:09:03,10.2626,free5gc,10,sysprocess_nanosleep,nanosleep
137,upf,1,18565,23:09:03,10.203683,free5gc,10,sysprocess_nanosleep,nanosleep
138,amf,2343,18598,22:10:56,3558.578349,free5gc,5,sysprocess_nanosleep,nanosleep
139,pcf,397,18629,22:10:56,1498.692397,free5gc,5,sysprocess_nanosleep,nanosleep
140,udr,1038,18620,22:10:56,1486.486454,free5gc,5,sysprocess_nanosleep,nanosleep
141,nrf,688,18587,22:10:56,1229.956014,free5gc,5,sysprocess_nanosleep,nanosleep
142,udm,1188,18639,22:10:56,123.333846,free5gc,5,sysprocess_nanosleep,nanosleep
143,ausf,306,18654,22:10:56,36.321449,free5gc,5,sysprocess_nanosleep,nanosleep
144,upf,1,18565,22:10:56,10.234159,free5gc,5,sysprocess_nanosleep,nanosleep
145,smf,1,18610,22:10:56,10.191247,free5gc,5,sysprocess_nanosleep,nanosleep
146,nssf,1,18646,22:10:56,10.16508,free5gc,5,sysprocess_nanosleep,nanosleep
148,amf,1637,18598,21:34:33,1749.931075,free5gc,0,sysprocess_nanosleep,nanosleep
149,pcf,147,18629,21:34:33,1430.657172,free5gc,0,sysprocess_nanosleep,nanosleep
150,udr,143,18620,21:34:33,1429.627196,free5gc,0,sysprocess_nanosleep,nanosleep
151,nrf,144,18587,21:34:33,1427.259652,free5gc,0,sysprocess_nanosleep,nanosleep
152,upf,1,18565,21:34:33,10.217558,free5gc,0,sysprocess_nanosleep,nanosleep
153,ausf,1,18654,21:34:33,10.216288,free5gc,0,sysprocess_nanosleep,nanosleep
154,udm,1,18639,21:34:33,10.20141,free5gc,0,sysprocess_nanosleep,nanosleep
155,nssf,1,18646,21:34:33,10.139207,free5gc,0,sysprocess_nanosleep,nanosleep
156,smf,1,18610,21:34:33,10.129707,free5gc,0,sysprocess_nanosleep,nanosleep
