,0
0,
1,
2,
3,
4,
5,
6,
7,
8,
9,
10,
11,
12,
13,
14,
15,
16,
17,
18,
19,
20,
21,
22,
23,
24,
25,
26,
27,
28,
29,
30,
31,
32,
33,
34,
35,
36,
37,
38,
39,
40,
41,
42,
43,
44,
45,
46,
47,
48,
49,
50,
51,
52,
53,
54,
55,
56,
57,
58,
59,
60,
61,
62,
63,
64,
65,
66,
67,
68,
69,
70,
71,
72,
73,
74,
75,
76,
77,
78,
79,
80,1.0
81,2233.0
82,26.2
83,81.8
84,0.0
85,38.0
86,0.0
87,9.4
88,
89,-6.4
90,8.4
91,390.8
92,315.2
93,-69.8
94,0.0
95,-0.6
96,0.8
97,9.0
98,-143.2
99,1.0
100,-85.8
101,-157.2
102,
103,5.6
104,0.0
105,0.0
106,-3.2
107,0.0
108,856.0
109,-0.4
110,5.8
111,-48.2
112,789.4
113,13.2
114,-20.8
115,-3.0
116,-3.6
117,-2.8
118,1.8
119,-0.8
120,0.8
121,0.0
122,-0.8
123,1.4
124,54.8
125,48.0
126,-1.2
127,0.2
128,-0.8
129,166.8
130,-2.0
131,-8.0
132,-2.2
133,241.4
134,-2.6
135,291.6
136,-4.8
137,0.0
138,0.0
139,18.8
140,563.6
141,-3.8
142,0.0
143,40.4
144,0.0
145,0.4
146,-12.4
147,176.0
148,21.2
149,-142.6
150,0.0
151,0.0
152,100.6
153,1.6
154,18.2
155,0.0
156,-1.8
157,0.6
158,46.6
159,288.2
160,-2.6
161,89.0
162,-0.4
163,-39.4
164,52.8
165,12.2
166,-0.2
167,-0.6
168,
169,4.8
170,1441.0
171,15.6
172,160.8
173,0.8
174,0.0
175,
176,5.4
177,89.0
178,438.4
179,-11.8
180,33.8
181,-0.8
182,-42.0
183,177.6
184,-8.0
185,87.4
186,0.0
187,0.0
188,1.2
189,-1.3
190,1.8
191,276.6
192,456.4
193,3.8
194,2.4
195,5.8
196,0.2
197,81.8
198,9.4
199,-38.6
200,0.0
201,0.0
202,-4.2
203,19.2
204,25.8
205,177.8
206,147.2
207,3.4
208,20.0
209,-2.4
210,0.0
211,0.0
212,0.0
213,0.0
214,-0.2
215,0.8
216,628.0
217,0.0
218,126.0
219,0.0
220,4.6
221,0.0
222,527.2
223,18.6
224,1202.2
225,3.2
226,-2.4
227,-1.2
228,1.0
229,0.0
230,0.0
231,
232,5.0
233,63.6
234,-1.2
235,493.4
236,160.4
237,-1.2
238,639.8
239,
240,0.0
241,73.95
242,0.0
243,0.475
244,0.475
245,1.275
246,0.7
247,-0.2
248,0.0
249,-14.75
250,0.45
251,-0.425
252,243.975
253,1221.275
254,-2.35
255,8.3
256,-1.0
257,0.0
258,0.15
259,0.0
260,3.425
261,0.05
262,2686.275
263,20.575
264,0.1
265,
266,827.95
267,108.175
268,-0.125
269,365.9
270,0.225
271,3.55
272,0.0
273,8.1
