Number of UEs,OAI,Open5gs,Free5gc
1,0.460719983,0.277335644,0.381246885
2,0.571390708,0.204822222,0.18118159
3,0.678948032,0.212259663,0.184126377
4,0.805880666,0.235409101,0.237970491
5,0.851523336,0.226801475,0.271893756
10,1.357907526,0.346396788,0.473261499
20,2.499267463,0.542112839,0.868505681
30,3.725236763,0.806202274,1.23509193
40,4.937022223,1.150452155,1.63449468
50,6.152249058,1.21929644,2.063151129
100,11.86834224,2.93499926,4.333613207
200,23.70678375,6.439768004,8.584849109
300,35.18387634,9.786832661,13.19300881
