CN,Ues,Time1,Time2,Time3,Average
OAI,100,3.6508,3.1262,4.093,3.623333333
OAI,200,6.6885,6.61,6.9229,6.740466667
OAI,300,13.25,11.2785,11.7257,12.08473333
OAI,400,19.0086,15.8515,17.1894,17.34983333
OAI,500,22.8776,19.2067,22.6749,21.5864
Open5gs,100,3.1808,3.1842,3.1213,3.1621
Open5gs,200,7.4449,7.0096,7.4458,7.3001
Open5gs,300,11.1484,11.554,10.2734,10.99193333
Open5gs,400,16.6867,15.7139,15.5236,15.97473333
Open5gs,500,21.2806,19.3675,21.8457,20.83126667
free5gc,10,0.6717,0.6717,0.6717,0.6717
free5gc,20,1.2796,1.2796,1.2796,1.2796
free5gc,30,2.9802,2.9802,2.9802,2.9802
free5gc,40,2.7587,2.7587,2.7587,2.7587
free5gc,50,3.3743,3.3743,3.3743,3.3743
