cn,comm,ues
open5gs,systemd-timesyn,
oai,fwupd,
free5gc,systemd-resolve,
free5gc,systemd-timesyn,
open5gs,systemd-resolve,
oai,udisksd,
open5gs,rsyslogd,
open5gs,systemd,
open5gs,systemd-journal,
open5gs,systemd-udevd,
open5gs,python3,
open5gs,open5gs-upfd,
open5gs,open5gs-udrd,
open5gs,open5gs-udmd,
open5gs,open5gs-smfd,
open5gs,open5gs-sgwud,
open5gs,snapd,
open5gs,open5gs-sgwcd,
open5gs,open5gs-pcrfd,
open5gs,open5gs-pcfd,
open5gs,open5gs-nssfd,
open5gs,open5gs-nrfd,
open5gs,open5gs-mmed,
open5gs,open5gs-hssd,
open5gs,open5gs-bsfd,
open5gs,open5gs-ausfd,
open5gs,open5gs-amfd,
open5gs,[unknown],
open5gs,accounts-daemon,
open5gs,multipathd,
open5gs,dbus-daemon,
open5gs,open5gs-scpd,
open5gs,systemd-network,
free5gc,ModemManager,
free5gc,python3,
free5gc,[unknown],
free5gc,accounts-daemon,
free5gc,amf,
free5gc,ausf,
free5gc,cron,
free5gc,dbus-daemon,
free5gc,irqbalance,
free5gc,mongod,
free5gc,multipathd,
free5gc,nrf,
free5gc,nssf,
free5gc,packagekitd,
free5gc,pcf,
free5gc,polkitd,
open5gs,mongod,
free5gc,rsyslogd,
free5gc,smf,
free5gc,snapd,
free5gc,sshd,
free5gc,systemd,
free5gc,systemd-journal,
free5gc,systemd-logind,
free5gc,systemd-network,
free5gc,systemd-udevd,
free5gc,udisksd,
free5gc,udm,
free5gc,udr,
free5gc,upf,
open5gs,irqbalance,
open5gs,polkitd,
open5gs,systemd-logind,
open5gs,udisksd,
open5gs,ModemManager,
open5gs,cron,
oai,sshd,
oai,systemctl,
oai,sudo,
oai,systemd-resolve,
oai,[unknown],
oai,accounts-daemon,
oai,amf,
oai,ausf,
oai,cron,
oai,dbus-daemon,
oai,irqbalance,
oai,multipathd,
oai,mysqld,
oai,systemd-timesyn,
oai,nrf,
oai,rsyslogd,
oai,udr,
oai,snapd,
oai,udm,
oai,systemd-udevd,
oai,systemd,
oai,systemd-journal,
oai,systemd-logind,
oai,systemd-network,
oai,python3,
oai,smf,
