-- Logs begin at Mon 2023-08-21 11:34:55 UTC, end at Mon 2023-08-21 18:38:32 UTC. --
Aug 21 18:37:04 open5gs open5gs-amfd[80707]: 08/21 18:37:04.085: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[116] (../src/amf/ngap-handler.c:623)
Aug 21 18:37:04 open5gs open5gs-amfd[80707]: 08/21 18:37:04.086: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[117] (../src/amf/ngap-handler.c:623)
Aug 21 18:37:04 open5gs open5gs-amfd[80707]: 08/21 18:37:04.086: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[118] (../src/amf/ngap-handler.c:623)
Aug 21 18:37:04 open5gs open5gs-amfd[80707]: 08/21 18:37:04.086: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[120] (../src/amf/ngap-handler.c:623)
Aug 21 18:37:04 open5gs open5gs-amfd[80707]: 08/21 18:37:04.086: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[119] (../src/amf/ngap-handler.c:623)
Aug 21 18:37:04 open5gs open5gs-amfd[80707]: 08/21 18:37:04.087: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[121] (../src/amf/ngap-handler.c:623)
Aug 21 18:37:04 open5gs open5gs-amfd[80707]: 08/21 18:37:04.087: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[123] (../src/amf/ngap-handler.c:623)
Aug 21 18:37:04 open5gs open5gs-amfd[80707]: 08/21 18:37:04.087: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[122] (../src/amf/ngap-handler.c:623)
Aug 21 18:37:04 open5gs open5gs-amfd[80707]: 08/21 18:37:04.087: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[124] (../src/amf/ngap-handler.c:623)
Aug 21 18:37:04 open5gs open5gs-amfd[80707]: 08/21 18:37:04.087: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[125] (../src/amf/ngap-handler.c:623)
Aug 21 18:37:04 open5gs open5gs-amfd[80707]: 08/21 18:37:04.088: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[126] (../src/amf/ngap-handler.c:623)
Aug 21 18:37:04 open5gs open5gs-amfd[80707]: 08/21 18:37:04.088: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[128] (../src/amf/ngap-handler.c:623)
Aug 21 18:37:04 open5gs open5gs-amfd[80707]: 08/21 18:37:04.089: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[127] (../src/amf/ngap-handler.c:623)
Aug 21 18:37:04 open5gs open5gs-amfd[80707]: 08/21 18:37:04.091: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[129] (../src/amf/ngap-handler.c:623)
Aug 21 18:37:04 open5gs open5gs-amfd[80707]: 08/21 18:37:04.113: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[131] (../src/amf/ngap-handler.c:623)
Aug 21 18:37:04 open5gs open5gs-amfd[80707]: 08/21 18:37:04.113: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[130] (../src/amf/ngap-handler.c:623)
Aug 21 18:37:04 open5gs open5gs-amfd[80707]: 08/21 18:37:04.114: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[132] (../src/amf/ngap-handler.c:623)
Aug 21 18:37:04 open5gs open5gs-amfd[80707]: 08/21 18:37:04.114: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[133] (../src/amf/ngap-handler.c:623)
Aug 21 18:37:04 open5gs open5gs-amfd[80707]: 08/21 18:37:04.114: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[134] (../src/amf/ngap-handler.c:623)
Aug 21 18:37:04 open5gs open5gs-amfd[80707]: 08/21 18:37:04.114: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[135] (../src/amf/ngap-handler.c:623)
Aug 21 18:37:04 open5gs open5gs-amfd[80707]: 08/21 18:37:04.115: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[136] (../src/amf/ngap-handler.c:623)
Aug 21 18:37:04 open5gs open5gs-amfd[80707]: 08/21 18:37:04.115: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[138] (../src/amf/ngap-handler.c:623)
Aug 21 18:37:04 open5gs open5gs-amfd[80707]: 08/21 18:37:04.115: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[137] (../src/amf/ngap-handler.c:623)
Aug 21 18:37:04 open5gs open5gs-amfd[80707]: 08/21 18:37:04.115: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[139] (../src/amf/ngap-handler.c:623)
Aug 21 18:37:04 open5gs open5gs-amfd[80707]: 08/21 18:37:04.115: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[140] (../src/amf/ngap-handler.c:623)
Aug 21 18:37:04 open5gs open5gs-amfd[80707]: 08/21 18:37:04.116: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[141] (../src/amf/ngap-handler.c:623)
Aug 21 18:37:04 open5gs open5gs-amfd[80707]: 08/21 18:37:04.116: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[142] (../src/amf/ngap-handler.c:623)
Aug 21 18:37:04 open5gs open5gs-amfd[80707]: 08/21 18:37:04.116: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[144] (../src/amf/ngap-handler.c:623)
Aug 21 18:37:04 open5gs open5gs-amfd[80707]: 08/21 18:37:04.116: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[143] (../src/amf/ngap-handler.c:623)
Aug 21 18:37:04 open5gs open5gs-amfd[80707]: 08/21 18:37:04.116: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[145] (../src/amf/ngap-handler.c:623)
Aug 21 18:37:04 open5gs open5gs-amfd[80707]: 08/21 18:37:04.118: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[146] (../src/amf/ngap-handler.c:623)
Aug 21 18:37:04 open5gs open5gs-amfd[80707]: 08/21 18:37:04.142: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[147] (../src/amf/ngap-handler.c:623)
Aug 21 18:37:04 open5gs open5gs-amfd[80707]: 08/21 18:37:04.142: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[148] (../src/amf/ngap-handler.c:623)
Aug 21 18:37:04 open5gs open5gs-amfd[80707]: 08/21 18:37:04.142: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[149] (../src/amf/ngap-handler.c:623)
Aug 21 18:37:04 open5gs open5gs-amfd[80707]: 08/21 18:37:04.143: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[150] (../src/amf/ngap-handler.c:623)
Aug 21 18:37:04 open5gs open5gs-amfd[80707]: 08/21 18:37:04.143: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[151] (../src/amf/ngap-handler.c:623)
Aug 21 18:37:04 open5gs open5gs-amfd[80707]: 08/21 18:37:04.143: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[152] (../src/amf/ngap-handler.c:623)
Aug 21 18:37:04 open5gs open5gs-amfd[80707]: 08/21 18:37:04.143: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[153] (../src/amf/ngap-handler.c:623)
Aug 21 18:37:04 open5gs open5gs-amfd[80707]: 08/21 18:37:04.144: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[154] (../src/amf/ngap-handler.c:623)
Aug 21 18:37:04 open5gs open5gs-amfd[80707]: 08/21 18:37:04.144: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[155] (../src/amf/ngap-handler.c:623)
Aug 21 18:37:04 open5gs open5gs-amfd[80707]: 08/21 18:37:04.144: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[157] (../src/amf/ngap-handler.c:623)
Aug 21 18:37:04 open5gs open5gs-amfd[80707]: 08/21 18:37:04.144: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[156] (../src/amf/ngap-handler.c:623)
Aug 21 18:37:04 open5gs open5gs-amfd[80707]: 08/21 18:37:04.144: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[159] (../src/amf/ngap-handler.c:623)
Aug 21 18:37:04 open5gs open5gs-amfd[80707]: 08/21 18:37:04.145: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[158] (../src/amf/ngap-handler.c:623)
Aug 21 18:37:04 open5gs open5gs-amfd[80707]: 08/21 18:37:04.145: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[160] (../src/amf/ngap-handler.c:623)
Aug 21 18:37:04 open5gs open5gs-amfd[80707]: 08/21 18:37:04.145: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[161] (../src/amf/ngap-handler.c:623)
Aug 21 18:37:04 open5gs open5gs-amfd[80707]: 08/21 18:37:04.145: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[162] (../src/amf/ngap-handler.c:623)
Aug 21 18:37:04 open5gs open5gs-amfd[80707]: 08/21 18:37:04.146: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[163] (../src/amf/ngap-handler.c:623)
Aug 21 18:37:04 open5gs open5gs-amfd[80707]: 08/21 18:37:04.148: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[164] (../src/amf/ngap-handler.c:623)
Aug 21 18:37:04 open5gs open5gs-amfd[80707]: 08/21 18:37:04.150: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[165] (../src/amf/ngap-handler.c:623)
Aug 21 18:37:04 open5gs open5gs-amfd[80707]: 08/21 18:37:04.173: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[166] (../src/amf/ngap-handler.c:623)
Aug 21 18:37:04 open5gs open5gs-amfd[80707]: 08/21 18:37:04.173: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[167] (../src/amf/ngap-handler.c:623)
Aug 21 18:37:04 open5gs open5gs-amfd[80707]: 08/21 18:37:04.174: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[168] (../src/amf/ngap-handler.c:623)
Aug 21 18:37:04 open5gs open5gs-amfd[80707]: 08/21 18:37:04.174: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[169] (../src/amf/ngap-handler.c:623)
Aug 21 18:37:04 open5gs open5gs-amfd[80707]: 08/21 18:37:04.174: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[170] (../src/amf/ngap-handler.c:623)
Aug 21 18:37:04 open5gs open5gs-amfd[80707]: 08/21 18:37:04.174: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[171] (../src/amf/ngap-handler.c:623)
Aug 21 18:37:04 open5gs open5gs-amfd[80707]: 08/21 18:37:04.175: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[172] (../src/amf/ngap-handler.c:623)
Aug 21 18:37:04 open5gs open5gs-amfd[80707]: 08/21 18:37:04.175: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[173] (../src/amf/ngap-handler.c:623)
Aug 21 18:37:04 open5gs open5gs-amfd[80707]: 08/21 18:37:04.175: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[174] (../src/amf/ngap-handler.c:623)
Aug 21 18:37:04 open5gs open5gs-amfd[80707]: 08/21 18:37:04.175: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[175] (../src/amf/ngap-handler.c:623)
Aug 21 18:37:04 open5gs open5gs-amfd[80707]: 08/21 18:37:04.176: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[176] (../src/amf/ngap-handler.c:623)
