-- Logs begin at Mon 2023-08-21 11:34:55 UTC, end at Mon 2023-08-21 19:05:53 UTC. --
Aug 21 19:04:25 open5gs open5gs-amfd[89324]: 08/21 19:04:25.830: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[111] (../src/amf/ngap-handler.c:623)
Aug 21 19:04:25 open5gs open5gs-amfd[89324]: 08/21 19:04:25.830: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[112] (../src/amf/ngap-handler.c:623)
Aug 21 19:04:25 open5gs open5gs-amfd[89324]: 08/21 19:04:25.830: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[113] (../src/amf/ngap-handler.c:623)
Aug 21 19:04:25 open5gs open5gs-amfd[89324]: 08/21 19:04:25.830: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[114] (../src/amf/ngap-handler.c:623)
Aug 21 19:04:25 open5gs open5gs-amfd[89324]: 08/21 19:04:25.830: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[115] (../src/amf/ngap-handler.c:623)
Aug 21 19:04:25 open5gs open5gs-amfd[89324]: 08/21 19:04:25.830: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[116] (../src/amf/ngap-handler.c:623)
Aug 21 19:04:25 open5gs open5gs-amfd[89324]: 08/21 19:04:25.830: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[117] (../src/amf/ngap-handler.c:623)
Aug 21 19:04:25 open5gs open5gs-amfd[89324]: 08/21 19:04:25.832: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[118] (../src/amf/ngap-handler.c:623)
Aug 21 19:04:25 open5gs open5gs-amfd[89324]: 08/21 19:04:25.834: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[119] (../src/amf/ngap-handler.c:623)
Aug 21 19:04:25 open5gs open5gs-amfd[89324]: 08/21 19:04:25.855: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[120] (../src/amf/ngap-handler.c:623)
Aug 21 19:04:25 open5gs open5gs-amfd[89324]: 08/21 19:04:25.855: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[121] (../src/amf/ngap-handler.c:623)
Aug 21 19:04:25 open5gs open5gs-amfd[89324]: 08/21 19:04:25.855: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[122] (../src/amf/ngap-handler.c:623)
Aug 21 19:04:25 open5gs open5gs-amfd[89324]: 08/21 19:04:25.855: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[123] (../src/amf/ngap-handler.c:623)
Aug 21 19:04:25 open5gs open5gs-amfd[89324]: 08/21 19:04:25.855: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[124] (../src/amf/ngap-handler.c:623)
Aug 21 19:04:25 open5gs open5gs-amfd[89324]: 08/21 19:04:25.855: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[125] (../src/amf/ngap-handler.c:623)
Aug 21 19:04:25 open5gs open5gs-amfd[89324]: 08/21 19:04:25.855: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[126] (../src/amf/ngap-handler.c:623)
Aug 21 19:04:25 open5gs open5gs-amfd[89324]: 08/21 19:04:25.856: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[127] (../src/amf/ngap-handler.c:623)
Aug 21 19:04:25 open5gs open5gs-amfd[89324]: 08/21 19:04:25.856: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[128] (../src/amf/ngap-handler.c:623)
Aug 21 19:04:25 open5gs open5gs-amfd[89324]: 08/21 19:04:25.856: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[129] (../src/amf/ngap-handler.c:623)
Aug 21 19:04:25 open5gs open5gs-amfd[89324]: 08/21 19:04:25.856: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[130] (../src/amf/ngap-handler.c:623)
Aug 21 19:04:25 open5gs open5gs-amfd[89324]: 08/21 19:04:25.857: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[131] (../src/amf/ngap-handler.c:623)
Aug 21 19:04:25 open5gs open5gs-amfd[89324]: 08/21 19:04:25.857: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[132] (../src/amf/ngap-handler.c:623)
Aug 21 19:04:25 open5gs open5gs-amfd[89324]: 08/21 19:04:25.857: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[133] (../src/amf/ngap-handler.c:623)
Aug 21 19:04:25 open5gs open5gs-amfd[89324]: 08/21 19:04:25.857: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[134] (../src/amf/ngap-handler.c:623)
Aug 21 19:04:25 open5gs open5gs-amfd[89324]: 08/21 19:04:25.857: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[135] (../src/amf/ngap-handler.c:623)
Aug 21 19:04:25 open5gs open5gs-amfd[89324]: 08/21 19:04:25.858: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[136] (../src/amf/ngap-handler.c:623)
Aug 21 19:04:25 open5gs open5gs-amfd[89324]: 08/21 19:04:25.881: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[137] (../src/amf/ngap-handler.c:623)
Aug 21 19:04:25 open5gs open5gs-amfd[89324]: 08/21 19:04:25.881: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[138] (../src/amf/ngap-handler.c:623)
Aug 21 19:04:25 open5gs open5gs-amfd[89324]: 08/21 19:04:25.881: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[139] (../src/amf/ngap-handler.c:623)
Aug 21 19:04:25 open5gs open5gs-amfd[89324]: 08/21 19:04:25.882: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[140] (../src/amf/ngap-handler.c:623)
Aug 21 19:04:25 open5gs open5gs-amfd[89324]: 08/21 19:04:25.882: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[141] (../src/amf/ngap-handler.c:623)
Aug 21 19:04:25 open5gs open5gs-amfd[89324]: 08/21 19:04:25.882: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[142] (../src/amf/ngap-handler.c:623)
Aug 21 19:04:25 open5gs open5gs-amfd[89324]: 08/21 19:04:25.882: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[143] (../src/amf/ngap-handler.c:623)
Aug 21 19:04:25 open5gs open5gs-amfd[89324]: 08/21 19:04:25.882: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[144] (../src/amf/ngap-handler.c:623)
