-- Logs begin at Mon 2023-08-21 11:34:55 UTC, end at Mon 2023-08-21 18:48:47 UTC. --
Aug 21 18:47:20 open5gs open5gs-amfd[83942]: 08/21 18:47:20.039: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[103] (../src/amf/ngap-handler.c:623)
Aug 21 18:47:20 open5gs open5gs-amfd[83942]: 08/21 18:47:20.039: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[104] (../src/amf/ngap-handler.c:623)
Aug 21 18:47:20 open5gs open5gs-amfd[83942]: 08/21 18:47:20.039: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[105] (../src/amf/ngap-handler.c:623)
Aug 21 18:47:20 open5gs open5gs-amfd[83942]: 08/21 18:47:20.039: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[106] (../src/amf/ngap-handler.c:623)
Aug 21 18:47:20 open5gs open5gs-amfd[83942]: 08/21 18:47:20.039: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[107] (../src/amf/ngap-handler.c:623)
Aug 21 18:47:20 open5gs open5gs-amfd[83942]: 08/21 18:47:20.040: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[108] (../src/amf/ngap-handler.c:623)
Aug 21 18:47:20 open5gs open5gs-amfd[83942]: 08/21 18:47:20.040: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[109] (../src/amf/ngap-handler.c:623)
Aug 21 18:47:20 open5gs open5gs-amfd[83942]: 08/21 18:47:20.040: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[110] (../src/amf/ngap-handler.c:623)
Aug 21 18:47:20 open5gs open5gs-amfd[83942]: 08/21 18:47:20.040: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[111] (../src/amf/ngap-handler.c:623)
Aug 21 18:47:20 open5gs open5gs-amfd[83942]: 08/21 18:47:20.041: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[112] (../src/amf/ngap-handler.c:623)
Aug 21 18:47:20 open5gs open5gs-amfd[83942]: 08/21 18:47:20.041: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[121] (../src/amf/ngap-handler.c:623)
Aug 21 18:47:20 open5gs open5gs-amfd[83942]: 08/21 18:47:20.041: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[113] (../src/amf/ngap-handler.c:623)
Aug 21 18:47:20 open5gs open5gs-amfd[83942]: 08/21 18:47:20.041: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[114] (../src/amf/ngap-handler.c:623)
Aug 21 18:47:20 open5gs open5gs-amfd[83942]: 08/21 18:47:20.041: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[115] (../src/amf/ngap-handler.c:623)
Aug 21 18:47:20 open5gs open5gs-amfd[83942]: 08/21 18:47:20.042: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[116] (../src/amf/ngap-handler.c:623)
Aug 21 18:47:20 open5gs open5gs-amfd[83942]: 08/21 18:47:20.042: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[118] (../src/amf/ngap-handler.c:623)
Aug 21 18:47:20 open5gs open5gs-amfd[83942]: 08/21 18:47:20.043: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[117] (../src/amf/ngap-handler.c:623)
Aug 21 18:47:20 open5gs open5gs-amfd[83942]: 08/21 18:47:20.045: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[119] (../src/amf/ngap-handler.c:623)
Aug 21 18:47:20 open5gs open5gs-amfd[83942]: 08/21 18:47:20.071: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[120] (../src/amf/ngap-handler.c:623)
