oai-nrf  | [2023-08-02 18:24:22.524] [nrf_app] [start] Options parsed
oai-nrf  | [2023-08-02 18:24:22.551] [config ] [info] Reading NF configuration from /openair-nrf/etc/config.yaml
oai-nrf  | [2023-08-02 18:24:22.579] [config ] [debug] Unknown NF amf in configuration. Ignored
oai-nrf  | [2023-08-02 18:24:22.579] [config ] [debug] Unknown NF smf in configuration. Ignored
oai-nrf  | [2023-08-02 18:24:22.579] [config ] [debug] Unknown NF udm in configuration. Ignored
oai-nrf  | [2023-08-02 18:24:22.579] [config ] [debug] Unknown NF udr in configuration. Ignored
oai-nrf  | [2023-08-02 18:24:22.579] [config ] [debug] Unknown NF ausf in configuration. Ignored
oai-nrf  | [2023-08-02 18:24:22.580] [config ] [debug] Validating configuration of Log Level
oai-nrf  | [2023-08-02 18:24:22.598] [config ] [info] ==== OPENAIRINTERFACE nrf vBranch: HEAD Abrev. Hash: c50860b Date: Fri Jun 23 11:25:15 2023 +0000 ====
oai-nrf  | [2023-08-02 18:24:22.598] [config ] [info] Basic Configuration:
oai-nrf  | [2023-08-02 18:24:22.598] [config ] [info]   - Log Level..................................: error
oai-nrf  | [2023-08-02 18:24:22.598] [config ] [info]   - http_version...............................: 2
oai-nrf  | [2023-08-02 18:24:22.598] [config ] [info]   nrf:
oai-nrf  | [2023-08-02 18:24:22.598] [config ] [info]     - Host.....................................: oai-nrf
oai-nrf  | [2023-08-02 18:24:22.598] [config ] [info]     - SBI
oai-nrf  | [2023-08-02 18:24:22.598] [config ] [info]       + URL....................................: http://oai-nrf:8080
oai-nrf  | [2023-08-02 18:24:22.598] [config ] [info]       + API Version............................: v1
oai-nrf  | [2023-08-02 18:24:22.598] [config ] [info]       + IPv4 Address ..........................: 192.168.70.130
oai-nrf  | [2023-08-02 18:24:22.598] [config ] [info] Peer NF Configuration:
oai-nrf  | [2023-08-04 08:49:41.033] [nrf_app] [start] Options parsed
oai-nrf  | [2023-08-04 08:49:41.039] [config ] [info] Reading NF configuration from /openair-nrf/etc/config.yaml
oai-nrf  | [2023-08-04 08:49:41.056] [config ] [debug] Unknown NF amf in configuration. Ignored
oai-nrf  | [2023-08-04 08:49:41.056] [config ] [debug] Unknown NF smf in configuration. Ignored
oai-nrf  | [2023-08-04 08:49:41.056] [config ] [debug] Unknown NF udm in configuration. Ignored
oai-nrf  | [2023-08-04 08:49:41.056] [config ] [debug] Unknown NF udr in configuration. Ignored
oai-nrf  | [2023-08-04 08:49:41.056] [config ] [debug] Unknown NF ausf in configuration. Ignored
oai-nrf  | [2023-08-04 08:49:41.056] [config ] [debug] Validating configuration of Log Level
oai-nrf  | [2023-08-04 08:49:41.059] [config ] [info] ==== OPENAIRINTERFACE nrf vBranch: HEAD Abrev. Hash: c50860b Date: Fri Jun 23 11:25:15 2023 +0000 ====
oai-nrf  | [2023-08-04 08:49:41.059] [config ] [info] Basic Configuration:
oai-nrf  | [2023-08-04 08:49:41.059] [config ] [info]   - Log Level..................................: error
oai-nrf  | [2023-08-04 08:49:41.059] [config ] [info]   - http_version...............................: 2
oai-nrf  | [2023-08-04 08:49:41.059] [config ] [info]   nrf:
oai-nrf  | [2023-08-04 08:49:41.059] [config ] [info]     - Host.....................................: oai-nrf
oai-nrf  | [2023-08-04 08:49:41.059] [config ] [info]     - SBI
oai-nrf  | [2023-08-04 08:49:41.059] [config ] [info]       + URL....................................: http://oai-nrf:8080
oai-nrf  | [2023-08-04 08:49:41.059] [config ] [info]       + API Version............................: v1
oai-nrf  | [2023-08-04 08:49:41.059] [config ] [info]       + IPv4 Address ..........................: 192.168.70.130
oai-nrf  | [2023-08-04 08:49:41.059] [config ] [info] Peer NF Configuration:
oai-nrf  | Caught signal 15
oai-nrf  | Freeing Allocated memory...
oai-nrf  | NRF API Server memory done
oai-nrf  | NRF APP memory done
oai-nrf  | Freeing allocated memory done
oai-nrf  | [2023-08-05 14:14:12.880] [nrf_app] [start] Options parsed
oai-nrf  | [2023-08-05 14:14:12.891] [config ] [info] Reading NF configuration from /openair-nrf/etc/config.yaml
oai-nrf  | [2023-08-05 14:14:12.909] [config ] [debug] Unknown NF amf in configuration. Ignored
oai-nrf  | [2023-08-05 14:14:12.909] [config ] [debug] Unknown NF smf in configuration. Ignored
oai-nrf  | [2023-08-05 14:14:12.909] [config ] [debug] Unknown NF udm in configuration. Ignored
oai-nrf  | [2023-08-05 14:14:12.909] [config ] [debug] Unknown NF udr in configuration. Ignored
oai-nrf  | [2023-08-05 14:14:12.909] [config ] [debug] Unknown NF ausf in configuration. Ignored
oai-nrf  | [2023-08-05 14:14:12.909] [config ] [debug] Validating configuration of Log Level
oai-nrf  | [2023-08-05 14:14:12.911] [config ] [info] ==== OPENAIRINTERFACE nrf vBranch: HEAD Abrev. Hash: c50860b Date: Fri Jun 23 11:25:15 2023 +0000 ====
oai-nrf  | [2023-08-05 14:14:12.911] [config ] [info] Basic Configuration:
oai-nrf  | [2023-08-05 14:14:12.911] [config ] [info]   - Log Level..................................: error
oai-nrf  | [2023-08-05 14:14:12.911] [config ] [info]   - http_version...............................: 2
oai-nrf  | [2023-08-05 14:14:12.911] [config ] [info]   nrf:
oai-nrf  | [2023-08-05 14:14:12.911] [config ] [info]     - Host.....................................: oai-nrf
oai-nrf  | [2023-08-05 14:14:12.911] [config ] [info]     - SBI
oai-nrf  | [2023-08-05 14:14:12.911] [config ] [info]       + URL....................................: http://oai-nrf:8080
